player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Donnel Pumphrey,11887,HB,S DIEGO ST,14,350,74,38,47.0,1003,0,2132,3,2,74,1188,68.4,59,96,284,2,198,88.2,76.2,35.9,48.5,58.4,68.3,75.3,55.2,79,2,236,27,201,382,0,0,39,377,17,2132,1188,3.39,6.1,1.17,116
Brian Hill,11911,HB,WYOMING,14,349,49,30,42.8,797,0,1864,2,1,49,1014,40.7,43,84,351,0,286,92.8,71.8,68.8,,71.8,49.1,72.0,63.7,66,1,67,8,193,433,0,0,12,357,22,1864,1014,2.91,5.3,0.35,58
D'Onta Foreman,11844,HB,TEXAS,11,323,64,29,40.7,821,0,2016,1,1,64,1142,69.6,47,103,311,7,168,54.7,74.3,88.6,,86.5,54.5,72.0,64.8,74,0,75,7,143,388,0,0,8,330,15,2016,1142,3.54,6.2,0.52,147
Corey Clement,12253,HB,WISCONSIN,13,315,47,13,29.4,396,0,1348,1,2,47,869,41.5,30,63,349,4,216,74.0,60.4,90.7,60.4,62.5,71.0,59.2,59.6,68,0,135,11,93,383,0,0,12,326,15,1348,869,2.76,4.3,1.45,91
Jeremy McNichols,11917,HB,BOISE ST,13,312,62,20,38.5,653,0,1698,2,4,62,1104,66.5,33,90,120,4,142,73.9,81.1,89.4,,79.3,69.9,79.6,57.4,80,0,483,39,257,345,0,0,44,351,23,1698,1104,3.54,5.4,1.88,160
Justin Jackson,29539,HB,NWESTERN,13,298,62,24,45.5,694,0,1524,4,6,62,1073,73.5,43,85,256,1,163,90.4,71.8,88.2,,59.5,54.3,74.9,65.4,68,0,219,35,349,348,0,0,48,333,15,1524,1073,3.6,5.1,0.63,134
Dalvin Cook,11796,HB,FLORIDA ST,13,288,91,26,45.2,796,0,1763,4,7,91,1208,128.1,51,82,167,6,106,57.1,85.7,43.1,,69.2,58.1,88.4,76.2,75,2,478,33,312,365,0,0,45,321,19,1763,1208,4.19,6.1,1.53,180
Jordan Chunn,45727,HB,TROY,13,278,48,16,30.7,394,0,1283,2,12,48,815,57.1,32,75,318,3,77,76.7,63.3,87.7,60.4,81.2,58.1,62.1,71.9,48,0,228,30,273,331,0,0,37,308,16,1283,815,2.93,4.6,0.84,185
Saquon Barkley,45791,HB,PENN STATE,14,272,72,27,54.5,813,0,1491,0,8,72,893,87.5,46,75,266,2,83,83.2,82.3,87.4,,67.9,80.9,80.6,58.9,81,1,402,28,236,359,0,0,37,300,18,1491,893,3.28,5.5,1.7,182
Ito Smith,45932,HB,SO MISS,13,265,61,19,38.9,567,0,1456,3,6,61,836,68.6,38,74,296,3,104,78.4,75.5,66.7,,79.3,61.1,76.5,70.4,86,1,456,43,320,354,0,0,54,308,17,1456,836,3.15,5.5,1.43,144
D'Angelo Brewer,45951,HB,TULSA,12,263,39,21,36.0,514,0,1427,0,1,39,735,41.7,45,80,320,1,142,88.9,64.7,51.3,,79.6,58.8,63.3,64.4,42,1,19,5,115,275,0,0,7,268,7,1427,735,2.79,5.4,0.17,112
Kareem Hunt,11841,HB,TOLEDO,13,261,76,19,29.3,431,0,1473,0,22,76,904,112.4,49,81,316,0,154,91.9,93.2,3.8,,81.9,90.5,91.9,77.8,47,3,403,41,188,278,0,0,43,302,10,1473,904,3.46,5.6,2.14,102
James Butler,45966,HB,NEVADA,12,261,72,18,30.4,401,0,1321,1,15,72,855,95.3,35,85,239,2,59,82.4,78.5,61.9,,74.9,90.2,73.5,61.8,55,3,382,38,176,336,0,0,43,299,12,1321,855,3.28,5.1,2.17,200
Will Worth,46498,QB,NAVY,12,251,35,16,33.9,426,0,1185,0,0,33,550,28.8,31,96,237,8,97,61.5,74.8,88.4,89.8,,,57.0,60.0,60,1,0,0,0,549,73,9,0,251,25,1258,604,2.32,4.8,,44
James Flanders,45998,HB,TULSA,13,258,35,25,46.3,755,0,1629,2,0,35,1006,52.3,42,87,320,1,146,88.9,69.5,51.1,,80.3,39.1,69.4,57.0,61,2,17,3,91,278,0,0,5,261,18,1629,1006,3.9,6.3,0.19,105
Devine Redding,45841,HB,INDIANA,13,253,40,15,29.9,333,0,1113,2,7,40,705,46.8,35,56,190,4,92,67.6,65.3,86.9,,69.3,63.4,64.2,63.8,36,0,146,27,189,284,0,0,36,280,7,1113,705,2.79,4.4,0.77,159
Christian McCaffrey,11763,HB,STANFORD,11,252,44,16,37.9,602,0,1590,3,21,44,830,73.8,38,74,300,3,195,90.4,84.5,88.9,60.4,71.2,83.9,80.4,55.1,90,0,318,38,191,293,0,0,46,290,13,1590,830,3.29,6.3,1.66,54
James Gilbert,45836,HB,BALL ST,12,251,36,14,32.1,430,1,1340,0,0,36,774,44.1,37,71,117,1,125,88.0,62.0,47.7,,65.9,52.0,62.6,56.3,80,1,8,1,90,293,0,0,3,252,12,1340,774,3.08,5.3,0.09,121
Ralph Webb,45802,HB,VANDERBILT,13,250,38,18,38.0,487,0,1283,4,0,38,707,39.7,33,64,333,0,116,91.8,69.7,89.7,,68.4,49.3,71.4,56.8,49,0,166,21,216,273,0,0,32,271,13,1283,707,2.83,5.1,0.77,134
Jarvion Franklin,30845,HB,W MICHIGAN,14,249,30,16,29.2,395,0,1352,1,11,30,786,47.2,35,79,347,2,64,81.3,75.7,85.9,,81.3,72.6,72.8,72.5,54,0,288,25,186,278,0,0,28,274,12,1352,786,3.16,5.4,1.55,179
Matt Dayes,12006,HB,NC STATE,13,248,42,14,29.9,349,0,1169,3,7,42,653,46.1,28,62,248,3,53,74.3,68.9,89.2,,82.7,56.1,70.0,57.3,54,0,258,32,257,333,0,0,41,280,10,1169,653,2.63,4.7,1.0,188
Rawleigh Williams III,39128,HB,ARKANSAS,13,245,28,20,44.3,603,0,1360,0,2,28,871,41.0,34,69,111,1,148,88.1,73.0,90.3,53.7,61.8,71.4,72.2,54.0,72,0,220,15,164,283,0,0,18,260,12,1360,871,3.56,5.6,1.34,81
Phillip Lindsay,12660,HB,COLORADO,14,244,52,16,33.5,413,1,1234,1,17,52,790,75.0,34,74,143,3,133,73.2,77.0,65.8,,71.9,88.2,73.7,56.6,75,1,491,54,245,363,0,0,60,298,16,1234,790,3.24,5.1,2.0,105
Rodney Smith,26306,HB,MINNESOTA,13,240,56,13,30.3,350,0,1155,2,5,56,831,80.0,30,65,225,1,110,88.2,80.5,90.6,,70.0,64.0,80.0,58.2,70,0,182,24,148,312,0,0,27,264,16,1155,831,3.46,4.8,1.23,120
Anthony Wales,45945,HB,W KENTUCKY,13,237,30,31,48.4,785,0,1621,4,5,30,645,35.7,54,95,346,2,126,87.6,77.0,88.0,,54.7,54.2,80.1,73.6,59,0,323,30,277,258,0,0,37,267,27,1621,645,2.72,6.8,1.17,104
Myles Gaskin,45914,HB,WASHINGTON,14,237,45,12,27.2,373,0,1373,2,5,45,697,57.4,39,71,340,0,157,91.6,80.1,86.8,,77.8,69.4,77.4,65.8,68,0,137,19,115,253,0,0,24,256,10,1373,697,2.94,5.8,1.19,78
Jalin Moore,27976,HB,APP STATE,13,236,31,22,46.3,651,0,1406,1,1,31,732,41.2,37,67,108,0,19,91.6,67.3,89.0,,90.5,51.8,65.6,57.5,63,0,32,5,79,296,0,0,9,241,10,1406,732,3.1,6.0,0.41,199
Jamaal Williams,11889,HB,BYU,10,234,55,20,43.3,593,0,1366,0,1,55,779,77.7,34,65,128,2,40,79.6,81.7,89.0,,80.4,56.6,80.5,62.5,63,0,74,6,137,289,5,1,7,240,12,1371,779,3.31,5.8,0.54,191
Elijah McGuire,11943,HB,LA LAFAYET,13,232,38,10,24.4,275,0,1127,3,9,38,718,55.7,29,61,207,0,75,91.6,69.4,86.7,,59.2,69.2,67.1,71.9,68,0,238,29,186,326,0,0,40,261,7,1127,718,3.09,4.9,1.28,153
Wayne Gallman,11895,HB,CLEMSON,15,232,56,12,28.0,317,0,1131,1,5,56,691,72.1,28,61,140,2,97,79.6,75.4,87.7,,73.8,51.8,77.8,70.7,59,0,143,20,266,343,0,0,26,252,17,1131,691,2.98,4.9,0.54,128
I'Tavius Mathers,16897,HB,MIDDLE TN,13,231,61,28,49.5,773,0,1563,2,24,61,910,112.7,44,68,224,1,98,87.9,79.7,88.5,60.6,80.3,81.4,78.5,61.9,71,1,632,66,402,308,0,0,76,297,17,1563,910,3.94,6.8,1.57,126
Aaron Jones,11937,HB,UTEP,12,228,41,28,56.4,996,0,1766,3,6,41,907,73.0,44,66,330,3,100,72.8,76.4,87.8,72.6,70.9,73.8,74.0,59.8,83,0,233,28,175,276,0,0,35,256,17,1766,907,3.98,7.7,1.33,98
Nick Chubb,45783,HB,GEORGIA,13,224,39,16,36.5,412,0,1130,1,1,39,817,63.7,35,64,173,3,154,70.5,77.0,88.2,,77.2,42.6,76.8,56.5,55,0,86,5,100,257,0,0,7,229,8,1130,817,3.65,5.0,0.86,56
James Conner,11860,HB,PITTSBURGH,13,216,39,24,51.7,562,0,1088,2,3,39,638,52.3,32,63,268,1,49,86.5,73.1,89.2,,69.2,73.2,72.0,53.5,40,0,302,21,139,331,0,0,24,237,16,1088,638,2.95,5.0,2.17,162
Lamar Jackson,46416,QB,LOUISVILLE,13,165,51,26,42.1,794,0,1384,0,0,35,528,67.9,64,91,210,9,63,51.7,82.9,82.5,73.7,,,79.7,60.0,72,3,0,0,0,377,504,49,0,165,21,1888,843,3.94,8.8,,94
LeShun Daniels,26758,HB,IOWA,13,213,28,9,33.0,349,0,1056,1,2,28,642,40.9,22,55,192,3,58,77.7,69.2,89.0,,69.1,54.8,68.6,64.2,67,0,67,8,100,256,0,0,14,221,10,1056,642,3.01,5.0,0.67,154
Joe Williams,11876,HB,UTAH,9,210,31,22,48.2,670,0,1389,3,4,31,718,54.6,36,62,328,5,92,52.3,65.6,51.7,,72.3,46.5,67.1,56.7,82,1,107,9,135,244,0,0,13,219,10,1389,718,3.42,6.6,0.79,116
Kamryn Pettway,45919,HB,AUBURN,10,209,23,17,39.9,488,0,1222,0,2,23,732,41.5,30,67,115,3,65,68.8,71.0,83.7,,50.5,58.4,69.9,64.5,64,0,14,2,66,251,0,0,2,211,7,1222,732,3.5,5.8,0.21,144
Mark Walton,45996,HB,MIAMI FL,13,209,36,21,49.2,550,0,1117,1,6,36,717,61.1,30,53,220,0,74,91.2,75.1,87.5,,80.3,75.0,71.7,76.3,80,1,240,27,170,233,0,0,34,236,14,1117,717,3.43,5.3,1.41,132
Jarveon Williams,45938,HB,UTSA,13,208,20,9,36.8,330,0,896,2,3,20,467,22.7,20,44,331,2,101,85.5,65.4,88.8,72.6,66.3,59.4,64.7,63.3,92,0,221,19,196,256,0,0,28,227,8,896,467,2.25,4.3,1.13,93
Jahad Thomas,12326,HB,TEMPLE,12,206,26,11,28.8,275,0,926,2,6,25,588,37.0,28,54,306,2,85,81.6,69.4,88.1,,75.1,73.5,66.2,64.1,56,1,418,33,216,275,28,1,41,239,13,954,591,2.86,4.6,1.94,107
Dontel James,45967,HB,FRESNO ST,11,207,33,8,23.4,163,0,696,2,0,33,494,37.5,16,40,169,3,64,68.1,61.5,29.2,,84.0,38.8,62.5,65.2,34,2,9,3,169,252,0,0,7,210,5,696,494,2.39,3.4,0.05,134
Justice Hill,45865,HB,OKLA STATE,13,205,33,20,43.2,492,0,1138,1,1,33,679,53.6,32,57,262,3,23,77.1,72.0,85.8,,55.2,50.1,72.8,57.4,38,0,46,5,117,229,0,0,6,210,6,1138,679,3.31,5.6,0.39,164
Fred Coppet,45748,HB,BOWL GREEN,12,203,28,13,29.0,299,0,1031,1,3,28,555,38.9,30,53,122,4,79,68.5,62.2,85.4,,72.5,52.9,62.7,66.0,52,0,79,15,215,229,0,0,17,218,8,1031,555,2.73,5.1,0.37,115
Kyle Hicks,45714,HB,TCU,13,202,36,17,37.3,382,0,1025,3,15,36,516,52.1,29,56,305,1,50,86.2,76.9,37.2,44.6,84.7,71.9,77.2,65.3,64,2,424,48,317,267,0,0,58,250,12,1025,516,2.55,5.1,1.34,150
Braeden West,38710,HB,SMU,12,201,29,15,42.0,440,0,1047,2,4,29,588,44.7,23,40,287,5,79,51.2,60.4,85.6,,65.7,50.8,61.8,55.0,66,0,92,15,173,221,0,0,19,216,6,1047,588,2.93,5.2,0.53,114
Ray Lawry,45939,HB,DOMINION,12,200,54,22,49.4,618,0,1250,0,5,54,756,106.2,31,54,263,0,44,91.0,78.8,85.5,,79.5,65.0,79.4,41.3,46,0,131,10,165,234,0,0,13,210,11,1250,756,3.78,6.3,0.79,148
Jordan Johnson,12146,HB,BUFFALO,12,198,27,16,42.2,436,0,1026,2,2,27,534,37.8,28,49,126,2,83,76.0,65.0,54.9,60.4,61.0,48.8,65.6,72.7,61,1,100,9,143,262,7,1,11,207,6,1033,538,2.7,5.2,0.7,110
