player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Breece Hall,97636,HB,IOWA STATE,12,280,63,25,46.4,724,0,1562,1,11,63,935,81.8,38,79,193,2,60,83.7,84.0,87.4,,61.1,62.0,85.7,54.8,75,0,181,22,249,328,0,0,25,302,21,1562,935,3.34,5.6,0.73,219
Najee Harris,57121,HB,ALABAMA,13,252,71,18,31.8,465,0,1464,1,22,71,821,102.7,47,81,103,2,128,82.0,89.8,89.1,,54.2,81.6,90.1,49.3,53,0,425,43,296,274,0,0,53,295,26,1464,821,3.26,5.8,1.44,123
Sincere McCormick,97119,HB,UTSA,11,250,63,24,49.2,719,0,1462,0,3,63,808,79.3,34,62,331,2,75,81.1,77.2,61.5,,58.4,60.9,79.0,63.4,69,1,125,19,225,325,0,0,25,269,11,1462,808,3.23,5.8,0.56,171
Kyren Williams,97118,HB,NOTRE DAME,12,211,38,14,36.9,415,0,1124,3,9,38,696,63.0,29,64,258,5,68,54.4,73.8,87.7,49.9,33.3,67.4,75.7,74.8,65,1,311,35,195,260,0,0,43,246,13,1124,696,3.3,5.3,1.59,140
Larry Rountree III,57308,HB,MISSOURI,10,211,41,11,28.4,281,0,989,1,3,41,501,46.2,25,59,229,1,64,85.8,76.8,89.2,,80.3,57.8,76.5,68.2,46,0,100,15,170,249,0,0,20,226,14,989,501,2.37,4.7,0.59,146
Mohamed Ibrahim,55226,HB,MINNESOTA,7,202,37,17,38.5,415,0,1079,1,1,37,673,60.6,30,66,225,1,85,85.2,83.3,84.3,,59.8,56.4,83.4,44.3,53,0,53,7,94,224,0,0,9,209,15,1079,673,3.33,5.3,0.56,117
Leddie Brown,77766,HB,W VIRGINIA,10,198,36,16,42.9,433,1,1008,2,3,36,583,50.1,30,49,343,2,16,85.2,70.6,26.7,,59.8,60.2,72.8,71.6,87,3,202,31,268,223,2,1,36,229,9,1010,585,2.94,5.1,0.75,167
Isaiah Spiller,99146,HB,TEXAS A&M,10,188,44,15,39.7,410,0,1032,4,4,44,639,78.4,32,58,312,3,52,66.8,77.9,51.4,,45.8,56.7,81.7,55.4,57,1,193,20,184,257,0,0,26,208,9,1032,639,3.4,5.5,1.05,133
Kevin Harris,99141,HB,S CAROLINA,10,185,37,15,47.2,537,0,1138,3,7,37,612,70.7,31,58,289,1,93,83.7,83.3,85.8,,27.2,63.2,86.0,56.1,88,0,159,21,153,208,0,0,27,206,15,1138,612,3.31,6.2,1.04,88
Spencer Brown,57441,HB,UAB,8,185,34,11,31.8,282,0,886,0,2,34,558,57.1,20,49,321,1,19,82.1,79.0,87.7,,57.1,60.7,77.9,59.6,73,0,35,5,88,201,0,0,6,190,10,886,558,3.02,4.8,0.4,164
Brenden Knox,57287,HB,MARSHALL,9,185,28,7,19.6,174,0,887,0,2,28,550,46.5,20,52,214,0,10,90.8,73.3,84.8,,62.4,62.9,72.7,58.2,45,0,86,7,92,224,0,0,9,192,9,887,550,2.97,4.8,0.93,174
Ulysses Bentley IV,97200,HB,SMU,10,170,31,15,43.6,398,0,913,1,2,31,481,48.9,28,45,287,0,37,90.5,81.2,85.1,,43.4,72.1,82.1,58.7,84,0,174,21,173,183,0,0,26,191,11,913,481,2.83,5.4,1.01,127
Camerun Peoples,83607,HB,APP STATE,11,168,39,12,40.5,455,0,1124,1,0,39,680,92.3,29,59,108,4,15,52.5,82.9,88.0,,68.7,53.7,83.6,47.8,76,0,15,3,92,198,0,0,4,171,12,1124,680,4.05,6.7,0.16,150
