player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chuba Hubbard,57373,HB,OKLA STATE,13,328,77,29,49.2,1029,0,2090,2,8,77,1300,96.0,49,97,262,5,70,68.8,88.1,88.9,,77.3,60.5,87.6,68.2,92,0,192,23,224,435,0,0,28,351,21,2090,1300,3.96,6.4,0.86,249
Jonathan Taylor,57488,HB,WISCONSIN,14,320,87,30,39.3,787,0,2002,4,5,87,1256,104.4,61,108,349,6,153,61.7,91.1,89.5,,84.4,65.6,90.2,52.0,72,0,243,26,114,400,0,0,37,346,21,2002,1256,3.93,6.3,2.13,154
AJ Dillon,57165,HB,BOSTON COL,12,317,81,21,31.7,538,0,1699,1,3,81,1104,88.6,41,95,121,3,224,79.8,91.3,89.6,,75.1,56.4,90.1,78.9,61,1,195,13,125,386,0,0,16,330,14,1699,1104,3.48,5.4,1.56,90
Jaret Patterson,77745,HB,BUFFALO,13,313,86,23,35.6,642,0,1804,2,12,86,1125,108.4,45,106,126,1,62,90.6,88.9,87.7,,64.5,60.2,87.5,60.1,82,0,204,12,155,382,0,0,15,325,19,1804,1125,3.59,5.8,1.32,243
J.K. Dobbins,57366,HB,OHIO STATE,14,301,73,31,47.5,952,0,2003,2,2,73,1208,92.9,51,99,260,3,58,78.5,83.8,88.3,,67.3,61.4,83.8,65.7,68,0,247,23,211,371,0,0,28,324,21,2003,1208,4.01,6.7,1.17,243
Malcolm Perry,46513,HB,NAVY,13,243,89,28,40.3,843,0,1557,0,0,68,847,97.5,65,103,237,10,82,56.8,89.4,89.1,64.6,,44.7,86.7,60.0,70,1,0,0,9,615,536,44,0,243,21,2093,1113,3.88,7.3,0.0,90
Brenden Knox,57287,HB,MARSHALL,13,270,57,19,30.7,415,0,1352,1,4,57,869,69.1,41,80,214,1,28,89.4,79.7,32.9,,51.2,59.5,81.2,64.4,43,2,161,14,165,343,0,0,18,284,11,1352,869,3.22,5.0,0.98,238
LeVante Bellamy,45854,HB,W MICHIGAN,13,265,54,24,52.3,770,0,1471,2,1,54,814,60.3,32,73,347,1,42,89.5,80.4,86.5,,60.7,45.7,82.7,79.0,75,0,55,15,233,294,0,0,22,280,23,1471,814,3.07,5.6,0.24,216
Javian Hawkins,77704,HB,LOUISVILLE,13,263,69,29,54.8,836,0,1526,0,1,69,929,92.6,43,66,210,0,5,92.1,85.3,33.5,,54.8,53.2,86.9,55.4,66,2,58,4,125,341,0,0,7,267,9,1526,929,3.53,5.8,0.46,258
Michael Warren II,55076,HB,CINCINNATI,14,260,76,15,35.6,450,0,1263,0,4,76,1008,110.4,31,67,138,0,58,91.9,84.2,87.3,,58.6,63.5,84.7,65.1,73,0,153,21,196,328,0,0,22,281,14,1263,1008,3.88,4.9,0.78,202
Darrynton Evans,40692,HB,APP STATE,14,256,50,22,47.8,709,0,1484,1,6,50,761,60.1,43,69,108,0,20,91.9,78.8,89.5,60.4,80.3,62.6,78.2,57.0,87,0,198,21,192,308,0,0,27,277,18,1484,761,2.97,5.8,1.03,232
Eno Benjamin,57136,HB,ARIZONA ST,12,253,62,11,23.0,245,0,1067,3,9,62,735,69.9,32,67,110,6,45,54.2,75.7,18.4,56.9,47.5,61.2,80.4,56.9,33,3,346,42,323,302,0,0,52,295,10,1067,735,2.91,4.2,1.07,208
Tra Barnett,41302,HB,GA STATE,13,248,51,23,37.9,549,0,1447,0,3,51,861,71.0,41,85,175,1,30,88.3,85.6,86.0,,77.1,53.6,87.4,57.3,56,0,69,16,188,316,0,0,19,264,12,1447,861,3.47,5.8,0.37,218
Xazavian Valladay,57490,HB,WYOMING,12,247,33,16,37.9,479,0,1263,2,3,33,851,48.1,30,53,351,1,92,88.2,80.9,87.6,,68.8,61.2,79.3,76.9,62,0,211,11,154,310,0,0,16,258,6,1263,851,3.45,5.1,1.37,154
Caleb Huntley,57156,HB,BALL ST,12,246,49,15,33.5,424,0,1264,1,2,49,958,78.5,25,65,117,3,97,73.2,83.4,88.1,,67.5,52.8,82.2,55.6,54,1,25,7,100,286,0,0,8,253,12,1264,958,3.89,5.1,0.25,148
Kylin Hill,57306,HB,MISS STATE,13,243,61,23,42.7,576,0,1343,2,3,61,741,74.8,40,72,227,0,98,91.6,83.9,85.8,,62.6,60.9,85.1,59.5,62,0,180,18,164,328,0,0,23,261,10,1348,741,3.05,5.5,1.1,144
Xavier Jones,45742,HB,SMU,13,242,48,15,37.9,470,1,1240,1,2,48,819,64.6,29,71,287,3,108,71.3,76.1,86.8,,63.0,54.7,78.7,56.4,64,1,90,20,242,274,0,0,29,262,23,1240,819,3.38,5.1,0.37,132
Gaej Walker,42531,HB,W KENTUCKY,13,242,27,13,32.4,392,0,1209,3,5,27,709,35.2,26,47,346,1,158,87.9,71.0,88.4,,54.4,46.3,78.5,44.6,68,0,140,24,318,361,0,0,31,266,8,1209,709,2.93,5.0,0.44,82
Zack Moss,40341,HB,UTAH,13,234,89,21,44.5,628,0,1412,1,15,89,1042,176.8,36,74,328,1,56,87.7,91.3,24.2,,67.3,78.8,91.5,55.2,91,2,387,28,164,288,0,0,31,262,15,1412,1042,4.45,6.0,2.36,178
Cam Akers,57206,HB,FLORIDA ST,11,231,76,15,33.3,380,2,1142,5,8,76,904,125.9,35,68,167,3,51,72.8,79.2,37.1,45.8,72.2,58.8,82.8,49.8,50,3,225,30,196,277,0,0,38,261,14,1142,904,3.91,4.9,1.15,176
