player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Taylor,57488,HB,WISCONSIN,13,306,67,34,43.4,948,1,2185,3,2,67,1309,94.0,61,96,349,3,145,78.4,92.2,14.9,,73.9,42.2,91.4,55.9,88,2,60,8,66,343,0,0,15,314,16,2185,1309,4.28,7.1,0.91,146
Alexander Mattison,45817,HB,BOISE ST,13,302,68,9,19.0,269,0,1415,0,7,68,862,65.1,37,84,120,0,111,92.4,81.4,88.9,,47.4,59.1,83.8,61.3,59,0,173,27,285,357,0,0,32,329,17,1415,862,2.85,4.7,0.61,188
Eno Benjamin,57136,HB,ARIZONA ST,13,300,84,30,43.7,717,0,1642,3,15,84,1030,101.5,47,90,110,1,114,90.4,88.3,41.1,,41.4,67.2,90.4,74.5,49,2,263,35,312,378,0,0,44,335,16,1642,1030,3.43,5.5,0.84,184
Benny Snell Jr.,45954,HB,KENTUCKY,13,288,46,18,29.5,428,1,1451,1,4,46,930,52.9,38,90,202,1,71,90.2,80.4,14.0,69.2,81.3,62.8,79.0,54.2,52,3,105,17,131,360,0,0,21,305,16,1451,930,3.23,5.0,0.8,214
Spencer Brown,57441,HB,UAB,14,272,36,13,21.8,265,0,1214,2,2,36,756,37.7,32,75,321,1,103,89.5,69.0,85.8,,64.3,49.0,69.2,58.5,30,0,20,8,98,362,0,0,12,280,16,1214,756,2.78,4.5,0.2,169
Trayveon Williams,45775,HB,TEXAS A&M,13,270,47,32,48.7,856,0,1756,1,12,47,1022,74.9,57,89,312,3,88,76.3,82.5,89.6,,57.6,62.2,85.6,61.9,93,0,282,28,298,372,0,0,35,298,18,1756,1022,3.79,6.5,0.95,180
Devin Singletary,40485,HB,FAU,12,264,96,26,47.2,630,0,1335,4,0,96,1027,138.3,42,79,165,1,24,89.4,88.2,10.0,60.4,90.0,36.6,91.1,58.5,44,3,36,6,203,324,0,0,12,270,22,1335,1027,3.89,5.1,0.18,238
Myles Gaskin,45914,HB,WASHINGTON,12,259,46,11,28.7,364,0,1259,2,3,45,727,48.1,31,63,340,1,117,89.4,76.4,59.7,71.5,42.2,59.2,77.9,57.6,80,1,77,21,196,302,11,1,29,280,12,1270,742,2.85,4.9,0.39,140
Alex Barnes,35859,HB,KANSAS ST,12,256,35,18,35.4,479,0,1352,3,4,35,742,41.0,38,71,199,4,107,67.5,72.4,87.5,,66.3,57.5,72.5,64.2,55,2,194,20,184,385,0,0,27,276,12,1352,742,2.9,5.3,1.05,148
David Montgomery,45719,HB,IOWA STATE,12,256,99,18,31.2,379,1,1216,0,3,99,892,127.8,40,78,193,1,72,89.0,91.1,57.0,,81.6,65.5,91.3,58.6,39,1,157,22,189,299,0,0,25,278,13,1216,892,3.48,4.8,0.83,183
J.J. Taylor,25512,HB,ARIZONA,12,254,46,20,36.9,526,0,1426,1,2,46,631,44.2,39,67,109,4,69,61.4,79.4,57.5,,78.6,56.6,79.9,70.9,64,1,133,16,212,291,0,0,23,270,6,1426,631,2.48,5.6,0.63,181
Michael Warren II,55076,HB,CINCINNATI,12,244,55,14,34.2,452,1,1323,3,9,55,886,86.4,38,81,138,4,41,66.4,74.6,34.6,,89.0,58.6,75.6,66.2,81,2,227,25,252,336,0,0,32,269,19,1323,886,3.63,5.4,0.9,201
Nick Brossette,35314,HB,LSU,13,240,36,9,25.1,261,0,1040,0,2,36,695,43.3,30,66,211,1,102,88.0,79.0,88.2,,74.4,65.5,76.6,66.6,50,0,78,14,114,306,0,0,15,254,14,1040,695,2.9,4.3,0.68,137
Jermar Jefferson,83740,HB,OREGON ST,12,239,48,23,44.0,604,0,1374,0,7,48,728,63.5,41,68,265,2,77,80.4,80.9,86.8,,63.4,68.8,80.7,51.7,62,1,147,25,167,267,0,0,27,264,12,1374,728,3.05,5.7,0.88,161
