player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,Overall_Trend,YOP,Match
A.J. Cann,9500.0,14.125,0.1119874457375659,0.3553359494563823,-0.19093124621915114,-0.12457855452685476,-0.14806595678884124,-0.3062694517471479,0.2634286399011304,1.081535923047098,0.892063241306936,0.0935703242703895,0.0931364470466232,-0.05625116930160623,0.016417063645185803,0.9748124358917672,0.738049413565268,0.7457639443639924,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,0.7454881156357263,0.8861326869626993,0.8856886931354944,1.5537085236745751,-0.1934307702691031,0.508321916875386,-0.2280338317847055,-0.15462102172174885,2018.5,1.0
A.Q. Shipley,5150.0,11.0,0.1119874457375659,0.9097396577118584,-1.4627859777130847,-0.0529940798893338,0.5063208000977955,-0.0028882182253104,1.8440004793079128,0.1983096657213638,0.3895846704944929,0.0935703242703895,0.0931364470466232,0.0864835393195242,2.2908887289652724,0.5063305318436961,-0.4327865706760891,0.3471160390049759,-0.2082845693042773,1.1150457125428548,-0.1532759932093045,0.3467963433375837,0.3933777101159026,0.3928312627624606,-0.6938436082055978,-0.1934307702691031,0.2652796855547502,0.0393658404344123,0.0,2013.0,0.0
Aaron Banks,59983.0,9.333333333333334,0.1119874457375659,1.402542953938948,1.2432879190825186,-0.8027290606339971,-0.3580104313266168,-0.8178754433319438,-0.02926984887790342,0.0879063835556471,-0.2079574137148987,0.062380216180259664,0.0620909646977488,0.07288072846593578,0.06283485273335085,-0.0368368931395745,-0.6062437535266607,-0.06273883558100103,-0.2082845693042773,0.6857109658625857,-0.1532759932093045,-0.06310363139464338,-0.20055628864343644,-0.20122622664716938,-0.6895802191376789,-0.19343077026910308,0.1467224995446839,-0.2280338317847055,0.49894690007132736,2022.0,1.0
Aaron Brewer,46014.0,13.666666666666666,-0.44473400065122654,1.4025429539389485,1.568016786697991,0.00233691499957119,-0.688401719704614,0.4449069604047076,-0.3805080354127441,0.08790638355564728,-0.19124294982092963,-0.217386295659196,-0.23119861335219696,-0.2332422079918053,0.5579579363404445,0.1261133343554067,0.9548708921284822,-0.014708967465456801,0.7480866142775819,0.4127284399221786,-0.1532759932093045,-0.009464376888668488,-0.19924227537184502,-0.19071193479921145,-0.5156339451665857,-0.18618975079299438,0.26330373245458244,1.1980977533839232,0.7758495297282145,2021.0,0.0
Aaron Merz,3193.0,2.0,0.1119874457375659,-0.568670230969411,-1.3545430218412606,-1.1734467263896606,-0.819330215025426,-1.238802911244161,-0.9659050129708118,-0.7953198737700871,-1.202468015406054,0.0935703242703895,0.0931364470466232,-1.192419449925796,-1.05119208538261,-0.960221515611135,-0.9531581192278036,-1.2114531813444325,-0.2082845693042773,-0.5482038572736202,-0.1532759932093045,-1.2119443808882877,-1.1992063750529447,-1.2000839522031843,-0.668263273798084,-0.1934307702691031,-1.1870458430685615,-0.2280338317847055,0.0,2006.0,1.0
Aaron Stinnie,28653.0,4.75,-0.25109175842903825,-0.568670230969411,1.4597738308261667,-0.21898706455604894,-1.0295318227475103,0.012784613026740221,-0.7902859197033913,-0.9609247970186621,-1.0812881521747788,-0.0836749490894741,-0.0705903863277811,-0.4159426350268528,-0.8655209290299497,-1.0009590724848803,-0.6929723449519464,-1.0763691772694641,-0.2082845693042773,-0.5272864655800441,-0.1532759932093045,-1.0756446334309404,-1.0760176308412455,-1.074898164888434,-0.5557098024050238,-0.1934307702691031,-1.0388493605559785,0.15078237052571153,0.10466866897382762,2020.75,0.0
Aaron Taylor,11558.0,1.0,0.1119874457375659,-0.568670230969411,-0.4885993748666675,-0.185788467622706,1.2796172255863407,-0.7641400218963418,-0.9659050129708118,-1.236933002432954,-1.2108252473530383,0.0935703242703895,0.0931364470466232,1.3653865285648443,-1.05119208538261,-1.2861219706010971,-0.9531581192278036,-1.197044220909769,-0.2082845693042773,-0.5076367945951696,-0.1532759932093045,-1.1975338349016078,-1.2110324944972677,-1.2119125305321374,-0.6938436082055978,-0.1934307702691031,-1.1336951093640315,-0.2280338317847055,0.0,1996.0,0.0
Adam Gettis,7138.0,2.0,0.1119874457375659,-0.568670230969411,0.8824780661764381,0.3924204289663515,0.9768450801569628,-0.08946195276044751,-0.9659050129708118,-1.1265297202672373,-1.2804688469112424,0.09357032427038951,0.0931364470466232,0.37575921545834556,-1.05119208538261,-1.2046468568536066,-0.9531581192278035,-1.2875004725273769,-0.2082845693042773,-0.6031384213173554,-0.1532759932093045,-1.2880000402624314,-1.2793611846200237,-1.2802554275438647,-0.6938436082055978,-0.19343077026910308,-1.2542282484742657,-0.2280338317847055,0.0264679808700119,2014.6666666666667,1.0
Adam Goldberg,1612.0,12.5,0.1119874457375659,0.9097396577118584,1.0268020073388704,-0.19408811685604166,-0.1350242512002447,-0.2312637593266199,0.7902859197033913,0.7503260765499475,0.2621368833029793,0.0935703242703895,0.0931364470466232,-0.5072928485443771,0.24850600908601095,0.8729685437074041,0.8681423007031965,0.16460254016590814,-0.2082845693042773,-0.552007019399725,1.3720223801256417,0.1642627608396388,0.271174475857897,0.2706026200299483,0.6619141153926283,-0.1934307702691031,-0.0014739829678989125,-0.2280338317847055,0.28458166160873255,2008.0,0.0
Adam Pankey,12114.0,1.0,0.1119874457375659,-0.568670230969411,-0.4885993748666675,-0.384980049222764,0.0,-0.3611243611293251,-0.9659050129708118,-1.236933002432954,-1.352898190451775,0.0,0.0,0.0,-1.05119208538261,-1.2861219706010971,-0.9531581192278036,-1.3627472659083963,-0.2082845693042773,-0.685117693813391,-0.1532759932093045,-1.363255113748426,-1.3529459278291451,-1.353855470479571,-0.6912855747648464,-0.1934307702691031,-1.3293144662806409,-0.2280338317847055,0.0,2018.0,0.0
