player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Josh Robinson,9638,HB,MISS STATE,13,190,48,20,44.5,541,1,1215,4,10,48,673,94.2,39,0,227,2,23,76.1,75.8,60.9,,64.3,58.0,79.9,62.8,73,1,370,28,267,341,0,0,39,218,11,1215,673,3.54,6.4,1.39,0
Jalen Hurd,45752,HB,TENNESSEE,13,190,45,10,25.3,228,0,900,4,13,45,583,79.1,26,1,307,1,52,84.4,74.7,86.8,,79.8,70.7,73.9,60.0,43,0,221,35,228,253,0,0,40,225,5,900,583,3.07,4.7,0.97,0
William Stanback,12197,HB,UCF,10,189,34,8,27.4,193,0,704,5,2,34,394,37.5,21,1,323,2,55,74.8,63.4,87.0,,68.5,37.0,66.3,52.4,41,0,55,11,131,230,0,0,16,200,10,704,394,2.08,3.7,0.42,0
Kevin Parks,15503,HB,VIRGINIA,12,189,27,5,19.8,148,1,747,2,4,27,390,29.2,17,1,335,1,29,84.4,73.3,17.1,,82.7,79.2,70.1,67.4,48,2,179,30,133,232,0,0,38,219,4,747,390,2.06,4.0,1.35,0
Larry Dixon,15624,HB,ARMY,12,188,22,14,42.5,465,1,1095,0,2,22,544,36.2,23,1,114,1,67,83.6,80.8,90.1,,77.5,63.7,75.2,77.5,58,2,68,4,41,462,0,0,4,192,9,1095,544,2.89,5.8,1.66,0
Leonard Fournette,11759,HB,LSU,13,188,31,15,40.2,429,0,1067,1,2,31,414,37.5,23,2,211,2,41,83.7,76.4,87.8,,79.0,62.6,74.5,56.7,89,0,94,6,49,245,0,0,8,194,10,1067,414,2.2,5.7,1.92,0
DeAndre Washington,10777,HB,TEXAS TECH,12,187,54,14,32.1,351,0,1095,7,12,54,660,107.3,34,1,315,1,30,90.9,77.8,31.1,,77.2,50.8,83.6,72.4,72,2,327,30,293,249,0,0,45,217,2,1095,660,3.53,5.9,1.12,0
Larry Rose III,39604,HB,NEW MEX ST,10,186,26,15,51.2,570,0,1113,4,10,26,429,39.7,23,0,242,3,30,66.3,65.4,84.3,,87.5,53.1,66.4,66.3,80,0,177,23,176,211,0,0,28,209,9,1113,429,2.31,6.0,1.01,0
Kenneth Farrow,10988,HB,HOUSTON,13,186,52,16,43.3,449,0,1036,0,7,52,557,85.4,28,1,182,1,42,84.2,84.9,86.8,37.5,70.3,66.3,87.7,62.3,58,1,156,21,209,253,0,0,24,207,14,1036,557,2.99,5.6,0.75,0
Robert Lowe,19368,HB,TEXAS ST,11,185,23,13,30.5,331,0,1087,3,8,23,522,41.9,31,2,314,0,50,90.8,78.7,86.9,,83.0,76.6,75.2,69.6,51,0,207,24,155,290,0,0,28,209,12,1087,522,2.82,5.9,1.34,0
Malcolm Brown,9902,HB,TEXAS,13,184,20,8,24.1,171,0,710,1,1,20,435,24.8,22,0,311,1,57,83.6,63.3,89.1,,77.5,56.5,62.0,68.7,28,0,58,16,180,237,0,0,21,200,6,710,435,2.36,3.9,0.32,0
Fredi Knighten,17824,QB,ARK STATE,13,135,18,8,24.6,249,0,638,0,0,15,245,19.9,30,1,113,13,74,33.4,64.6,90.4,69.4,,77.9,50.9,60.0,63,2,64,2,3,476,375,45,2,137,11,1013,327,1.82,5.6,21.33,0
Travis Greene,17162,HB,BOWL GREEN,12,180,49,15,42.9,405,2,945,2,10,49,505,80.0,25,2,122,1,77,83.7,70.5,25.5,,65.4,53.4,74.4,76.7,75,2,180,27,217,200,0,0,34,207,12,945,505,2.81,5.3,0.83,0
Angel Santiago,15696,QB,ARMY,12,167,12,11,40.1,335,0,735,0,0,9,285,9.2,19,1,114,13,18,24.7,54.5,87.8,50.2,,54.3,56.4,60.0,54,0,0,0,1,531,101,13,1,167,10,836,318,1.77,4.6,0.0,0
Justin Thomas,12344,QB,GA TECH,14,163,29,24,49.6,559,0,1006,0,0,27,445,45.2,46,1,176,9,38,50.8,76.7,67.6,64.9,,,76.9,60.0,65,6,0,0,0,693,121,16,0,163,8,1127,466,2.6,6.3,,0
Kale Pearson,13849,QB,AIR FORCE,12,174,22,13,37.2,269,0,691,0,1,21,368,26.6,25,0,101,6,53,63.5,72.0,89.6,75.2,,91.0,59.0,60.0,42,0,41,1,2,678,32,5,1,175,6,723,389,2.17,4.0,20.5,0
Marcus Murphy,9663,HB,MISSOURI,14,177,33,16,36.8,340,0,924,4,5,33,531,55.6,29,0,229,1,40,83.1,68.9,53.9,58.1,75.6,56.6,70.9,65.0,69,1,212,28,199,222,0,0,42,205,4,924,531,3.0,5.2,1.07,0
Tarean Folston,45676,HB,NOTRE DAME,13,175,33,9,21.8,195,0,893,0,5,33,409,46.0,26,0,258,1,42,83.1,74.1,86.6,,64.6,66.9,74.0,66.2,26,0,190,18,203,243,0,0,22,193,6,893,409,2.34,5.1,0.94,0
Rushel Shell,12053,HB,W VIRGINIA,12,174,32,8,24.3,187,0,770,0,7,32,391,44.9,18,2,343,2,15,76.6,66.9,87.3,,85.0,63.0,65.9,55.9,54,0,140,21,188,208,0,0,24,195,7,770,391,2.25,4.4,0.74,0
Derrick Henry,10679,HB,ALABAMA,14,172,31,12,32.5,322,1,990,0,5,31,521,61.6,27,1,103,1,30,82.3,79.5,85.9,,44.2,67.4,78.9,60.4,49,1,133,5,101,181,0,0,8,177,11,990,521,3.03,5.8,1.32,0
Marquise Williams,11419,QB,N CAROLINA,13,136,26,11,25.0,253,0,700,0,0,20,272,29.0,37,1,245,11,66,44.8,74.4,74.2,68.9,,87.9,71.8,60.2,52,3,17,2,1,369,312,34,2,138,13,1012,418,2.46,6.0,17.0,0
Matt Breida,12271,HB,GA SOUTHRN,12,170,18,19,57.2,849,0,1483,0,6,18,474,37.6,35,2,174,2,54,72.2,64.8,84.4,,56.5,88.2,63.0,55.6,88,0,97,8,46,291,0,0,11,178,17,1483,474,2.79,8.7,2.11,0
Zach Laskey,9909,HB,GA TECH,11,170,26,6,14.5,123,0,848,0,2,26,437,40.9,15,0,176,2,27,72.8,78.7,90.8,,54.1,72.6,76.9,64.6,26,0,49,6,43,375,0,0,8,176,9,848,437,2.57,5.0,1.14,0
Alonzo Harris,9926,HB,LA LAFAYET,12,170,43,8,25.3,204,0,807,0,2,43,601,90.4,19,0,207,3,17,60.6,65.2,5.6,,29.7,63.1,66.9,58.3,54,2,31,6,70,236,0,0,7,176,12,807,601,3.54,4.7,0.44,0
Dalvin Cook,11796,HB,FLORIDA ST,13,170,38,22,50.9,512,0,1006,1,4,38,579,74.5,34,2,167,5,38,46.7,80.1,86.8,,67.7,70.2,79.6,65.4,44,0,193,22,153,188,0,0,25,192,8,1006,579,3.41,5.9,1.26,0
