player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,ALABAMA,15,396,76,28,36.6,815,0,2225,2,10,76,1339,71.6,59,126,103,3,146,85.0,82.7,66.7,,65.1,48.3,83.0,67.5,74,1,93,10,234,433,0,0,12,406,28,2225,1339,3.38,5.6,0.4,228
Christian McCaffrey,11763,HB,STANFORD,14,337,71,24,33.7,679,0,2014,2,14,71,884,58.4,56,91,300,2,264,89.7,91.7,90.4,49.3,55.0,93.1,85.6,66.8,70,0,647,45,198,402,0,0,53,382,8,2014,884,2.62,6.0,3.27,66
Justin Jackson,29539,HB,NWESTERN,13,311,34,16,29.6,420,0,1419,3,6,34,753,29.2,30,59,256,3,137,81.2,73.2,59.4,,73.7,56.2,73.4,64.4,62,1,162,21,175,376,0,0,27,332,5,1419,753,2.42,4.6,0.93,148
Donnel Pumphrey,11887,HB,S DIEGO ST,14,309,81,25,44.8,750,0,1673,4,6,81,830,69.3,42,79,284,2,207,85.8,77.6,89.8,,74.0,76.1,73.1,54.4,72,2,416,28,180,359,0,0,47,337,17,1673,830,2.69,5.4,2.31,65
Leonard Fournette,11759,HB,LSU,12,299,85,27,42.5,834,0,1916,4,10,85,1090,108.9,60,101,211,3,101,78.6,92.0,89.6,,77.6,63.4,91.6,55.3,87,0,252,19,154,350,48,1,31,318,22,1964,1094,3.65,6.5,1.64,184
Tyler Ervin,10753,HB,S JOSE ST,13,293,43,23,41.7,671,0,1608,0,8,43,806,41.4,38,82,285,2,113,85.0,73.3,65.6,56.9,53.1,82.5,71.1,53.5,71,1,332,46,296,366,0,0,52,339,13,1608,806,2.75,5.5,1.12,159
Ezekiel Elliott,10638,HB,OHIO STATE,13,291,53,24,41.0,749,0,1829,1,2,53,1031,61.5,46,98,260,1,142,90.2,88.8,66.2,,86.6,73.8,83.2,88.4,80,1,195,26,221,466,0,0,28,317,23,1829,1031,3.54,6.3,0.88,120
Royce Freeman,45747,HB,OREGON,13,283,80,36,46.6,859,0,1844,1,9,80,1067,108.6,58,96,264,2,95,83.7,88.5,61.2,,68.3,75.6,87.8,61.1,64,1,340,26,249,346,0,0,30,309,17,1844,1067,3.77,6.5,1.37,166
Wayne Gallman,11895,HB,CLEMSON,14,282,67,19,32.9,501,0,1523,2,8,67,937,82.0,42,84,140,3,87,83.4,81.9,65.4,,80.1,59.9,81.7,69.0,66,1,199,22,200,406,0,0,26,304,13,1523,937,3.32,5.4,1.0,164
Joel Bouagnon,12167,HB,N ILLINOIS,14,282,34,18,31.2,401,0,1286,0,2,34,718,31.1,37,74,254,0,96,92.2,73.0,89.6,,82.1,60.3,70.4,73.5,58,0,131,13,200,396,0,0,16,295,18,1286,718,2.55,4.6,0.66,161
Brian Hill,11911,HB,WYOMING,12,281,46,30,45.3,744,0,1641,2,6,46,897,55.1,49,81,351,3,249,77.0,71.8,89.3,,62.4,62.8,70.0,72.1,72,1,152,20,115,335,0,0,27,301,5,1641,897,3.19,5.8,1.32,19
Ralph Webb,45802,HB,VANDERBILT,12,277,29,11,30.5,358,0,1173,6,1,29,618,22.2,21,56,333,2,63,83.3,61.1,88.5,,52.2,45.5,63.4,58.6,74,0,188,24,248,332,0,0,37,301,5,1173,618,2.23,4.2,0.76,202
Jalen Hurd,45752,HB,TENNESSEE,13,275,65,16,29.4,378,0,1286,1,5,65,797,68.1,43,67,307,4,129,69.3,78.8,59.9,,75.6,75.5,77.1,55.8,48,1,193,23,170,363,0,0,27,298,12,1286,797,2.9,4.7,1.14,121
Jahad Thomas,12326,HB,TEMPLE,14,274,38,21,44.6,560,0,1257,3,10,38,671,39.7,38,65,306,3,61,76.4,74.3,88.7,,47.3,66.9,74.8,60.2,60,0,231,22,236,323,0,0,29,296,17,1257,671,2.45,4.6,0.98,204
Alex Collins,10805,HB,ARKANSAS,13,271,58,21,38.9,615,0,1580,0,2,58,815,63.5,41,86,111,5,156,62.0,79.4,90.6,56.9,70.9,53.4,78.2,80.2,80,0,64,13,141,303,0,0,13,284,20,1580,815,3.01,5.8,0.45,69
Devontae Booker,10770,HB,UTAH,10,267,57,12,24.6,309,0,1257,3,14,57,820,71.7,34,73,328,3,102,76.0,85.2,88.8,,69.0,66.7,85.8,59.7,62,0,317,37,213,353,0,0,47,304,11,1257,820,3.07,4.7,1.49,149
Keenan Reynolds,10816,QB,NAVY,13,257,28,17,39.4,590,1,1444,0,0,27,652,26.5,37,83,237,6,24,76.4,77.7,80.5,71.2,,95.3,70.3,60.0,67,6,47,1,1,670,52,5,1,258,24,1496,657,2.51,5.7,47.0,8
Kelvin Taylor,10845,HB,FLORIDA,14,258,48,14,32.3,331,0,1025,1,11,48,649,53.8,23,66,163,0,95,91.8,77.5,16.8,,49.0,58.5,80.6,57.3,53,2,157,18,232,282,0,0,23,276,13,1025,649,2.52,4.0,0.68,160
Elijhaa Penny,11300,HB,IDAHO,12,248,26,12,23.1,273,0,1180,1,3,26,649,27.6,26,66,185,1,104,88.7,75.2,87.4,,82.0,63.2,74.2,57.9,68,0,225,27,219,284,0,0,35,275,10,1180,649,2.62,4.8,1.03,109
Aaron Green,11186,HB,TCU,13,243,41,14,29.6,373,0,1259,3,1,41,524,35.0,32,65,305,1,21,88.1,67.2,62.3,,84.9,48.8,70.3,63.8,86,1,117,16,276,343,0,0,24,259,11,1259,524,2.16,5.2,0.42,182
Tra Carson,11104,HB,TEXAS A&M,13,242,38,15,27.1,318,0,1173,2,6,38,621,41.7,32,62,312,1,84,88.0,76.8,87.8,60.6,81.8,65.9,74.4,72.0,55,0,183,29,206,317,0,0,32,271,7,1173,621,2.57,4.8,0.89,132
Marcus Cox,45800,HB,APP STATE,12,241,39,24,48.0,672,0,1400,1,3,39,861,57.9,41,63,108,3,28,80.5,68.7,89.8,,73.3,71.2,66.7,56.3,74,0,165,18,127,282,0,0,20,259,9,1400,861,3.57,5.8,1.3,191
Larry Rose III,39604,HB,NEW MEX ST,12,238,46,30,56.5,931,0,1642,6,11,46,931,83.2,49,80,242,3,22,73.4,78.3,63.9,,80.5,55.2,79.8,64.0,82,1,283,30,222,296,5,1,40,268,14,1647,933,3.9,6.9,1.27,179
Wendell Smallwood,10787,HB,W VIRGINIA,13,238,44,23,32.7,496,0,1515,2,4,44,652,50.0,58,78,343,1,72,88.0,78.6,35.6,,83.7,51.4,83.1,57.1,52,2,153,25,225,332,0,0,31,263,9,1515,652,2.74,6.4,0.68,151
