player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Phillip Lindsay,12660,HB,COLORADO,12,302,47,15,29.4,433,0,1473,3,4,47,813,42.2,38,91,143,0,200,92.4,70.6,89.1,,85.9,62.0,69.3,54.9,74,0,257,23,273,399,0,0,31,325,14,1473,813,2.69,4.9,0.94,101
Jonathan Taylor,57488,HB,WISCONSIN,14,299,66,29,43.2,851,0,1972,1,3,66,1355,101.9,61,88,349,8,149,45.3,89.2,89.5,,26.5,69.8,85.3,57.0,75,0,95,8,60,337,0,0,13,307,13,1972,1355,4.53,6.6,1.58,130
Devin Singletary,40485,HB,FAU,14,299,83,36,48.3,917,0,1898,1,10,83,1154,112.5,62,114,165,4,77,72.0,91.3,33.7,62.6,77.8,67.1,90.8,69.4,70,3,203,20,182,372,0,0,25,319,32,1898,1154,3.86,6.3,1.12,221
AJ Dillon,57165,HB,BOSTON COL,13,299,64,19,40.6,647,0,1592,0,0,64,1159,83.0,32,70,121,4,174,70.9,80.2,89.8,,52.8,50.6,78.0,54.9,75,0,0,0,57,332,0,0,0,299,14,1592,1159,3.88,5.3,0.0,125
Rashaad Penny,27414,HB,S DIEGO ST,13,289,86,35,56.6,1276,1,2231,1,3,86,1297,129.7,58,88,284,2,166,85.2,88.4,4.2,,35.4,66.2,88.2,56.1,95,3,129,19,135,326,23,1,25,308,23,2254,1297,4.47,7.8,0.96,106
Zach Abey,35594,QB,NAVY,12,280,39,12,29.9,441,0,1424,0,0,38,857,41.4,32,92,237,11,71,36.3,62.8,88.3,63.3,,68.7,59.6,60.0,75,0,5,1,3,597,51,9,1,281,19,1475,901,3.12,5.1,1.67,103
D'Angelo Brewer,45951,HB,TULSA,11,287,25,23,41.0,623,0,1519,1,1,25,815,24.9,39,83,320,1,154,84.2,67.0,29.2,,61.1,57.8,67.2,64.2,60,2,88,9,123,335,0,0,12,296,9,1519,815,2.84,5.3,0.72,130
Justin Jackson,29539,HB,NWESTERN,13,286,39,13,28.0,365,0,1305,8,10,39,716,37.2,30,73,256,1,148,90.3,66.4,43.4,72.6,68.2,48.4,70.4,56.0,79,2,276,44,305,353,0,0,56,330,11,1305,716,2.5,4.6,0.9,137
Kerryon Johnson,34455,HB,AUBURN,12,285,50,17,32.0,446,0,1394,0,7,50,826,53.5,31,84,115,1,119,90.1,86.2,88.1,74.3,78.2,75.7,83.5,56.5,60,0,193,24,205,341,0,0,25,309,18,1394,826,2.9,4.9,0.94,163
Diocemy Saint Juste,45726,HB,HAWAII,12,282,33,16,30.8,467,0,1509,3,5,33,765,33.3,35,71,180,3,74,77.4,75.1,61.8,,60.5,55.7,77.0,58.2,75,1,157,28,237,309,0,0,32,310,7,1515,765,2.71,5.4,0.66,203
Justice Hill,45865,HB,OKLA STATE,13,268,50,25,44.9,659,0,1467,3,6,50,856,59.8,46,76,262,2,43,82.8,75.4,87.6,,77.5,55.4,77.7,66.3,79,0,193,31,347,295,0,0,43,299,15,1467,856,3.19,5.5,0.56,204
Benny Snell Jr.,45954,HB,KENTUCKY,13,264,44,16,34.2,456,1,1334,2,0,44,887,54.0,35,70,202,2,103,82.3,72.6,34.7,56.7,77.5,51.7,73.0,58.3,71,2,71,10,148,319,0,0,13,274,19,1334,887,3.36,5.1,0.48,159
Bryce Love,38396,HB,STANFORD,13,262,76,35,66.4,1405,0,2116,2,2,76,1126,125.1,52,71,300,3,161,81.5,91.6,87.8,,50.7,50.3,91.4,58.3,75,0,33,6,81,281,0,0,8,268,19,2116,1126,4.3,8.1,0.41,96
Ronald Jones,34001,HB,USC,13,261,58,25,46.4,719,0,1550,1,1,58,914,75.1,41,82,326,0,76,91.9,93.1,88.0,,73.8,59.0,93.8,80.2,86,0,186,14,214,292,0,0,15,275,19,1550,914,3.5,5.9,0.87,183
David Montgomery,45719,HB,IOWA STATE,13,258,86,15,30.7,351,0,1145,1,23,86,885,127.2,33,59,193,1,102,89.5,89.3,87.5,48.8,89.5,79.3,88.0,54.0,58,0,296,36,285,312,0,0,45,294,11,1145,885,3.43,4.4,1.04,155
Akrum Wadley,28564,HB,IOWA,13,254,41,16,34.3,377,0,1099,2,10,41,687,49.1,28,57,192,3,53,75.0,74.2,58.5,,29.0,76.8,73.9,56.7,35,1,354,27,218,281,0,0,33,281,10,1099,687,2.7,4.3,1.62,190
Ahmad Bradshaw,46451,QB,ARMY,13,249,35,30,49.7,861,0,1725,0,0,35,836,47.2,49,96,114,5,43,66.6,75.7,63.5,45.0,,57.0,77.5,60.0,71,3,0,0,1,731,9,1,1,249,14,1734,838,3.35,6.9,0.0,137
Spencer Brown,57441,HB,UAB,13,250,43,14,30.4,404,0,1329,0,3,43,879,63.7,32,70,321,3,59,73.2,75.9,86.3,,73.6,44.9,74.4,73.5,51,0,40,4,80,328,0,0,4,254,10,1329,879,3.52,5.3,0.5,164
