player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Aaron Ripkowski,9639,FB,GB,16,2.0,0,100.0,,0,0,0,0.0,0,1,12,0,75.6,72.9,65.5,62.1,62.3,0.0,0,0,12,35.3,30,85,0,7,61.2,52,1.2,1,89.9,7,0,5.9,5,39,25,3.6,5.6,0.75
James Hanna,7175,TE,DAL,16,13.6,0,57.1,50.0,1,2,0,0.0,0,4,9,0,72.1,67.0,69.1,80.5,65.2,73.3,74,0,31,24.8,25,101,2,4,74.3,75,18.8,19,141.4,7,1,5.9,6,88,27,6.8,22.0,1.17
Lawrence Thomas,11265,FB,NYJ,13,1.1,1,85.7,100.0,1,1,0,14.3,1,1,22,0,49.7,70.6,49.3,25.8,50.9,3.8,2,0,15,18.9,10,53,1,6,75.5,40,0.0,0,92.3,7,0,13.2,7,43,35,5.8,7.2,1.08
Anthony Sherman,6288,FB,KC,15,1.4,0,85.7,100.0,1,1,0,0.0,0,3,16,0,74.6,76.8,67.9,24.7,60.7,18.4,14,0,11,18.4,14,76,0,6,80.3,61,2.6,2,94.6,7,0,1.3,1,47,40,6.7,7.8,0.77
Chris Carson,12004,HB,SEA,4,1.9,2,100.0,,0,0,0,0.0,0,3,29,0,75.6,83.2,73.1,44.9,58.9,0.0,0,0,10,17.9,17,95,0,7,74.7,71,2.1,2,141.4,7,1,10.5,10,59,46,6.6,8.4,0.83
Jared Abbrederis,8811,WR,DET,7,7.6,0,42.9,50.0,1,2,0,0.0,0,2,11,0,70.5,65.8,57.9,62.4,58.0,0.0,0,0,25,1.4,1,71,0,3,94.4,67,21.1,15,64.0,7,0,78.9,56,44,28,9.3,14.7,0.66
Mike Thomas,10840,WR,LA,7,15.4,0,71.4,100.0,2,2,0,0.0,0,3,26,1,73.4,69.5,59.9,,62.1,0.0,0,0,50,0.0,0,62,1,5,95.2,59,21.0,13,113.7,7,0,77.4,48,93,22,4.4,18.6,1.58
D'Onta Foreman,11844,HB,HST,10,3.1,0,85.7,0.0,0,1,0,0.0,0,4,13,0,74.6,33.0,59.9,83.4,65.7,0.0,0,0,34,17.5,11,63,0,6,74.6,47,4.8,3,116.1,7,0,9.5,6,83,66,11.0,13.8,1.77
Jamize Olawale,7572,FB,OAK,9,1.3,1,85.7,,0,0,0,0.0,0,1,23,0,74.6,23.5,64.8,87.9,62.6,11.9,7,0,9,30.5,18,59,0,6,66.1,39,10.2,6,86.3,7,0,8.5,5,33,26,4.3,5.5,0.85
Akeem Hunt,9839,HB,KC,11,-3.3,0,66.7,,0,0,0,33.3,2,1,16,0,28.6,82.8,50.7,46.5,39.5,0.0,0,0,20,7.3,3,41,0,4,90.2,37,0.0,0,79.2,6,0,48.8,20,31,45,11.3,7.8,0.84
Will Tye,10070,TE,NYJ,3,3.7,0,66.7,0.0,0,1,0,20.0,1,1,22,0,46.3,68.0,49.7,49.0,54.1,55.0,33,0,21,15.0,9,60,0,4,78.3,47,20.0,12,84.0,6,0,21.7,13,38,17,4.3,9.5,0.81
Phillip Supernaw,7324,TE,TEN,13,7.8,0,66.7,100.0,2,2,0,0.0,0,2,31,0,72.1,67.0,49.0,60.2,61.8,74.5,38,1,20,31.4,16,51,2,4,58.8,30,7.8,4,84.7,6,1,3.9,2,39,16,4.0,9.8,1.3
Alan Cross,10931,FB,TB,8,6.7,0,83.3,50.0,1,2,0,16.7,1,3,30,0,45.8,68.0,60.6,27.4,60.2,22.2,12,0,23,9.3,5,54,0,5,87.0,47,16.7,9,106.9,6,0,11.1,6,58,26,5.2,11.6,1.23
Cobi Hamilton,7978,WR,HST,2,15.7,0,16.7,33.3,1,3,0,0.0,0,1,13,0,64.7,61.2,56.5,,56.4,0.0,0,1,8,0.0,0,28,0,1,92.9,26,17.9,5,0.0,6,0,82.1,23,8,3,3.0,8.0,0.31
