player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Antonio Brown,5718,WR,PIT,16,10.4,17,72.5,,0,0,1,3.7,5,86,25,1,89.7,72.5,91.2,,91.2,0.3,2,3,63,0.0,0,672,5,129,94.6,636,16.5,111,119.5,178,13,82.1,552,1698,615,4.8,13.2,2.67
Demaryius Thomas,5547,WR,DEN,16,10.5,11,62.4,,0,0,0,7.5,9,69,10,0,63.4,84.4,89.9,,89.9,0.0,0,6,86,0.0,0,626,4,111,93.1,583,19.3,121,98.5,178,11,80.7,505,1619,668,6.0,14.6,2.78
Julio Jones,6158,WR,ATL,15,12.4,16,66.7,,0,0,0,7.1,8,76,2,2,63.5,34.8,89.8,,88.0,0.0,0,4,79,0.0,0,616,2,104,95.0,585,12.8,79,102.3,156,6,86.7,534,1593,553,5.3,15.3,2.72
Jordy Nelson,4350,WR,GB,16,12.0,14,67.1,,0,0,0,7.5,8,71,12,0,51.9,85.2,89.4,,87.8,0.2,1,1,80,0.0,0,606,1,98,94.1,570,20.6,125,128.2,146,13,79.2,480,1519,519,5.3,15.5,2.66
Kelvin Benjamin,8663,WR,CAR,16,14.9,9,51.4,,0,0,0,13.1,11,52,5,1,33.9,49.6,73.5,,73.2,0.0,0,3,51,0.0,0,572,7,73,94.6,541,12.6,72,86.8,142,9,87.4,500,1008,177,2.4,13.8,1.86
Andre Johnson,1319,WR,HST,15,9.7,6,60.3,,0,0,0,9.6,9,49,13,3,55.5,24.8,75.3,,74.2,0.4,2,3,35,0.0,0,517,1,85,93.8,485,18.4,95,78.2,141,3,80.7,417,936,383,4.5,11.0,1.93
Emmanuel Sanders,5606,WR,DEN,16,12.9,8,72.1,,0,0,0,1.9,2,69,10,1,90.1,61.8,87.9,,89.9,0.0,0,2,48,0.0,0,615,5,101,93.3,574,36.9,227,119.6,140,9,62.8,386,1409,381,3.8,14.0,2.45
Jeremy Maclin,4942,WR,PHI,16,13.9,8,60.7,,0,0,1,1.2,1,56,24,0,90.8,83.0,80.6,,80.3,0.2,1,7,72,0.0,0,657,3,85,94.7,622,21.0,138,94.9,140,10,78.1,513,1318,511,6.0,15.5,2.12
Vincent Jackson,2278,WR,TB,16,15.0,6,50.7,,0,0,0,9.1,7,51,30,1,57.5,48.1,75.7,,75.1,0.0,0,6,50,0.0,0,621,2,70,93.2,579,24.2,150,61.3,138,2,75.8,471,1002,159,2.3,14.3,1.73
Golden Tate,5585,WR,DET,16,7.9,20,72.8,,0,0,0,5.7,6,58,11,1,76.3,59.8,79.3,,80.1,1.8,12,3,73,0.0,0,665,1,99,94.1,626,58.6,390,104.1,136,4,39.1,260,1331,709,7.2,13.4,2.13
Alshon Jeffery,7048,WR,CHI,16,11.7,6,63.0,,0,0,0,5.6,5,60,6,0,66.5,57.0,76.6,70.2,76.3,1.0,7,3,74,0.1,1,667,6,85,93.3,622,20.1,134,105.0,135,10,78.6,524,1133,483,5.7,13.3,1.82
Dez Bryant,5549,WR,DAL,16,13.1,16,65.2,,0,0,0,5.4,5,60,9,0,77.2,84.8,90.6,,90.5,0.0,0,5,68,0.0,0,517,1,88,95.2,492,16.1,83,121.2,135,16,83.9,434,1320,373,4.2,15.0,2.68
Steve Smith,837,WR,BLT,16,11.3,20,60.8,,0,0,2,9.2,8,45,3,2,58.3,31.5,76.2,,75.4,0.2,1,3,80,0.0,0,534,5,79,92.3,493,15.5,83,92.7,130,6,84.3,450,1068,375,4.7,13.5,2.17
Odell Beckham Jr.,8647,WR,NYG,12,12.3,15,70.5,,0,0,0,2.2,2,57,21,0,88.4,87.3,90.8,,91.2,0.0,0,2,80,0.0,0,501,2,91,94.6,474,20.8,104,127.6,129,12,76.8,385,1305,481,5.3,14.3,2.75
Martellus Bennett,4375,TE,CHI,16,6.5,25,72.0,,0,0,2,8.2,8,44,6,0,54.8,83.1,79.5,59.4,78.3,40.5,272,6,37,12.2,82,672,6,90,82.0,551,43.8,294,88.6,125,6,12.1,81,916,471,5.2,10.2,1.66
Randall Cobb,6216,WR,GB,16,9.0,18,72.8,,0,0,0,8.1,8,71,12,1,62.8,64.8,82.7,,84.8,0.0,0,1,70,0.0,0,610,0,91,94.1,574,87.7,535,134.3,125,12,9.3,57,1287,607,6.7,14.1,2.24
Calvin Johnson,3618,WR,DET,13,15.7,1,57.3,,0,0,0,9.0,7,59,11,0,58.9,81.4,89.8,,88.2,0.0,0,4,67,0.0,0,494,2,71,94.9,469,14.8,73,94.1,124,8,85.2,421,1077,241,3.4,15.2,2.3
Rob Gronkowski,5567,TE,NE,15,10.0,19,66.1,,0,0,3,7.9,7,60,19,0,59.6,82.4,91.7,75.4,91.9,36.9,200,3,46,11.3,61,542,6,82,81.9,444,42.3,229,117.1,124,12,19.7,107,1124,460,5.6,13.7,2.53
Julian Edelman,5156,WR,NE,14,7.6,13,74.2,,0,0,0,10.7,11,49,19,2,49.4,47.6,75.8,73.3,75.2,0.9,5,1,69,0.4,2,553,1,92,92.0,509,39.6,219,103.9,124,4,59.1,327,971,435,4.7,10.6,1.91
Sammy Watkins,8639,WR,BUF,16,13.5,10,52.4,,0,0,0,7.1,5,48,4,1,67.2,47.0,69.3,,69.0,0.0,0,4,84,0.0,0,649,6,65,95.2,618,6.9,45,81.5,124,6,93.1,604,982,341,5.2,15.1,1.59
T.Y. Hilton,7092,WR,IND,15,14.4,5,66.7,,0,0,0,5.7,5,63,14,3,74.3,24.7,84.2,,82.9,0.0,0,3,73,0.0,0,602,0,82,94.7,570,41.2,248,112.0,123,7,58.8,354,1346,364,4.4,16.4,2.36
Roddy White,2244,WR,ATL,14,10.5,0,65.6,,0,0,0,11.1,10,55,2,3,47.3,24.1,68.5,55.9,69.3,0.2,1,4,39,0.2,1,620,5,80,95.2,590,26.1,162,93.6,122,7,73.7,457,921,185,2.3,11.5,1.56
Rueben Randle,7065,WR,NYG,16,12.6,13,58.2,,0,0,0,5.3,4,48,21,0,77.0,81.7,76.9,,76.3,0.0,0,5,49,0.0,0,626,2,71,94.9,594,5.0,31,73.7,122,3,95.0,595,938,227,3.2,13.2,1.58
Anquan Boldin,1369,WR,SF,16,9.6,12,68.6,,0,0,3,10.8,10,56,28,0,55.0,84.7,79.3,,79.2,0.8,5,2,76,0.0,0,592,7,83,91.9,544,62.5,370,102.7,121,5,36.1,214,1062,403,4.9,12.8,1.95
Jimmy Graham,5619,TE,NO,16,8.6,7,70.2,,0,0,1,8.6,8,54,20,2,51.6,54.8,74.7,62.9,73.4,29.0,167,3,29,4.7,27,576,4,85,90.6,522,42.9,247,108.5,121,10,27.8,160,889,294,3.5,10.5,1.7
Greg Olsen,3647,TE,CAR,16,8.5,2,69.4,,0,0,0,3.4,3,56,5,1,86.6,53.4,84.2,83.2,82.8,29.2,186,3,38,10.8,69,636,5,84,83.8,533,47.5,302,100.8,121,6,13.2,84,1008,381,4.5,12.0,1.89
DeAndre Hopkins,7808,WR,HST,16,13.4,7,63.3,,0,0,0,3.8,3,58,13,2,84.6,28.6,84.0,83.2,83.6,0.5,3,6,76,0.5,3,576,3,76,92.7,534,30.2,174,92.7,120,6,69.3,399,1210,384,5.1,15.9,2.27
Matt Forte,4358,HB,CHI,16,0.2,20,86.4,,0,0,1,5.6,6,28,6,1,78.0,79.5,63.6,55.1,69.2,0.0,0,1,56,18.6,125,671,2,102,75.9,509,2.8,19,103.0,118,4,3.3,22,808,821,8.0,7.9,1.59
Mike Evans,8642,WR,TB,15,15.8,7,58.6,,0,0,1,5.6,4,46,30,0,80.8,81.3,84.6,,84.0,0.0,0,6,56,0.0,0,544,5,68,93.8,510,27.8,151,101.6,116,12,72.2,393,1051,170,2.5,15.5,2.06
Brandon LaFell,5602,WR,NE,16,11.3,12,64.9,,0,0,0,6.3,5,50,19,1,76.9,52.8,75.1,61.6,74.3,0.0,0,2,56,0.2,1,574,6,74,92.9,533,16.7,96,104.2,114,7,83.3,478,953,361,4.9,12.9,1.79
Keenan Allen,7857,WR,SD,14,8.8,12,68.8,,0,0,0,4.9,4,42,27,1,83.4,58.4,76.1,,74.9,0.0,0,6,35,0.0,0,527,1,77,93.9,495,15.2,80,78.1,112,4,84.8,447,783,311,4.0,10.2,1.58
Eric Decker,5611,WR,NYJ,15,11.3,3,67.3,,0,0,1,9.8,8,47,22,0,54.6,83.9,78.3,,77.0,0.0,0,4,74,0.0,0,476,3,74,95.4,454,15.3,73,94.6,110,5,84.7,403,962,328,4.4,13.0,2.12
