player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Julio Jones,6158,WR,ATL,16,10.5,20,70.5,,0,0,0,6.8,10,93,2,3,67.7,30.4,92.5,,92.1,0.3,2,2,70,0.0,0,658,1,136,93.5,615,28.3,186,110.7,193,8,71.3,469,1871,665,4.9,13.8,3.04
Antonio Brown,5718,WR,PIT,16,11.3,23,71.6,,0,0,1,3.5,5,84,25,1,90.7,57.0,92.5,,92.6,0.0,0,9,59,0.0,0,689,4,136,91.7,632,18.4,127,99.8,190,10,80.7,556,1834,624,4.6,13.5,2.9
DeAndre Hopkins,7808,WR,HST,16,14.8,5,59.4,,0,0,2,5.9,7,83,13,1,75.5,60.2,90.4,66.2,90.6,0.1,1,5,61,0.1,1,700,6,111,94.6,662,15.3,107,93.9,187,11,84.4,591,1521,216,1.9,13.7,2.3
Demaryius Thomas,5547,WR,DEN,16,10.5,19,62.1,,0,0,0,10.3,12,64,10,2,47.2,33.6,79.3,,78.4,0.3,2,7,72,0.0,0,621,5,105,95.2,591,23.5,146,80.6,169,6,76.2,473,1304,492,4.7,12.4,2.21
Brandon Marshall,3064,WR,NYJ,16,12.7,14,65.3,,0,0,0,9.2,11,76,22,3,56.1,26.2,85.4,62.4,85.8,0.0,0,9,69,0.2,1,665,6,109,96.1,639,22.7,151,99.4,167,14,77.3,514,1502,439,4.0,13.8,2.35
Jarvis Landry,8698,WR,MIA,16,7.4,26,71.0,,0,0,1,6.0,7,60,17,0,76.2,90.5,87.8,73.1,86.1,1.2,7,3,50,0.2,1,597,6,110,95.0,567,69.3,414,92.9,155,4,27.0,161,1157,571,5.2,10.5,2.04
Odell Beckham Jr.,8647,WR,NYG,15,12.1,13,62.7,0.0,0,1,2,4.0,4,68,21,2,84.2,40.9,88.1,,90.1,0.0,0,3,87,0.0,0,641,8,96,93.3,598,26.1,167,114.0,153,13,72.9,467,1450,591,6.2,15.1,2.42
Mike Evans,8642,WR,TB,15,15.5,4,50.7,,0,0,1,16.9,15,64,30,1,28.9,81.8,83.5,,85.7,0.0,0,5,68,0.0,0,552,10,74,91.7,506,19.7,109,71.3,146,3,80.3,443,1206,239,3.2,16.3,2.38
Michael Crabtree,4933,WR,OAK,16,10.2,17,59.4,,0,0,0,8.6,8,45,23,1,59.7,53.1,77.2,,75.9,0.0,0,2,38,0.0,0,595,3,85,95.0,565,28.2,168,93.6,143,9,71.8,427,922,281,3.3,10.8,1.63
Calvin Johnson,3618,WR,DET,16,13.6,2,62.0,0.0,0,1,0,5.4,5,65,11,1,77.4,57.7,88.6,,86.0,0.0,0,4,57,0.0,0,688,1,88,95.2,655,12.8,88,98.7,142,9,87.2,600,1214,304,3.5,13.8,1.85
Allen Robinson II,8696,WR,JAX,16,16.0,10,56.3,,0,0,0,9.1,8,61,15,0,58.6,82.2,84.0,,83.8,0.0,0,6,90,0.0,0,682,3,80,94.6,645,15.1,103,105.4,142,14,84.9,579,1400,353,4.4,17.5,2.17
Larry Fitzgerald,1724,WR,ARZ,16,8.7,6,78.4,,0,0,0,2.7,3,66,1,3,90.3,38.0,90.0,72.6,87.6,2.5,15,2,44,1.3,8,606,1,109,91.1,552,57.8,350,118.7,139,9,39.4,239,1215,469,4.3,11.1,2.2
Emmanuel Sanders,5606,WR,DEN,15,14.6,6,58.0,,0,0,0,7.3,6,52,10,1,66.3,88.4,81.9,,81.8,0.0,0,4,75,0.0,0,564,1,76,95.4,538,20.7,117,89.1,131,6,78.5,443,1135,364,4.8,14.9,2.11
Delanie Walker,3120,TE,TEN,15,9.6,16,72.3,,0,0,1,5.1,5,52,31,0,79.0,83.2,88.0,77.2,84.8,26.3,138,4,61,2.5,13,524,2,94,92.0,482,55.0,288,99.8,130,6,17.9,94,1088,398,4.2,11.6,2.26
Eric Decker,5611,WR,NYJ,15,12.4,2,63.5,,0,0,1,9.1,8,60,22,1,58.1,54.8,78.0,,79.7,1.4,8,2,35,0.0,0,588,5,80,96.4,567,68.4,402,114.1,126,12,30.3,178,1027,222,2.8,12.8,1.81
Brandin Cooks,8655,WR,NO,16,12.6,4,66.7,0.0,0,1,0,3.4,3,45,20,1,85.6,83.7,73.1,65.7,73.0,0.0,0,4,71,0.1,1,674,2,84,93.0,627,30.1,203,105.9,126,9,69.7,470,1138,370,4.4,13.5,1.81
