player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
LaJohntay Wester,123616,WR,FAU,9,8.4,9,72.3,60.0,9,15,0,12.2,12,47,165,2,53.5,82.9,85.8,,89.7,5.3,18,7,76,0.0,0,342,0,86,97.7,334,72.8,249,95.2,119,8,19.3,66,1000,455,5.3,11.6,2.99
Malik Washington,97108,WR,VIRGINIA,10,8.7,26,77.2,57.1,8,14,0,3.3,3,48,335,0,87.9,78.3,90.5,,91.7,5.0,19,5,64,0.0,0,380,1,88,94.7,360,87.9,334,110.9,114,7,6.8,26,1157,572,6.5,13.1,3.21
Tory Horton,128232,WR,COLO STATE,9,8.4,20,74.0,33.3,3,9,1,3.8,3,47,144,1,85.1,64.0,85.4,,84.0,0.0,0,5,76,0.0,0,340,3,77,95.0,323,29.4,100,97.0,104,6,70.3,239,848,484,6.3,11.0,2.63
Malik Nabers,146759,WR,LSU,9,13.2,20,68.0,50.0,8,16,0,5.7,4,53,211,0,78.1,75.4,92.6,,92.5,0.0,0,2,51,0.0,0,321,2,66,96.6,310,53.6,172,134.0,97,10,46.4,149,1151,381,5.8,17.4,3.71
Khaleb Hood,97159,WR,GA SOUTHRN,9,7.5,6,75.8,62.5,10,16,0,6.5,5,42,174,0,74.7,82.4,79.1,,80.8,1.6,6,0,43,0.0,0,370,2,72,95.7,354,86.5,320,112.4,95,4,11.6,43,756,299,4.2,10.5,2.14
Ricky White,129639,WR,UNLV,10,12.0,7,65.3,53.8,7,13,0,6.1,4,38,325,0,75.5,74.9,89.9,,89.7,0.0,0,4,82,0.0,0,267,0,62,96.6,258,27.0,72,104.8,95,6,73.0,195,1022,428,6.9,16.5,3.96
Jacob Cowing,100894,WR,ARIZONA,9,5.0,7,73.9,25.0,3,12,0,4.2,3,30,109,1,82.3,64.3,72.1,62.1,74.2,0.0,0,4,30,0.3,1,336,1,68,95.8,322,70.2,236,102.2,92,9,29.2,98,530,359,5.3,7.8,1.65
Terrell Vaughn,157634,WR,UTAH ST,9,9.0,14,71.4,36.4,4,11,0,3.0,2,29,329,0,86.6,76.3,71.2,,73.8,0.0,0,3,76,0.0,0,373,0,65,95.4,356,95.2,355,114.4,91,9,4.3,16,733,327,5.0,11.3,2.06
Marvin Harrison Jr.,145056,WR,OHIO STATE,9,12.8,4,57.8,37.5,9,24,0,8.8,5,37,260,0,67.1,74.4,86.1,,86.3,0.7,2,2,75,0.0,0,283,1,52,95.4,270,20.5,58,120.3,90,10,78.8,223,914,345,6.6,17.6,3.39
Isaiah Williams,97156,WR,ILLINOIS,9,7.9,13,65.6,27.3,3,11,0,4.8,3,33,187,1,79.6,65.9,79.6,,80.2,1.5,5,3,49,0.0,0,328,0,59,93.6,307,83.5,274,86.0,90,3,14.6,48,693,371,6.3,11.7,2.26
