player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Xavier Hutchinson,122518,WR,IOWA STATE,12,9.2,15,66.5,45.2,14,31,0,5.3,6,62,193,1,81.3,78.5,89.7,,89.4,0.4,2,3,38,0.0,0,451,0,107,95.3,430,29.3,132,92.4,161,6,70.1,316,1171,447,4.2,10.9,2.72
Rashee Rice,97605,WR,SMU,12,11.2,19,61.5,48.5,16,33,1,8.6,9,56,287,3,64.9,27.9,85.9,,85.6,0.2,1,4,75,0.0,0,469,1,96,93.8,440,17.3,81,99.9,156,10,82.5,387,1344,593,6.2,14.0,3.05
Tank Dell,78874,WR,HOUSTON,12,11.3,18,72.3,63.6,7,11,0,8.1,9,66,182,2,71.1,56.4,84.3,,85.3,0.0,0,2,63,0.0,0,541,2,102,95.6,517,68.4,370,132.0,141,15,31.4,170,1355,523,5.1,13.3,2.62
Charlie Jones,55038,WR,PURDUE,12,11.3,5,70.3,51.3,20,39,1,3.0,3,53,273,1,89.5,72.3,78.3,61.0,80.1,0.0,0,1,60,0.2,1,483,3,97,94.2,455,10.6,51,122.8,138,12,89.4,432,1199,380,3.9,12.4,2.64
Jayshon Jackson,78041,WR,BALL ST,12,8.5,13,58.9,30.0,9,30,0,6.2,5,44,117,0,76.7,85.6,72.4,54.4,71.8,0.0,0,3,43,0.2,1,478,0,76,94.1,450,49.4,236,75.7,129,3,50.6,242,820,462,6.1,10.8,1.82
Zay Flowers,97268,WR,BOSTON COL,12,10.4,15,62.9,58.3,7,12,0,9.3,8,49,121,2,64.9,56.0,76.0,,76.6,0.0,0,5,69,0.0,0,506,1,78,95.8,485,32.8,166,106.1,124,12,66.6,337,1077,503,6.4,13.8,2.22
Malachi Corley,66272,WR,W KENTUCKY,13,6.0,36,73.2,35.3,6,17,0,3.2,3,50,346,0,88.7,79.3,83.5,63.1,83.0,0.0,0,1,76,0.2,1,458,1,90,94.8,434,91.3,418,123.6,123,9,7.6,35,1168,909,10.1,13.0,2.69
Tyrin Smith,145487,WR,UTEP,12,13.3,14,58.2,16.7,2,12,0,11.3,9,45,330,1,50.0,55.6,72.8,,73.5,0.0,0,3,74,0.0,0,424,2,71,94.8,402,77.6,329,95.2,122,7,22.4,95,1047,306,4.3,14.7,2.6
Jacob Cowing,100894,WR,ARIZONA,12,8.4,16,69.7,50.0,5,10,0,7.6,7,50,109,1,71.6,46.7,79.0,,80.0,0.0,0,4,39,0.0,0,502,1,85,95.2,478,70.7,355,100.9,122,7,28.9,145,1034,638,7.5,12.2,2.16
Isaiah Winstead,91115,WR,E CAROLINA,12,10.4,14,67.8,47.4,18,38,0,3.5,3,50,156,2,86.3,36.5,76.7,,77.4,0.0,0,1,67,0.0,0,492,3,82,95.1,468,7.5,37,101.0,121,4,92.5,455,1013,320,3.9,12.4,2.16
Will Sheppard,124360,WR,VANDERBILT,12,13.5,13,51.7,27.0,10,37,1,4.8,3,41,333,2,80.4,45.8,75.2,,76.3,0.3,1,6,31,0.0,0,388,3,60,93.6,363,19.6,76,77.1,116,9,80.2,311,768,274,4.6,12.8,2.12
Khaleb Hood,97159,WR,GA SOUTHRN,12,7.8,9,69.8,31.6,6,19,0,4.7,4,41,174,1,81.7,61.8,67.7,,68.8,0.2,1,2,46,0.0,0,476,2,81,95.6,455,93.3,444,93.8,116,3,6.1,29,892,506,6.2,11.0,1.96
Corey Crooms,97276,WR,W MICHIGAN,12,13.0,9,49.6,24.0,6,25,0,5.0,3,36,347,0,79.4,75.0,75.1,,75.8,0.0,0,6,75,0.0,0,425,1,57,93.4,397,77.4,329,65.8,115,5,22.4,95,818,291,5.1,14.4,2.06
A.T. Perry,77975,WR,WAKE,12,14.9,4,62.5,45.8,11,24,0,9.1,7,48,339,0,66.2,75.4,80.8,,80.8,0.0,0,4,68,0.0,0,415,1,70,94.7,393,8.4,35,108.6,112,11,91.6,380,984,138,2.0,14.1,2.5
Jose Barbon,78032,WR,TEMPLE,12,11.2,16,63.1,55.6,15,27,0,6.7,5,41,306,0,74.3,77.4,71.6,,71.7,0.0,0,3,78,0.0,0,476,1,70,96.4,459,22.1,105,82.9,111,2,77.9,371,892,350,5.0,12.7,1.94
Shocky Jacques-Louis,77960,WR,AKRON,12,12.3,7,67.3,44.4,12,27,0,3.9,3,45,102,1,79.9,60.4,72.0,70.3,73.5,0.0,0,4,41,0.4,2,544,5,74,95.0,517,12.9,70,83.8,110,2,86.9,473,917,223,3.0,12.4,1.77
Trey Palmer,99248,WR,NEBRASKA,12,13.5,13,64.5,30.4,7,23,0,12.3,10,40,238,1,54.0,64.4,83.7,,83.6,0.3,1,5,87,0.0,0,336,3,71,95.2,320,67.3,226,103.7,110,9,32.1,108,1043,385,5.4,14.7,3.26
Keylon Stokes,65080,WR,TULSA,12,12.1,17,69.1,62.5,15,24,0,8.4,7,48,320,1,67.9,70.4,79.9,,80.9,0.0,0,4,76,0.0,0,461,1,76,94.1,434,97.2,448,115.1,110,8,2.6,12,1224,416,5.5,16.1,2.82
Tory Horton,128232,WR,COLO STATE,12,12.9,15,65.1,44.4,8,18,0,10.1,8,38,144,1,62.9,83.0,78.9,,79.9,0.2,1,6,69,0.0,0,438,1,71,93.4,409,18.5,81,101.1,109,8,81.3,356,1131,415,5.8,15.9,2.77
Brian Cobbs,84285,WR,UTAH ST,12,13.2,7,64.8,66.7,14,21,0,5.4,4,40,329,0,79.1,75.4,73.3,67.8,74.4,0.0,0,6,44,0.7,3,448,1,70,89.7,402,5.6,25,77.9,108,4,94.0,421,844,175,2.5,12.1,2.1
Marvin Harrison Jr.,145056,WR,OHIO STATE,12,14.1,7,66.7,62.1,18,29,0,1.4,1,56,260,0,91.6,75.9,90.2,,90.0,0.0,0,1,58,0.0,0,389,1,72,94.3,367,14.1,55,135.5,108,12,85.9,334,1157,309,4.3,16.1,3.15
