player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zay Jones,11792,WR,E CAROLINA,12,8.5,24,73.1,,0,0,0,3.7,6,93,156,0,90.7,79.9,90.9,65.9,90.7,0.5,3,5,77,0.3,2,617,1,158,95.5,589,30.8,190,99.4,216,8,68.7,424,1744,790,5.0,11.0,2.96
Noel Thomas,12191,WR,UCONN,12,10.7,16,61.3,,0,0,0,6.5,7,56,146,2,72.4,51.5,79.9,,80.6,0.0,0,6,62,0.0,0,483,0,100,96.1,464,67.7,327,74.1,163,3,31.7,153,1179,544,5.4,11.8,2.54
Richie James,28991,WR,MIDDLE TN,12,9.6,22,64.7,,0,0,0,6.7,7,63,224,0,75.5,65.9,85.2,64.4,86.8,0.8,4,5,56,0.2,1,509,3,97,93.9,478,91.2,464,107.2,150,11,3.9,20,1463,786,8.1,15.1,3.06
Chad Hansen,11896,WR,CAL,10,11.6,7,63.9,,0,0,0,4.2,4,53,130,0,81.4,76.8,85.8,60.5,85.5,0.0,0,2,70,0.2,1,427,1,92,93.4,399,2.6,11,111.1,144,11,97.0,414,1248,445,4.8,13.6,3.13
Amba Etta-Tawo,12034,WR,SYRACUSE,12,12.6,12,65.7,,0,0,0,6.0,6,57,304,0,74.9,76.7,76.9,,79.2,0.0,0,6,81,0.0,0,624,6,94,95.2,594,17.1,107,115.1,143,14,82.9,517,1480,646,6.9,15.7,2.49
Kenny Golladay,11851,WR,N ILLINOIS,12,13.3,8,61.7,,0,0,0,4.4,4,52,254,1,83.3,66.1,87.2,,85.2,0.0,0,1,49,0.0,0,409,2,87,96.3,394,7.1,29,103.6,141,8,92.4,378,1156,301,3.5,13.3,2.93
Trent Taylor,11932,WR,LA TECH,12,6.9,14,81.4,,0,0,0,2.6,3,66,208,1,91.4,59.3,85.5,,86.3,0.0,0,2,76,0.0,0,458,2,114,97.2,445,95.2,436,128.4,140,10,4.4,20,1475,859,7.5,12.9,3.31
Courtland Sutton,48164,WR,SMU,12,15.3,13,58.5,,0,0,2,6.2,5,55,287,0,72.7,76.6,83.7,,85.5,0.0,0,5,88,0.0,0,469,5,76,93.0,436,19.4,91,100.2,130,10,80.6,378,1241,284,3.7,16.3,2.85
Linell Bonner,38628,WR,HOUSTON,11,8.3,5,73.6,,0,0,0,1.0,1,54,182,2,93.7,42.9,81.5,,82.5,0.0,0,4,55,0.0,0,454,1,95,95.4,433,96.5,438,93.1,129,3,1.8,8,1079,509,5.4,11.4,2.49
Keevan Lucas,47572,WR,TULSA,12,13.3,11,59.1,,0,0,0,13.8,12,48,320,1,49.2,56.7,73.0,,73.8,0.2,1,6,74,0.0,0,450,4,75,94.7,426,97.1,437,99.6,127,12,2.7,12,1112,327,4.4,14.8,2.61
KeVonn Mabon,12295,WR,BALL ST,12,8.5,18,68.5,,0,0,0,5.6,5,56,117,0,79.1,80.4,77.6,,78.0,0.0,0,4,44,0.0,0,477,1,85,94.5,451,17.2,82,86.5,124,3,81.1,387,972,503,5.9,11.4,2.16
Taywan Taylor,11827,WR,W KENTUCKY,12,14.0,10,66.7,,0,0,0,7.9,7,49,346,2,70.4,41.1,88.8,,89.3,0.0,0,3,80,0.0,0,388,2,82,95.9,372,15.7,61,132.6,123,14,82.2,319,1392,573,7.0,17.0,3.74
Gabe Marks,12245,WR,WASH STATE,12,10.6,4,69.7,,0,0,1,4.5,4,44,341,0,83.3,76.6,71.7,,71.8,0.0,0,1,53,0.0,0,515,2,85,94.4,486,12.6,65,121.9,122,13,86.8,447,867,310,3.6,10.2,1.78
Robert Davis,11964,WR,GA STATE,12,13.0,10,54.9,,0,0,0,4.3,3,41,175,1,82.1,51.8,74.5,,73.1,0.0,0,2,65,0.0,0,419,0,67,96.7,405,11.5,48,87.7,122,5,88.5,371,968,402,6.0,14.4,2.39
Ervin Philips,47518,WR,SYRACUSE,12,6.0,7,73.0,,0,0,0,6.3,6,44,304,1,76.2,58.7,68.4,,67.8,0.0,0,2,58,0.0,0,541,2,89,95.6,517,97.0,525,100.3,122,6,3.0,16,815,400,4.5,9.2,1.58
J'Mon Moore,48316,WR,MISSOURI,12,13.4,9,50.8,,0,0,1,13.9,10,31,229,3,48.8,22.7,65.6,,64.0,0.0,0,2,82,0.0,0,434,1,62,95.2,413,2.1,9,93.5,122,8,97.5,423,996,449,7.2,16.1,2.41
Steven Sims,48341,WR,KANSAS,12,10.5,12,59.5,,0,0,0,5.3,4,35,198,1,79.2,56.5,66.2,,65.4,0.0,0,8,74,0.0,0,501,2,72,95.8,480,5.8,29,72.8,121,7,94.0,471,853,440,6.1,11.8,1.78
Anthony Miller,48160,WR,MEMPHIS,12,11.9,7,69.4,,0,0,0,8.7,8,51,218,1,67.3,58.4,80.4,54.4,81.9,0.0,0,1,84,0.0,0,410,1,84,95.6,392,29.0,119,131.0,121,11,70.2,288,1284,515,6.1,15.3,3.28
