player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tajae Sharpe,10774,WR,UMASS,12,11.4,9,63.3,,0,0,0,2.6,3,69,216,0,91.5,77.8,88.1,63.5,89.1,0.2,1,5,49,0.2,1,557,5,112,95.2,530,30.9,172,83.2,177,5,68.9,384,1307,330,2.9,11.7,2.47
Keyarris Garrett,11008,WR,TULSA,12,15.5,20,59.5,,0,0,0,2.2,2,57,320,2,88.5,39.6,79.1,,79.5,0.0,0,4,50,0.0,0,543,3,88,93.4,507,4.8,26,96.8,148,7,95.2,517,1446,398,4.5,16.4,2.85
Gabe Marks,12245,WR,WASH STATE,12,8.9,10,70.0,,0,0,0,3.9,4,63,341,2,86.6,59.6,75.9,,75.9,0.0,0,2,43,0.0,0,652,1,98,97.1,633,7.2,47,121.0,140,14,92.8,605,1116,489,5.0,11.4,1.76
Jordan Williams-Lambert,11238,WR,BALL ST,12,14.2,4,53.3,,0,0,0,11.0,9,45,117,1,59.1,60.6,71.2,,71.7,0.0,0,3,51,0.0,0,502,4,73,95.0,477,1.4,7,84.9,137,8,98.6,495,924,230,3.2,12.7,1.94
Richie James,28991,WR,MIDDLE TN,12,5.2,17,75.4,,0,0,0,4.9,5,55,224,1,82.8,63.1,90.8,,91.4,0.3,1,3,69,0.0,0,370,3,98,97.0,359,88.6,328,109.1,130,6,6.5,24,1200,892,9.1,12.2,3.34
Shaq Washington,38626,WR,CINCINNATI,12,9.2,9,68.8,,0,0,0,3.3,3,63,138,0,88.3,76.5,89.2,,88.8,0.0,0,6,46,0.0,0,465,1,88,94.4,439,93.8,436,87.0,128,6,6.0,28,970,313,3.6,11.0,2.21
Corey Davis,11760,WR,W MICHIGAN,12,10.6,13,64.6,,0,0,1,8.9,8,53,347,1,72.3,58.1,90.6,,90.5,0.0,0,3,76,0.0,0,406,2,82,94.6,384,19.5,79,116.0,127,11,80.5,327,1253,652,8.0,15.3,3.26
Geronimo Allison,11141,WR,ILLINOIS,12,11.6,6,51.2,,0,0,1,15.6,12,41,187,1,42.4,52.0,66.6,,65.6,0.0,0,3,53,0.0,0,517,3,65,95.9,496,12.2,63,71.6,127,3,87.8,454,879,319,4.9,13.5,1.77
Daniel Braverman,10864,WR,W MICHIGAN,12,7.6,24,79.5,,0,0,0,6.5,7,63,347,1,77.1,60.7,91.0,,91.1,0.0,0,3,64,0.0,0,430,0,101,94.9,408,96.5,415,130.0,127,12,3.5,15,1269,645,6.4,12.6,3.11
Nelson Spruce,11199,WR,COLORADO,13,9.9,10,70.6,,0,0,0,4.3,4,60,143,0,88.4,76.5,82.3,,83.0,0.4,2,5,50,0.0,0,527,2,89,95.6,504,6.3,33,89.9,126,4,93.2,491,1056,312,3.5,11.9,2.1
Thomas Sperbeck,47487,WR,BOISE ST,12,14.1,10,64.3,,0,0,0,10.0,9,53,120,1,67.4,58.5,82.6,,81.0,0.0,0,4,85,0.0,0,521,1,81,95.8,499,34.7,181,107.6,126,8,65.1,339,1330,501,6.2,16.4,2.67
Aaron Burbridge,10847,WR,MICH STATE,12,12.6,7,59.5,,0,0,0,10.7,9,56,223,1,59.6,56.3,88.0,,88.1,0.0,0,0,56,0.0,0,384,0,75,94.8,364,18.2,70,108.5,126,7,81.8,314,1158,283,3.8,15.4,3.18
Zay Jones,11792,WR,E CAROLINA,12,7.6,23,78.4,,0,0,0,3.0,3,58,156,0,90.0,76.9,88.4,,88.8,0.0,0,1,36,0.0,0,488,2,98,96.5,471,94.9,463,113.1,125,5,4.5,22,1094,541,5.5,11.2,2.32
Ed'Marques Batties,39438,WR,MIDDLE TN,12,10.1,12,63.6,,0,0,1,8.3,7,43,224,1,64.8,54.8,72.7,,73.7,0.4,2,3,59,0.0,0,471,4,77,96.6,455,23.6,111,113.6,121,13,76.0,358,959,474,6.2,12.5,2.11
Dom Williams,16859,WR,WASH STATE,12,11.0,7,60.3,,0,0,1,13.1,11,55,341,0,50.6,75.4,69.7,,69.1,0.0,0,5,75,0.0,0,630,1,73,96.8,610,0.0,0,99.7,121,11,100.0,630,996,422,5.8,13.6,1.63
Zach Pascal,12303,WR,DOMINION,12,13.3,13,57.5,,0,0,0,6.8,5,47,263,1,64.8,58.7,77.8,67.9,75.1,0.0,0,5,53,0.2,1,456,3,69,96.1,438,33.1,151,88.7,120,8,65.4,298,975,368,5.3,14.1,2.23
Tyler Boyd,10689,WR,PITTSBURGH,11,8.9,6,73.3,,0,0,0,4.3,4,48,268,0,84.2,67.2,88.5,,90.4,0.3,1,2,51,0.0,0,338,3,88,95.9,324,44.7,151,103.7,120,6,52.1,176,887,387,4.4,10.1,2.74
De'Marcus Ayers,10863,WR,HOUSTON,12,8.0,18,75.4,,0,0,1,2.2,2,49,182,2,91.2,48.4,88.8,65.5,89.5,0.3,1,2,67,0.3,1,398,2,89,96.7,385,96.7,385,115.5,118,6,2.0,8,1153,689,7.7,13.0,2.99
Alex Erickson,11107,WR,WISCONSIN,12,12.0,9,61.0,,0,0,1,8.9,7,51,349,0,66.7,76.9,87.6,,86.3,0.0,0,4,45,0.0,0,367,1,72,95.4,350,50.1,184,79.9,118,3,49.6,182,925,246,3.4,12.8,2.64
K.J. Maye,11248,WR,MINNESOTA,12,10.6,2,55.1,,0,0,0,11.0,8,39,225,1,60.5,56.5,71.3,,69.7,0.3,1,4,57,0.0,0,394,1,65,95.2,375,28.2,111,70.0,118,4,70.8,279,702,200,3.1,10.8,1.87
Ajalen Holley,47699,WR,LA MONROE,12,9.9,6,51.3,,0,0,1,20.0,15,36,209,1,28.3,51.2,67.5,,64.1,0.2,1,6,69,0.0,0,438,1,60,97.7,428,65.3,286,65.9,117,6,34.5,151,711,274,4.6,11.9,1.66
Jordan Payton,10788,WR,UCLA,12,12.6,16,64.7,,0,0,0,3.8,3,51,324,0,85.1,75.7,88.8,,87.6,0.0,0,4,59,0.0,0,464,1,75,94.4,438,4.5,21,91.7,116,4,95.5,443,1076,377,5.0,14.3,2.46
Corey Coleman,10649,WR,BAYLOR,12,14.5,13,63.8,,0,0,0,11.9,10,51,118,0,56.9,79.5,90.0,61.1,90.4,0.0,0,3,81,0.3,1,367,3,74,93.2,342,26.7,98,133.1,116,20,71.9,264,1365,569,7.7,18.4,3.99
Carlos Harris,18681,WR,N TEXAS,12,12.6,5,52.6,,0,0,0,10.3,7,30,251,0,66.2,76.1,63.5,,64.7,0.0,0,2,93,0.0,0,449,4,61,96.7,434,60.1,270,84.9,116,7,39.9,179,727,244,4.0,11.9,1.68
Trent Taylor,11932,WR,LA TECH,12,8.8,20,77.4,,0,0,0,3.3,3,53,208,2,87.6,38.5,86.7,,85.4,0.0,0,2,63,0.0,0,451,1,89,95.8,432,97.3,439,123.6,115,8,2.2,10,1135,601,6.8,12.8,2.63
Gehrig Dieter,12163,WR,BOWL GREEN,12,11.0,2,69.6,,0,0,0,1.2,1,44,122,1,92.3,56.4,73.7,,72.5,0.0,0,1,75,0.0,0,553,2,80,95.5,528,14.8,82,113.9,115,9,85.2,471,865,307,3.8,10.8,1.64
Laquon Treadwell,10657,WR,OLE MISS,12,10.9,17,66.7,,0,0,1,10.6,9,50,226,1,60.6,54.9,82.9,,83.1,0.2,1,5,58,0.0,0,451,7,76,95.6,431,8.4,38,102.1,114,8,91.4,412,1077,442,5.8,14.2,2.5
Kenny Golladay,11851,WR,N ILLINOIS,12,14.7,7,61.9,,0,0,0,1.4,1,44,254,2,91.3,55.1,83.4,,83.4,0.0,0,3,68,0.0,0,391,1,70,96.9,379,13.8,54,112.9,113,10,86.2,337,1105,397,5.7,15.8,2.92
Christian Kirk,47546,WR,TEXAS A&M,12,8.8,13,61.9,,0,0,0,10.3,8,38,312,0,61.9,77.3,74.5,,74.2,0.0,0,3,66,0.0,0,428,0,70,97.2,416,97.4,417,94.8,113,6,0.7,3,935,566,8.1,13.4,2.25
Pharoh Cooper,10751,WR,S CAROLINA,12,10.5,14,59.5,,0,0,0,7.0,5,37,289,0,73.3,61.9,76.7,,82.0,0.0,0,5,78,0.0,0,396,3,66,94.9,376,84.8,336,93.6,111,8,11.9,47,978,514,7.8,14.8,2.6
Isaiah Ford,11991,WR,VA TECH,12,15.1,10,56.8,,0,0,1,7.4,5,47,337,1,76.4,53.7,79.8,,79.9,0.0,0,4,61,0.0,0,419,2,63,94.0,394,8.8,37,99.6,111,10,91.2,382,937,241,3.8,14.9,2.38
JuJu Smith-Schuster,11817,WR,USC,12,14.1,12,66.7,,0,0,0,8.6,7,53,326,1,67.9,55.3,86.0,,86.2,0.8,3,2,75,0.0,0,377,1,74,94.7,357,18.0,68,129.0,111,10,80.6,304,1302,543,7.3,17.6,3.65
Roger Lewis Jr.,11246,WR,BOWL GREEN,12,14.4,8,69.1,,0,0,0,9.5,8,53,122,0,72.5,75.7,77.1,,78.1,0.0,0,2,94,0.0,0,532,4,76,95.3,507,13.9,74,143.8,110,14,86.1,458,1400,547,7.2,18.4,2.76
Fred Ross,12091,WR,MISS STATE,12,6.3,17,73.6,,0,0,0,5.8,5,38,227,0,77.8,76.1,78.8,63.1,78.8,0.0,0,0,59,0.3,1,369,0,81,97.0,358,97.0,358,111.3,110,4,1.6,6,944,648,8.0,11.7,2.64
Jakeem Grant Sr.,10820,WR,TEXAS TECH,12,7.2,28,72.7,,0,0,1,9.1,8,41,315,1,69.8,64.6,80.0,,78.1,0.0,0,2,90,0.0,0,423,1,80,95.5,404,90.1,381,119.1,110,7,6.9,29,1128,778,9.7,14.1,2.79
KeVonn Mabon,12295,WR,BALL ST,12,8.8,13,64.2,,0,0,0,7.9,6,30,117,1,70.1,60.8,66.9,,66.4,0.0,0,2,53,0.0,0,471,0,70,94.7,446,30.6,144,82.5,109,2,69.4,327,743,301,4.3,10.6,1.67
