player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jerreth Sterns,102597,WR,W KENTUCKY,12,5.8,21,79.6,56.3,9,16,0,1.6,2,71,346,0,94.3,85.1,88.3,76.2,89.0,0.0,0,2,74,0.3,2,577,1,125,93.8,541,92.9,536,127.4,157,12,6.6,38,1528,968,7.7,12.2,2.82
Josh Downs,122832,WR,N CAROLINA,12,8.1,14,70.5,30.8,4,13,0,7.5,8,56,245,0,72.6,83.3,82.0,,84.0,0.0,0,4,63,0.0,0,478,2,98,94.6,452,95.4,456,106.2,139,8,2.1,10,1273,737,7.5,13.0,2.82
Deven Thompkins,84480,WR,UTAH ST,12,16.4,8,64.5,41.4,12,29,0,4.3,4,58,329,0,84.4,77.8,84.6,,88.9,0.0,0,5,75,0.0,0,490,5,89,93.5,458,82.0,402,109.6,138,9,14.9,73,1561,423,4.8,17.5,3.41
Jahan Dotson,84375,WR,PENN STATE,12,11.3,9,66.4,41.7,5,12,1,2.2,2,58,266,1,91.2,86.7,87.5,,87.2,0.0,0,4,86,0.0,0,486,1,91,94.9,461,23.7,115,110.4,137,12,76.3,371,1182,482,5.3,13.0,2.56
David Bell,97989,WR,PURDUE,11,10.7,25,69.9,42.3,11,26,0,5.1,5,60,273,0,81.1,77.1,87.5,,87.4,0.0,0,0,60,0.0,0,490,0,93,96.3,472,16.3,80,115.3,133,6,83.7,410,1275,536,5.8,13.7,2.7
Jalen Tolbert,61637,WR,S ALABAMA,12,14.2,13,63.6,44.4,12,27,0,8.9,8,58,288,1,62.8,59.2,82.3,,85.1,0.0,0,2,68,0.0,0,486,2,82,95.9,466,33.7,164,116.9,129,8,66.3,322,1474,581,7.1,18.0,3.16
Makai Polk,100647,WR,MISS STATE,12,8.6,7,76.0,47.1,8,17,0,4.9,5,52,227,1,83.5,59.9,68.4,,68.4,0.0,0,2,50,0.0,0,646,0,98,94.9,613,5.6,36,114.0,129,9,94.4,610,986,318,3.2,10.1,1.61
Wan'Dale Robinson,101735,WR,KENTUCKY,12,10.3,20,73.4,53.3,8,15,0,6.9,7,54,202,0,74.3,81.5,90.5,,90.0,0.0,0,5,79,0.0,0,351,1,94,97.2,341,71.2,250,103.4,128,7,28.5,100,1172,544,5.8,12.5,3.44
Josh Johnson,61329,WR,TULSA,12,11.5,7,61.6,47.1,8,17,0,9.4,8,44,320,0,65.5,76.3,72.7,,74.4,0.0,0,9,63,0.0,0,443,1,77,92.1,408,98.4,436,69.5,125,5,1.6,7,984,331,4.3,12.8,2.41
Calvin Turner Jr.,109028,WR,HAWAII,13,9.3,25,59.7,33.3,4,12,0,14.9,13,42,180,0,44.6,77.1,75.6,78.4,73.3,0.8,4,6,37,1.2,6,519,1,74,94.4,490,74.0,384,71.6,124,4,19.5,101,870,512,6.9,11.8,1.78
Trey McBride,75916,TE,COLO STATE,12,8.6,5,74.6,53.1,17,32,1,3.2,3,61,144,2,88.7,40.5,94.8,75.8,95.0,69.3,309,3,50,6.1,27,446,8,91,90.8,405,20.2,90,95.2,122,1,10.5,47,1125,456,5.0,12.4,2.78
Calvin Austin III,61418,WR,MEMPHIS,12,11.6,14,61.2,28.0,7,25,0,6.3,5,47,218,0,76.0,79.9,84.7,,85.2,0.0,0,1,75,0.0,0,412,1,74,93.0,383,9.5,39,111.1,121,8,90.5,373,1145,532,7.2,15.5,2.99
John Metchie III,97400,WR,ALABAMA,12,8.5,20,75.0,56.3,9,16,0,8.2,8,46,103,0,70.3,76.7,76.6,,77.9,0.0,0,2,46,0.0,0,463,1,90,96.1,445,31.7,147,113.4,120,7,67.6,313,1045,620,6.9,11.6,2.35
Jordan Addison,123000,WR,PITTSBURGH,12,12.3,17,70.8,58.3,14,24,1,8.6,8,55,268,0,68.2,81.7,87.4,,87.6,0.0,0,2,67,0.0,0,495,1,85,95.4,472,68.7,340,140.7,120,17,31.3,155,1353,576,6.8,15.9,2.87
Drake London,86519,WR,USC,8,9.2,22,73.9,65.4,17,26,0,8.3,8,54,326,0,69.0,76.4,91.3,,91.8,0.9,3,2,44,0.0,0,326,3,88,94.5,308,12.6,41,114.3,119,7,86.2,281,1084,460,5.2,12.3,3.52
