player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
James Proche II,48037,WR,SMU,12,10.0,10,68.7,48.7,19,39,1,2.9,3,56,287,1,90.4,71.2,87.1,,88.1,0.0,0,4,52,0.0,0,465,3,101,93.1,433,48.0,223,111.9,147,14,52.0,242,1133,427,4.2,11.2,2.62
Cedric Byrd II,75938,WR,HAWAII,13,11.6,11,68.1,36.4,4,11,1,8.9,9,48,180,1,63.0,66.6,67.5,,67.6,0.0,0,6,46,0.0,0,592,1,92,96.1,569,99.2,587,97.5,135,10,0.8,5,1053,301,3.3,11.4,1.85
Jadan Blue,61705,WR,TEMPLE,12,8.8,7,65.4,41.7,5,12,1,11.2,11,43,306,0,57.8,77.2,73.8,,73.4,0.5,2,2,79,0.0,0,442,1,87,95.2,421,93.2,412,90.9,133,4,6.1,27,975,533,6.1,11.2,2.32
Antonio Gandy-Golden,39993,WR,LIBERTY,12,15.0,16,57.4,42.9,15,35,0,2.6,2,56,206,0,84.3,75.6,88.6,55.0,89.1,0.4,2,2,73,0.0,0,458,0,74,95.2,436,10.7,49,109.8,129,9,88.9,407,1334,467,6.3,18.0,3.06
Gabe Davis,55410,WR,UCF,12,16.5,10,56.3,36.7,11,30,0,6.5,5,49,323,0,74.8,75.4,79.4,,80.1,0.0,0,1,73,0.0,0,445,5,72,94.4,420,6.7,30,117.4,128,12,93.0,414,1241,334,4.6,17.2,2.95
David Bell,97989,WR,PURDUE,12,10.7,12,67.2,44.4,20,45,1,4.4,4,52,273,0,83.3,76.8,77.3,,78.8,0.0,0,5,54,0.0,0,516,4,86,95.2,491,9.7,50,93.7,128,7,89.9,464,1035,365,4.2,12.0,2.11
Devin Duvernay,40006,WR,TEXAS,12,7.4,23,81.6,55.6,10,18,0,2.9,3,65,311,0,90.5,79.4,88.3,,89.1,0.0,0,2,75,0.0,0,468,1,102,94.4,442,98.7,462,124.7,125,8,0.9,4,1300,706,6.9,12.7,2.94
Omar Bayless,25522,WR,ARK STATE,12,13.7,11,67.2,43.3,13,30,0,6.7,6,60,113,1,75.2,57.1,87.2,65.5,89.1,0.2,1,5,92,0.2,1,509,6,84,93.1,474,5.3,27,130.1,125,16,94.5,481,1474,558,6.6,17.5,3.11
Michael Pittman Jr.,29049,WR,USC,12,9.9,14,77.9,46.7,7,15,0,3.1,3,49,326,0,89.8,77.3,82.8,,82.0,0.0,0,4,77,0.0,0,522,2,95,95.0,496,10.2,53,124.6,122,11,89.8,469,1216,470,4.9,12.8,2.45
Warren Jackson,52050,WR,COLO STATE,10,12.1,9,64.2,53.1,17,32,0,3.8,3,57,144,1,85.2,54.8,90.1,66.5,89.6,1.3,5,2,87,0.5,2,393,2,77,95.2,374,20.9,82,109.7,120,8,77.9,306,1119,346,4.5,14.5,2.99
Isaiah Hodgins,52130,WR,OREGON ST,12,12.8,7,72.9,59.1,13,22,0,1.1,1,63,265,0,90.9,76.4,90.1,,89.8,0.0,0,0,42,0.0,0,449,1,86,96.4,433,4.5,20,140.4,118,13,95.5,429,1158,293,3.4,13.5,2.67
Tre Walker,52260,WR,S JOSE ST,10,10.7,21,68.1,47.2,17,36,0,8.1,7,53,285,0,66.2,76.0,86.0,,86.6,0.0,0,2,50,0.0,0,449,4,79,94.2,423,14.0,63,99.1,116,2,86.0,386,1161,407,5.2,14.7,2.74
Elijah Moore,84302,WR,OLE MISS,12,11.0,13,58.3,50.0,9,18,0,8.2,6,40,226,0,73.2,85.0,76.3,,79.5,0.0,0,2,55,0.0,0,363,3,67,95.3,346,98.1,356,91.6,115,6,1.9,7,850,334,5.0,12.7,2.46
Sam James,78123,WR,W VIRGINIA,12,9.9,12,61.6,36.8,7,19,1,13.8,11,28,343,0,49.4,78.0,63.1,,64.6,0.5,2,4,51,0.0,0,434,4,69,95.2,413,10.1,44,69.7,112,2,88.2,383,677,392,5.7,9.8,1.64
Andrew Parchment,41928,WR,KANSAS,12,11.9,2,59.5,52.6,10,19,0,12.0,9,36,198,0,59.6,75.3,68.3,,69.7,0.0,0,4,75,0.0,0,426,3,66,94.6,403,34.3,146,89.1,111,7,65.7,280,838,301,4.6,12.7,2.08
Maurice Ffrench,39871,WR,PITTSBURGH,10,5.9,21,77.1,63.6,7,11,0,4.5,4,34,268,3,83.0,48.2,69.8,,71.1,0.5,2,4,74,0.0,0,428,2,84,96.3,412,65.2,279,86.3,109,3,34.1,146,684,461,5.5,8.1,1.66
Jared Smart,98732,WR,HAWAII,13,12.0,13,70.4,60.0,12,20,1,7.3,6,47,180,2,72.4,37.4,67.6,,67.7,0.0,0,1,26,0.0,0,573,3,76,96.0,550,1.4,8,101.0,108,3,98.6,565,905,332,4.4,11.9,1.65
Jaelon Darden,61522,WR,N TEXAS,12,7.1,8,69.2,25.0,2,8,0,6.3,5,38,251,0,76.1,82.5,78.0,70.8,78.4,0.0,0,3,68,0.3,1,339,1,74,96.5,327,93.8,318,114.0,107,12,5.9,20,735,473,6.4,9.9,2.25
