player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tre Tipton,47838,WR,PITTSBURGH,9,10.9,0,47.8,20.0,1,5,0,26.7,4,5,268,0,26.6,68.2,52.7,75.4,51.0,3.1,5,1,20,0.6,1,159,0,11,90.6,144,66.7,106,42.7,23,0,23.3,37,104,23,2.1,9.5,0.72
Josh Vann,84414,WR,S CAROLINA,10,9.7,1,43.5,42.9,3,7,0,16.7,2,7,289,0,47.1,67.9,51.3,,50.7,0.0,0,2,16,0.0,0,229,1,10,95.2,218,21.8,50,32.5,23,1,78.2,179,88,25,2.5,8.8,0.4
Emery Simmons,99584,WR,N CAROLINA,9,13.9,5,65.2,62.5,5,8,0,0.0,0,8,245,0,83.8,69.2,68.1,,68.7,0.0,0,0,51,0.0,0,129,0,15,95.3,123,0.0,0,107.3,23,1,100.0,129,201,38,2.5,13.4,1.63
Giles Jackson,101695,WR,MICHIGAN,5,13.2,1,65.2,66.7,2,3,0,0.0,0,8,222,0,84.2,79.1,71.0,,69.4,0.0,0,1,36,0.0,0,113,0,15,95.6,108,99.1,112,68.6,23,0,0.9,1,167,42,2.8,11.1,1.55
Jake Marwede,60879,TE,DUKE,11,6.8,2,56.5,40.0,2,5,0,7.1,1,5,154,0,67.5,68.7,51.5,34.0,53.8,27.6,56,3,55,23.2,47,203,1,13,74.4,151,55.7,113,50.4,23,1,1.0,2,145,82,6.3,11.2,0.96
Brian Hightower,78015,WR,ILLINOIS,8,13.0,0,47.8,66.7,4,6,0,31.3,5,9,187,0,20.7,68.2,59.3,,57.9,0.0,0,0,46,0.0,0,121,1,11,95.0,115,1.7,2,119.4,23,3,98.3,119,209,63,5.7,19.0,1.82
Elijah Higgins,98027,WR,STANFORD,6,9.8,4,65.2,60.0,3,5,0,11.8,2,9,300,0,57.1,69.2,62.7,,64.6,3.3,4,2,29,0.0,0,123,0,15,96.7,119,84.6,104,52.1,23,0,12.2,15,176,57,3.8,11.7,1.48
LV Bunkley-Shelton,131606,WR,ARIZONA ST,4,11.6,2,47.8,0.0,0,2,0,8.3,1,6,110,1,64.6,20.5,58.7,,58.0,0.0,0,1,22,0.0,0,78,1,11,85.9,67,75.6,59,41.2,23,0,24.4,19,96,31,2.8,8.7,1.43
DeMarcus Harris,99244,WR,KENTUCKY,10,9.0,1,60.9,0.0,0,3,0,17.6,3,5,202,1,43.5,22.8,48.5,,48.5,0.0,0,0,12,0.0,0,140,1,14,93.6,131,13.6,19,68.6,23,0,86.4,121,87,59,4.2,6.2,0.66
Xavier White,99566,HB,TEXAS TECH,8,-2.2,7,87.0,0.0,0,1,0,0.0,0,5,315,0,85.9,48.3,70.0,79.1,73.9,0.0,0,0,15,5.3,7,132,1,20,89.4,118,6.1,8,84.8,23,0,0.0,0,100,147,7.4,5.0,0.85
Marcus Williams,60973,TE,NEW MEXICO,7,7.7,0,60.9,0.0,0,1,0,6.7,1,8,241,1,68.7,23.7,56.7,54.2,49.8,36.1,75,0,44,10.1,21,208,0,14,86.1,179,52.9,110,82.9,23,0,9.1,19,166,87,6.2,11.9,0.93
Jamal Jones,33919,HB,ARK STATE,11,-1.2,6,73.9,,0,0,0,10.5,2,5,113,1,61.3,56.0,72.5,54.8,52.7,0.0,0,0,14,28.1,76,270,0,17,68.9,186,1.1,3,79.8,23,0,0.4,1,89,111,6.5,5.2,0.48
Ayden Eberhardt,40554,WR,WYOMING,6,13.3,1,65.2,0.0,0,2,0,11.8,2,10,351,0,58.8,71.8,69.1,,68.7,0.0,0,0,56,0.0,0,122,0,15,98.4,120,41.8,51,101.0,23,0,58.2,71,246,69,4.6,16.4,2.05
Dennis Robinson,61540,WR,N ILLINOIS,6,17.5,2,34.8,33.3,3,9,0,20.0,2,5,254,1,41.2,17.6,53.9,,52.9,0.0,0,0,31,0.0,0,144,0,8,94.4,136,6.3,9,76.9,23,2,93.1,134,93,8,1.0,11.6,0.68
KeAndre Lambert-Smith,129789,WR,PENN STATE,9,7.8,3,65.2,0.0,0,2,0,16.7,3,8,266,0,45.4,69.2,55.0,,54.4,0.0,0,0,20,0.0,0,176,0,15,96.6,170,5.7,10,81.4,23,0,94.3,166,138,63,4.2,9.2,0.81
Bryce Mitchell,55370,WR,TOLEDO,6,17.0,5,56.5,25.0,1,4,0,0.0,0,9,316,0,83.8,69.2,70.4,,74.1,0.0,0,1,44,0.0,0,140,6,13,92.1,129,15.0,21,122.7,23,4,85.0,119,306,132,10.2,23.5,2.37
Erik Brooks,84187,WR,FRESNO ST,6,12.9,1,56.5,0.0,0,2,0,23.5,4,11,169,0,29.9,68.7,60.1,,59.7,1.0,1,0,28,0.0,0,101,0,13,98.0,99,95.0,96,81.4,23,0,4.0,4,178,37,2.8,13.7,1.8
Jeff Foreman,97868,WR,ARK STATE,10,19.8,0,56.5,33.3,1,3,0,7.1,1,10,113,0,67.5,72.0,69.2,,70.5,0.0,0,1,84,0.0,0,133,1,13,93.2,124,9.8,13,122.7,23,3,90.2,120,439,172,13.2,33.8,3.54
Tre Nixon,40445,WR,UCF,3,15.0,1,60.9,50.0,1,2,0,22.2,4,9,323,0,34.9,69.2,64.9,,64.4,0.0,0,0,51,0.0,0,111,0,14,92.8,103,3.6,4,120.2,23,2,96.4,107,212,46,3.3,15.1,2.06
Garrett Groshek,40045,HB,WISCONSIN,5,-0.3,5,82.6,100.0,1,1,0,13.6,3,6,349,0,52.3,44.9,62.9,67.6,62.1,0.0,0,0,15,24.2,30,124,0,19,75.0,93,0.0,0,85.7,23,0,3.2,4,105,129,6.8,5.5,1.13
Tez Johnson,123709,WR,TROY,11,2.8,8,78.3,0.0,0,1,0,5.3,1,8,318,1,72.8,51.7,60.4,,63.0,0.0,0,0,58,0.0,0,114,0,18,96.5,110,94.7,108,104.9,23,0,2.6,3,211,193,10.7,11.7,1.92
Amare Jones,77742,HB,TULANE,10,3.4,4,60.9,66.7,2,3,0,22.2,4,6,319,0,32.1,48.2,68.1,61.5,62.9,0.0,0,0,26,15.4,18,117,1,14,76.1,89,30.8,36,71.1,23,0,9.4,11,101,60,4.3,7.2,1.13
