Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Sam Acho,OLB,Texas,College Stats,6-2,262,4.67,33.5,23,112,6.69,4.32,Arizona Cardinals / 4th / 103rd pick / 2011,AchoSa00
Darvin Adams,WR,Auburn,College Stats,6-2,190,4.56,,,,,,,AdamDa00
Danny Aiken,LS,Virginia,College Stats,6-4,244,5.00,,11,,,,,AikeDa00
Ladi Ajiboye,DT,South Carolina,College Stats,6-1,297,5.30,24.0,23,91,7.72,4.71,,-9999
Anthony Allen,RB,Georgia Tech,College Stats,6-1,228,4.56,41.5,24,120,6.79,4.06,Baltimore Ravens / 7th / 225th pick / 2011,AlleAn01
Armando Allen,RB,Notre Dame,College Stats,5-8,199,4.59,,23,,,,,AlleAr00
Cortez Allen,CB,Citadel,,6-1,197,4.50,35.5,18,129,6.76,4.01,Pittsburgh Steelers / 4th / 128th pick / 2011,AlleCo00
Pierre Allen,DE,Nebraska,College Stats,6-3,273,4.78,,,,,,,AllePi00
Prince Amukamara,CB,Nebraska,College Stats,6-0,206,4.38,38.0,15,128,6.97,4.08,New York Giants / 1st / 19th pick / 2011,AmukPr00
David Arkin,OG,Missouri State,,6-5,300,5.31,29.0,25,103,7.60,4.63,Dallas Cowboys / 4th / 110th pick / 2011,ArkiDa00
Matt Asiata,RB,Utah,College Stats,5-11,229,4.77,30.0,22,104,7.09,4.37,,AsiaMa00
Marvin Austin,DT,North Carolina,College Stats,6-2,309,4.84,30.5,38,112,7.33,4.40,New York Giants / 2nd / 52nd pick / 2011,AustMa00
Akeem Ayers,OLB,UCLA,College Stats,6-2,254,4.81,31.0,18,116,7.49,4.28,Tennessee Titans / 2nd / 39th pick / 2011,AyerAk00
Allen Bailey,DE,Miami (FL),College Stats,6-3,285,4.71,36.5,27,117,7.43,4.56,Kansas City Chiefs / 3rd / 86th pick / 2011,BailAl00
Dan Bailey,K,Oklahoma State,College Stats,6-0,193,4.92,,,,,,,BailDa00
Brandon Bair,DE,Oregon,College Stats,6-6,276,4.92,28.0,26,114,7.07,4.37,,BairBr00
