Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Cal Adomitis,LS,Pittsburgh,College Stats,6-2,235,4.97,29.5,18,107,7.53,4.62,,AdomCa00
Austin Allen,TE,Nebraska,College Stats,6-8,253,4.83,34.0,,121,7.00,4.26,,AlleAu00
Chase Allen,TE,Iowa St.,College Stats,6-6,251,,33.5,,117,7.03,4.43,,AlleCh03
Christopher Allen,EDGE,Alabama,College Stats,6-4,241,,,,,,,,AlleCh04
Tyler Allgeier,RB,BYU,College Stats,5-11,224,4.60,33.0,,120,,,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00
Troy Andersen,LB,Montana St.,,6-4,243,4.42,36.0,,128,,,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00
Tycen Anderson,S,Toledo,College Stats,6-2,209,4.36,35.5,,123,6.64,4.28,Cincinnati Bengals / 5th / 166th pick / 2022,AndeTy00
Blaise Andries,OG,Minnesota,,6-6,308,5.10,30.5,,106,7.84,4.68,,-9999
Matt Araiza,P,San Diego St.,College Stats,6-1,200,4.68,32.0,,121,,,Buffalo Bills / 6th / 180th pick / 2022,AraiMa00
Jalyn Armour-Davis,CB,Alabama,College Stats,6-1,197,4.39,34.5,14,,,,Baltimore Ravens / 4th / 119th pick / 2022,ArmoJa00
Brian Asamoah,LB,Oklahoma,College Stats,6-0,226,4.56,36.5,,124,,,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
Calvin Austin,WR,Memphis,College Stats,5-8,170,4.32,39.0,,135,6.65,4.07,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00
Tyler Badie,RB,Missouri,College Stats,5-8,197,4.45,33.5,,121,,,Baltimore Ravens / 6th / 196th pick / 2022,BadiTy00
Kalon Barnes,CB,Baylor,College Stats,6-0,183,4.23,,,,,,Carolina Panthers / 7th / 242nd pick / 2022,BarnKa00
Amaré Barno,EDGE,Virginia Tech,College Stats,6-5,246,4.36,37.0,,131,,4.45,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00
Darrian Beavers,LB,Cincinnati,College Stats,6-4,237,,36.5,,125,6.91,,New York Giants / 6th / 182nd pick / 2022,BeavDa00
Markquese Bell,S,Florida A&M,,6-2,212,4.41,36.5,,123,,4.46,,-9999
David Bell,WR,Purdue,College Stats,6-1,212,4.65,33.0,,118,7.14,4.57,Cleveland Browns / 3rd / 99th pick / 2022,BellDa02
Greg Bell,RB,San Diego St.,College Stats,5-11,201,,31.0,17,120,,,,BellGr01
Daniel Bellinger,TE,San Diego St.,College Stats,6-5,253,4.63,34.5,22,125,7.05,4.47,New York Giants / 4th / 112th pick / 2022,BellDa00
Dane Belton,S,Iowa,College Stats,6-1,205,4.43,36.5,,123,7.01,4.24,New York Giants / 4th / 114th pick / 2022,BeltDa00
Terrel Bernard,LB,Baylor,College Stats,6-1,224,,35.5,22,123,7.03,4.25,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00
Bubba Bolden,S,Miami,College Stats,6-2,209,4.47,,,116,,,,BoldBu00
Slade Bolden,WR,Alabama,College Stats,5-11,193,4.66,32.0,,116,,,,BoldSl00
Nik Bonitto,EDGE,Oklahoma,College Stats,6-3,248,4.54,35.5,,120,7.07,4.23,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00
Thomas Booker,DT,Stanford,College Stats,6-3,301,4.94,,,110,7.33,4.41,Houston Texans / 5th / 150th pick / 2022,BookTh00
Andrew Booth,CB,Clemson,College Stats,6-0,194,,,,,,,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00
Max Borghi,RB,Washington St.,College Stats,5-9,210,,,20,,,,,BorgMa00
Jaquan Brisker,S,Penn St.,College Stats,6-1,199,4.49,34.5,22,124,,,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01
Gabe Brkic,K,Oklahoma,College Stats,6-2,197,,,,,,,,BrkiGa00
Kennedy Brooks,RB,Oklahoma,College Stats,5-11,209,4.59,31.0,,120,,,,BrooKe01
Ben Brown,C,Mississippi,College Stats,6-5,312,,,,,,,,BrowBe01
Leddie Brown,RB,West Virginia,College Stats,6-0,213,4.64,30.0,,118,,,,BrowLe03
Montaric Brown,CB,Arkansas,College Stats,6-0,196,4.55,,,,,,Jacksonville Jaguars / 7th / 222nd pick / 2022,BrowMo00
Logan Bruss,OG,Wisconsin,College Stats,6-5,309,5.32,31.0,,112,7.57,4.55,Los Angeles Rams / 3rd / 104th pick / 2022,BrusLo00
Coby Bryant,CB,Cincinnati,College Stats,6-1,193,4.54,,17,,,,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
Spencer Burford,OG,Texas-San Antonio,College Stats,6-4,304,5.19,27.5,,105,,4.73,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00
Treylon Burks,WR,Arkansas,College Stats,6-2,225,4.55,33.0,,122,7.28,,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00
Darien Butler,LB,Arizona St.,College Stats,5-10,221,,,,,7.47,,,ButlDa00
Matthew Butler,DT,Tennessee,College Stats,6-4,297,5.00,32.0,17,112,7.89,4.81,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02
Percy Butler,S,Louisiana,College Stats,6-0,194,4.36,31.5,,123,,,Washington Commanders / 4th / 113th pick / 2022,ButlPe00
Grant Calcaterra,TE,SMU,College Stats,6-4,241,4.62,,20,,,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00
Jake Camarda,P,Georgia,College Stats,6-1,193,4.56,,,,,,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00
Chance Campbell,LB,Mississippi,College Stats,6-2,232,4.57,39.5,,127,,,Tennessee Titans / 6th / 219th pick / 2022,CampCh02
Ja'Tyre Carter,OG,Southern,,6-3,311,5.13,30.0,,108,7.84,4.90,Chicago Bears / 7th / 226th pick / 2022,CartJa04
Zachary Carter,DE,Florida,College Stats,6-4,282,4.99,27.5,19,110,,,Cincinnati Bengals / 3rd / 95th pick / 2022,CartZa00
Tariq Castro-Fields,CB,Penn St.,College Stats,6-1,197,4.38,,,,,,San Francisco 49ers / 6th / 221st pick / 2022,CastTa00
Tykevious Chandler,RB,North Carolina,College Stats,5-11,204,4.38,31.0,,121,,,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
Leo Chenal,LB,Wisconsin,College Stats,6-3,250,4.53,40.5,,128,,,Kansas City Chiefs / 3rd / 103rd pick / 2022,ChenLe00
Lewis Cine,S,Georgia,College Stats,6-2,199,4.37,36.5,,133,,,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00
Damone Clark,LB,LSU,College Stats,6-3,239,4.57,36.5,,127,7.12,,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02
Micheal Clemons,DE,Texas A&M,College Stats,6-5,263,,,24,116,,,New York Jets / 4th / 117th pick / 2022,ClemMi03
Jack Coan,QB,Notre Dame,College Stats,6-3,218,4.90,33.0,,115,6.95,4.39,,CoanJa00
Qwynnterrio Cole,S,Louisville,College Stats,6-0,206,,,16,,,,,-9999
Snoop Conner,RB,Mississippi,College Stats,5-10,222,4.59,29.5,25,118,,,Jacksonville Jaguars / 5th / 154th pick / 2022,ConnSn00
Bryan Cook,S,Cincinnati,College Stats,6-1,206,,,,,,,Kansas City Chiefs / 2nd / 62nd pick / 2022,CookBr02
James Cook,RB,Georgia,College Stats,5-11,199,4.42,33.0,,124,,,Buffalo Bills / 2nd / 63rd pick / 2022,CookJa01
Jashaun Corbin,RB,Florida St.,College Stats,5-11,202,,,,,,,,CorbJa01
Yusuf Corker,S,Kentucky,College Stats,6-0,203,,,23,,,,,CorkYu00
Matt Corral,QB,Mississippi,College Stats,6-2,212,,,,,,,Carolina Panthers / 3rd / 94th pick / 2022,CorrMa00
Charles Cross,OT,Mississippi St.,College Stats,6-5,307,4.95,26.0,,112,7.88,4.61,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
Nick Cross,S,Maryland,College Stats,6-0,212,4.34,37.0,,130,,,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00
Dustin Crum,QB,Kent St.,College Stats,6-1,210,4.75,32.5,,120,,4.36,,CrumDu00
Myron Cunningham,OT,Arkansas,College Stats,6-5,320,5.38,20.0,,98,8.50,5.16,,CunnMy00
DJ Davidson,DT,Arizona St.,College Stats,6-3,327,,28.0,23,,7.85,4.72,New York Giants / 5th / 147th pick / 2022,DaviDJ00
Jordan Davis,DT,Georgia,College Stats,6-6,341,4.78,32.0,,123,,,Philadelphia Eagles / 1st / 13th pick / 2022,DaviJo03
Kalia Davis,DT,Central Florida,College Stats,6-1,302,,,,,,,San Francisco 49ers / 6th / 220th pick / 2022,DaviKa01
Tyrion Davis-Price,RB,LSU,College Stats,6-0,211,4.48,30.0,,117,,,San Francisco 49ers / 3rd / 93rd pick / 2022,DaviTy03
Nakobe Dean,LB,Georgia,College Stats,5-11,229,,,,,,,Philadelphia Eagles / 3rd / 83rd pick / 2022,DeanNa00
Dawson Deaton,C,Texas Tech,College Stats,6-6,306,5.12,29.0,24,108,7.52,4.49,Cleveland Browns / 7th / 246th pick / 2022,DeatDa00
