Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Austin Deculus,OT,LSU,College Stats,6-5,321,5.08,28.5,,109,,4.99,Houston Texans / 6th / 205th pick / 2022,DecuAu00
Cameron Dicker,K,Texas,College Stats,6-1,220,,,,,,,,DickCa00
Kellen Diesch,OT,Arizona St.,College Stats,6-7,301,4.89,32.5,,110,7.77,4.43,,DiesKe00
Dai'Jean Dixon,WR,Nicholls St.,,6-3,205,4.62,34.0,,125,7.28,4.42,,-9999
JoJo Domann,LB,Nebraska,College Stats,6-1,228,4.62,34.5,,119,,,,DomaJo00
Jahan Dotson,WR,Penn St.,College Stats,5-11,178,4.43,36.0,,121,7.28,,Washington Commanders / 1st / 16th pick / 2022,DotsJa00
Romeo Doubs,WR,Nevada,College Stats,6-2,201,,,,,,,Green Bay Packers / 4th / 132nd pick / 2022,DoubRo00
Dontario Drummond,WR,Mississippi,College Stats,6-1,215,4.65,34.0,,122,,,,DrumDo00
Greg Dulcich,TE,UCLA,College Stats,6-4,243,4.69,34.0,16,122,7.05,4.37,Denver Broncos / 3rd / 80th pick / 2022,DulcGr00
William Dunkle,OG,San Diego St.,College Stats,6-5,328,5.44,26.0,25,95,7.97,4.91,,DunkWi00
Cobie Durant,CB,South Carolina St.,,5-10,180,4.38,,,,,,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
Jerrion Ealy,RB,Mississippi,College Stats,5-8,189,4.52,34.5,,128,,,,EalyJe00
Arnold Ebiketie,EDGE,Penn St.,College Stats,6-2,250,,38.0,21,128,,,Atlanta Falcons / 2nd / 38th pick / 2022,EbikAr00
Trestan Ebner,RB,Baylor,College Stats,5-11,206,4.43,30.0,,,,,Chicago Bears / 6th / 203rd pick / 2022,EbneTr00
Ikem Ekwonu,OT,North Carolina St.,College Stats,6-4,310,4.93,29.0,,108,7.82,4.73,Carolina Panthers / 1st / 6th pick / 2022,EkwoIk00
Kaiir Elam,CB,Florida,College Stats,6-2,191,4.39,,,,,,Buffalo Bills / 1st / 23rd pick / 2022,ElamKa00
Kaleb Eleby,QB,Western Michigan,College Stats,6-1,208,,25.5,,111,7.57,,,ElebKa00
Noah Elliss,DT,Idaho,,6-4,346,5.66,,,,,,,-9999
Martin Emerson,CB,Mississippi St.,College Stats,6-2,201,4.53,,,,,,Cleveland Browns / 3rd / 68th pick / 2022,EmerMa00
Kingsley Enagbare,DE,South Carolina,College Stats,6-4,258,4.87,36.5,,117,,,Green Bay Packers / 5th / 179th pick / 2022,EnagKi00
Akayleb Evans,CB,Missouri,College Stats,6-2,197,4.46,36.0,,129,,,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
Obinna Eze,OT,TCU,College Stats,6-7,321,5.17,27.5,18,104,8.20,5.08,,EzexOb00
Joshua Ezeudu,OG,North Carolina,College Stats,6-4,308,5.19,28.5,,105,7.83,4.56,New York Giants / 3rd / 67th pick / 2022,EzeuJo00
Erik Ezukanma,WR,Texas Tech,College Stats,6-2,209,,36.5,,126,,4.38,Miami Dolphins / 4th / 125th pick / 2022,EzukEr00
Daniel Faalele,OT,Minnesota,College Stats,6-8,384,,,24,,,,Baltimore Ravens / 4th / 110th pick / 2022,FaalDa00
Neil Farrell,DT,LSU,College Stats,6-4,330,5.41,21.5,,,8.41,,Las Vegas Raiders / 4th / 126th pick / 2022,FarrNe00
Jake Ferguson,TE,Wisconsin,College Stats,6-5,250,4.81,31.5,15,118,7.03,4.48,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00
DaMarcus Fields,CB,Texas Tech,College Stats,6-0,193,4.48,34.5,,,,,,FielDa02
Cordale Flott,CB,LSU,College Stats,6-1,175,,,,,,,New York Giants / 3rd / 81st pick / 2022,FlotCo00
Jerome Ford,RB,Cincinnati,College Stats,5-11,210,4.46,31.0,,118,,,Cleveland Browns / 5th / 156th pick / 2022,FordJe00
Jonathan Ford,DT,Miami,College Stats,6-5,333,,29.0,,102,,,Green Bay Packers / 7th / 234th pick / 2022,FordJo00
Luke Fortner,C,Kentucky,College Stats,6-4,307,5.21,24.0,,102,7.75,4.95,Jacksonville Jaguars / 3rd / 65th pick / 2022,FortLu01
Ty Fryfogle,WR,Indiana,College Stats,6-1,204,4.53,39.0,,127,,,,FryfTy00
Ahmad Gardner,CB,Cincinnati,College Stats,6-3,190,4.41,,,,,,New York Jets / 1st / 4th pick / 2022,GardSa00
Haskell Garrett,DT,Ohio St.,College Stats,6-2,300,5.07,24.0,,,,,,GarrHa00
Jeremiah Gemmel,LB,North Carolina,College Stats,6-1,226,,,,,,,,GemmJe00
Trenton Gill,P,North Carolina St.,College Stats,6-4,220,,,,,,,Chicago Bears / 7th / 255th pick / 2022,GillTr01
Luke Goedeke,OG,Central Michigan,College Stats,6-5,312,,,26,,,,Tampa Bay Buccaneers / 2nd / 57th pick / 2022,GoedLu00
Mario Goodrich,CB,Clemson,College Stats,6-0,176,4.52,,,,,,,GoodMa02
Tyler Goodson,RB,Iowa,College Stats,5-9,197,4.42,36.5,,123,,,,GoodTy00
Kyler Gordon,CB,Washington,College Stats,6-0,194,4.52,,,,,,Chicago Bears / 2nd / 39th pick / 2022,GordKy00
Isaiah Graham-Mobley,LB,Boston Col.,College Stats,6-1,230,4.63,34.5,,124,,,,GrahIs00
Danny Gray,WR,SMU,College Stats,6-0,186,4.33,34.0,,126,,,San Francisco 49ers / 3rd / 105th pick / 2022,GrayDa02
Vincent Gray,CB,Michigan,College Stats,6-2,192,4.54,,,,,,,GrayVi00
Kenyon Green,OG,Texas A&M,College Stats,6-4,323,5.24,26.0,20,102,,5.12,Houston Texans / 1st / 15th pick / 2022,GreeKe03
Jeffrey Gunter,EDGE,Coastal Carolina,College Stats,6-4,258,4.70,35.5,,122,7.21,4.35,Cincinnati Bengals / 7th / 252nd pick / 2022,GuntJe01
Breece Hall,RB,Iowa St.,College Stats,5-11,217,4.39,40.0,,126,,,New York Jets / 2nd / 36th pick / 2022,HallBr03
Jeremiah Hall,TE,Oklahoma,College Stats,6-2,239,4.96,29.0,19,111,7.43,4.62,,HallJe00
Logan Hall,DE,Houston,College Stats,6-6,283,4.88,30.0,,,7.25,4.44,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022,HallLo00
Kyle Hamilton,S,Notre Dame,College Stats,6-4,220,4.59,38.0,,131,6.90,4.32,Baltimore Ravens / 1st / 14th pick / 2022,HamiKy00
Jake Hansen,LB,Illinois,College Stats,6-1,238,,,21,,,,,HansJa02
Aaron Hansford,LB,Texas A&M,College Stats,6-2,239,,,24,,,,,HansAa00
Christian Harris,LB,Alabama,College Stats,6-1,226,4.44,34.5,,132,,,Houston Texans / 3rd / 75th pick / 2022,HarrCh06
Kevin Harris,RB,South Carolina,College Stats,5-10,221,,38.5,21,126,,,New England Patriots / 6th / 183rd pick / 2022,HarrKe01
Kolby Harvell-Peel,S,Oklahoma St.,College Stats,6-0,213,,,21,,,,,HarvKo00
Hassan Haskins,RB,Michigan,College Stats,6-2,228,,,27,,,,Tennessee Titans / 4th / 131st pick / 2022,HaskHa00
Blake Hayes,P,Illinois,College Stats,6-4,226,,,,,,,,HayeBl00
Marquis Hayes,OG,Oklahoma,College Stats,6-5,318,5.30,23.5,,102,,,Arizona Cardinals / 7th / 257th pick / 2022,HayeMa00
Peyton Hendershot,TE,Indiana,College Stats,6-4,250,4.80,32.5,,117,,4.25,,HendPe01
Connor Heyward,TE,Michigan St.,College Stats,5-11,233,4.72,32.5,,,,,Pittsburgh Steelers / 6th / 208th pick / 2022,HeywCo00
Daxton Hill,S,Michigan,College Stats,6-0,191,4.38,33.5,,121,6.57,4.06,Cincinnati Bengals / 1st / 31st pick / 2022,HillDa04
Chasen Hines,C,LSU,College Stats,6-3,327,5.22,30.5,,108,,,New England Patriots / 6th / 210th pick / 2022,HineCh00
Christopher Hinton,DT,Michigan,College Stats,6-4,305,5.28,31.5,,106,,,,HintCh01
Curtis Hodges,TE,Arizona St.,College Stats,6-8,257,4.85,34.5,,117,7.14,4.28,,HodgCu00
Sam Howell,QB,North Carolina,College Stats,6-1,218,,,,,,,Washington Commanders / 5th / 144th pick / 2022,HoweSa00
Aidan Hutchinson,DE,Michigan,College Stats,6-7,260,4.74,36.0,,117,6.73,4.15,Detroit Lions / 1st / 2nd pick / 2022,HutcAi00
Jermaine Johnson II,DE,Florida St.,College Stats,6-5,254,4.58,32.0,,125,,,New York Jets / 1st / 26th pick / 2022,JohnJe07
Johnny Johnson III,WR,Oregon,College Stats,6-0,197,4.60,32.0,,121,7.21,4.54,,JohnJo12
Verone McKinley III,S,Oregon,College Stats,5-10,198,,35.0,16,120,,,,McKiVe00
Ed Ingram,OG,LSU,College Stats,6-3,307,5.02,20.5,,102,7.81,4.76,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
Keaontay Ingram,RB,USC,College Stats,6-0,221,4.53,34.5,,122,,,Arizona Cardinals / 6th / 201st pick / 2022,IngrKe01
D'Marco Jackson,LB,Appalachian St.,College Stats,6-1,233,4.55,33.0,,125,,,New Orleans Saints / 5th / 161st pick / 2022,JackDM00
Drake Jackson,EDGE,USC,College Stats,6-3,254,,36.5,,127,,,San Francisco 49ers / 2nd / 61st pick / 2022,JackDr01
Jordan Jackson,DT,Air Force,College Stats,6-5,294,,,,,,,New Orleans Saints / 6th / 194th pick / 2022,JackJo06
Joshua Jobe,CB,Alabama,College Stats,6-0,182,,,,,,,,JobeJo00
Josh Johnson,WR,Tulsa,College Stats,5-11,183,,,14,,,,,JohnJo13
Tyree Johnson,EDGE,Texas A&M,College Stats,6-3,248,,,21,,,,,JohnTy04
Zion Johnson,OG,Boston Col.,College Stats,6-3,312,5.18,32.0,32,112,7.38,4.46,Los Angeles Chargers / 1st / 17th pick / 2022,JohnZi00
Braxton Jones,OT,Southern Utah St.,,6-5,310,4.97,25.5,,108,,4.84,Chicago Bears / 5th / 168th pick / 2022,JoneBr08
Jack Jones,CB,Arizona St.,College Stats,5-11,171,4.51,,,,,,New England Patriots / 4th / 121st pick / 2022,JoneJa10
Marcus Jones,CB,Houston,College Stats,5-8,174,,,,,,,New England Patriots / 3rd / 85th pick / 2022,JoneMa06
Travis Jones,DT,Connecticut,College Stats,6-4,325,4.92,28.5,,110,7.33,4.58,Baltimore Ravens / 3rd / 76th pick / 2022,JoneTr00
Velus Jones,WR,Tennessee,College Stats,6-0,204,4.31,33.0,,121,,,Chicago Bears / 3rd / 71st pick / 2022,JoneVe00
Kerby Joseph,S,Illinois,College Stats,6-1,203,,38.5,18,123,,,Detroit Lions / 3rd / 97th pick / 2022,JoseKe03
Kevin Austin Jr.,WR,Notre Dame,College Stats,6-2,200,4.43,39.0,,132,6.71,4.15,,AustKe00
Reggie Roberson Jr.,WR,SMU,College Stats,5-11,192,,29.0,,114,,,,RobeRe00
Cameron Jurgens,C,Nebraska,College Stats,6-3,303,4.92,,25,,,,Philadelphia Eagles / 2nd / 51st pick / 2022,JurgCa01
George Karlaftis,EDGE,Purdue,College Stats,6-4,266,,38.0,21,121,,4.36,Kansas City Chiefs / 1st / 30th pick / 2022,KarlGe00
Cole Kelley,QB,Southeastern Louisiana,,6-7,249,,,,,,,,-9999
Derion Kendrick,CB,Georgia,College Stats,6-0,194,,,,,,,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
D'Eriq King,QB,Miami,College Stats,5-9,196,,,,,,,,KingDE02
Darian Kinnard,OG,Kentucky,College Stats,6-5,322,5.31,25.0,,99,8.11,4.96,Kansas City Chiefs / 5th / 145th pick / 2022,KinnDa00
Zonovan Knight,RB,North Carolina St.,College Stats,5-11,209,4.58,31.0,,114,,,,KnigZo00
Charlie Kolar,TE,Iowa St.,College Stats,6-7,252,,,,,,,Baltimore Ravens / 4th / 128th pick / 2022,KolaCh00
Quentin Lake,S,UCLA,College Stats,6-1,201,4.59,,,,,,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
Nate Landman,LB,Colorado,College Stats,6-3,238,4.86,36.5,,119,,,,LandNa00
DeMarvin Leal,DT,Texas A&M,College Stats,6-4,283,5.00,27.5,,106,,4.49,Pittsburgh Steelers / 3rd / 84th pick / 2022,LealDe00
Isaiah Likely,TE,Coastal Carolina,College Stats,6-5,245,,36.0,,,,4.57,Baltimore Ravens / 4th / 139th pick / 2022,LikeIs00
Tyler Linderbaum,C,Iowa,College Stats,6-2,296,,,,,,,Baltimore Ravens / 1st / 25th pick / 2022,LindTy00
Alec Lindstrom,C,Boston Col.,College Stats,6-3,296,5.18,29.0,25,111,7.50,4.66,,LindAl00
Devin Lloyd,LB,Utah,College Stats,6-3,237,4.66,35.0,25,126,,,Jacksonville Jaguars / 1st / 27th pick / 2022,LloyDe00
Drake London,WR,USC,College Stats,6-4,219,,,,,,,Atlanta Falcons / 1st / 8th pick / 2022,LondDr00
Vederian Lowe,OT,Illinois,College Stats,6-5,314,5.22,25.5,,99,7.83,4.71,Minnesota Vikings / 6th / 184th pick / 2022,LoweVe00
Abraham Lucas,OT,Washington St.,College Stats,6-6,315,4.92,27.0,24,107,7.25,4.40,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
Chase Lucas,CB,Arizona St.,College Stats,5-11,180,4.48,39.0,,128,,,Detroit Lions / 7th / 237th pick / 2022,LucaCh01
Jesse Luketa,LB,Penn St.,College Stats,6-3,253,4.89,37.5,,114,,,Arizona Cardinals / 7th / 256th pick / 2022,LukeJe00
Boye Mafe,EDGE,Minnesota,College Stats,6-4,261,4.53,38.0,,125,,,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
DeAngelo Malone,EDGE,Western Kentucky,College Stats,6-3,243,,,23,,,,Atlanta Falcons / 3rd / 82nd pick / 2022,MaloDe00
Damarri Mathis,CB,Pittsburgh,College Stats,5-11,196,4.39,,,,,,Denver Broncos / 4th / 115th pick / 2022,MathDa00
Phidarian Mathis,DT,Alabama,College Stats,6-4,310,,23.5,,109,,4.91,Washington Commanders / 2nd / 47th pick / 2022,MathPh00
Cade Mays,OG,Tennessee,College Stats,6-5,311,5.24,26.0,,102,7.57,4.71,Carolina Panthers / 6th / 199th pick / 2022,MaysCa00
Trey McBride,TE,Colorado St.,College Stats,6-4,246,,33.0,18,117,,,Arizona Cardinals / 2nd / 55th pick / 2022,McBrTr01
Marquan McCall,DT,Kentucky,College Stats,6-3,342,,,,,,,,McCaMa03
Zakoby McClain,LB,Auburn,College Stats,5-11,228,4.69,33.0,,117,,,,McClZa00
Zyon McCollum,CB,Sam Houston St.,,6-2,199,4.33,39.5,,132,6.48,3.94,Tampa Bay Buccaneers / 5th / 157th pick / 2022,McCoZy02
Sincere McCormick,RB,Texas-San Antonio,College Stats,5-9,205,4.60,33.5,,116,,,,McCoSi00
Roger McCreary,CB,Auburn,College Stats,5-11,190,4.50,,,,,,Tennessee Titans / 2nd / 35th pick / 2022,McCrRo01
Trent McDuffie,CB,Washington,College Stats,5-11,193,4.44,,,,,,Kansas City Chiefs / 1st / 21st pick / 2022,McDuTr00
Micah McFadden,LB,Indiana,College Stats,6-1,240,,,21,,,,New York Giants / 5th / 146th pick / 2022,McFaMi01
Marcus McKethan,OG,North Carolina,College Stats,6-7,340,5.31,27.5,27,110,7.81,4.99,New York Giants / 5th / 173rd pick / 2022,McKeMa01
Bo Melton,WR,Rutgers,College Stats,5-11,189,4.34,38.0,,121,6.98,,Seattle Seahawks / 7th / 229th pick / 2022,MeltBo00
John Metchie,WR,Alabama,College Stats,5-11,187,,,,,,,Houston Texans / 2nd / 44th pick / 2022,MetcJo00
James Mitchell,TE,Virginia Tech,College Stats,6-4,249,,,,,,,Detroit Lions / 5th / 177th pick / 2022,MitcJa00
Max Mitchell,OT,Louisiana,,6-6,307,5.32,25.0,,106,8.09,4.65,New York Jets / 4th / 111th pick / 2022,MitcMa02
Smoke Monday,S,Auburn,College Stats,6-2,207,4.52,,,124,7.00,,,MondSm00
Jeremiah Moon,LB,Florida,College Stats,6-5,249,4.76,40.5,,133,7.09,4.55,,MoonJe00
Skyy Moore,WR,Western Michigan,College Stats,5-10,195,4.41,34.5,,125,7.13,4.32,Kansas City Chiefs / 2nd / 54th pick / 2022,MoorSk01
Chad Muma,LB,Wyoming,College Stats,6-3,239,4.63,40.0,27,129,7.06,4.28,Jacksonville Jaguars / 3rd / 70th pick / 2022,MumaCh00
Thayer Munford,OT,Ohio St.,College Stats,6-6,328,5.39,22.0,,104,,,Las Vegas Raiders / 7th / 238th pick / 2022,MunfTh00
Jalen Nailor,WR,Michigan St.,College Stats,5-11,186,4.50,38.0,,128,7.03,4.28,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
Evan Neal,OT,Alabama,College Stats,6-8,337,,,,,,,New York Giants / 1st / 7th pick / 2022,NealEv00
Leon O'Neal,S,Texas A&M,College Stats,6-1,204,,35.0,15,125,6.89,,,ONeaLe01
Otito Ogbonnia,DT,UCLA,College Stats,6-4,324,,,29,,,,Los Angeles Chargers / 5th / 160th pick / 2022,OgboOt00
David Ojabo,EDGE,Michigan,College Stats,6-4,250,4.55,35.0,,122,,4.45,Baltimore Ravens / 2nd / 45th pick / 2022,OjabDa00
Chigoziem Okonkwo,TE,Maryland,College Stats,6-3,238,4.52,35.5,,,,,Tennessee Titans / 4th / 143rd pick / 2022,OkonCh00
Chris Olave,WR,Ohio St.,College Stats,6-0,187,4.39,32.0,,124,,,New Orleans Saints / 1st / 11th pick / 2022,OlavCh00
Esezi Otomewo,DE,Minnesota,College Stats,6-5,282,,,,,,,Minnesota Vikings / 5th / 165th pick / 2022,OtomEs00
Cade Otton,TE,Washington,College Stats,6-5,247,,,,,,,Tampa Bay Buccaneers / 4th / 106th pick / 2022,OttoCa00
Isiah Pacheco,RB,Rutgers,College Stats,5-10,216,4.37,33.0,,118,,,Kansas City Chiefs / 7th / 251st pick / 2022,PachIs00
Dylan Parham,OG,Memphis,College Stats,6-3,311,4.93,26.5,,108,7.78,4.70,Las Vegas Raiders / 3rd / 90th pick / 2022,ParhDy00
Joshua Paschal,DE,Kentucky,College Stats,6-3,268,4.77,37.5,,123,,,Detroit Lions / 2nd / 46th pick / 2022,PascJo00
Chris Paul,OG,Tulsa,College Stats,6-4,323,4.89,27.0,,109,7.74,4.83,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
Jayden Peevy,DT,Texas A&M,College Stats,6-5,308,5.30,27.0,,100,,,,PeevJa00
