Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Terrance Beadles,Ark-Pine Bluff,,6-3,-0.20645429183127345,-0.5789751404435931,,0.6294925460195345,,,
Brad Bedell,Colorado,,6-4,-1.0056321956942733,-1.227469271470581,1.244679782792812,-1.580573675331657,0.3185955309891294,-0.48225026690650613,-0.9864561295866748
Cooper Carlisle,Florida,,6-5,-1.4052211476257732,-0.7410986732003413,1.085804493297355,0.4453203609069352,-0.1251146545258844,-0.30026160175575545,-1.4607851475697473
Travis Claridge,USC,,6-5,-0.9257144053079733,-0.7951398507859224,1.244679782792812,0.6294925460195345,-0.1251146545258844,-0.4519188227147153,0.34166512076593414
Cosey Coleman,Tennessee,College Stats,6-4,0.5927236120317264,0.5558895888536346,0.13255275632461216,,0.022788740645786856,0.7006760565733654,0.8634270405473131
Adam Davis,Oklahoma State,,6-4,-0.4462076629901734,1.9609602060787725,-0.5029484016572163,,-1.3083418158992546,1.792608047477859,1.0057257459422364
Semisi Heimuli,Texas A&M,,6-1,-0.20645429183127345,0.5558895888536346,0.4503033353155264,-1.0280571199938593,-1.012535025555912,0.0637157285457433,-0.7492916205951385
Steve Herndon,Georgia,,6-4,-1.4052211476257732,-0.3628104301012638,,,,,
Al Jackson,LSU,,6-3,-0.8457966149216734,-0.524933962858012,,-1.2122293051064585,,,
Jeno James,Auburn,,6-3,0.43288803125912645,1.7447954957364433,-0.6618236911526735,-0.291368379543462,-1.012535025555912,1.792608047477859,2.0492495855049984
Ryan Johanningmeier,Colorado,,6-6,-0.3662898726038734,-0.2547280749301015,0.4503033353155264,,0.9102091116758145,-0.057610048221422946,-0.6069929152002151
Matt Johnson,BYU,,6-4,2.430832790916626,1.420548430222947,0.13255275632461216,1.7345256566951304,-0.2730180496975557,0.4580245030390329,0.9582928441439301
Leander Jordan,Indiana (PA),,6-4,1.2320659351221264,0.8801366543671261,1.085804493297355,-0.10719619443086267,0.4664989261608007,-0.02727860402963206,-0.13266389721714258
Andrew Kline,San Diego State,,6-2,-0.7658788245353734,0.7180131216103779,0.13255275632461216,0.07697599068173662,0.3185955309891294,-1.1495420391259192,-0.8915903259900619
Noel LaMontagne,Virginia,,6-4,-1.2453855668531733,-1.1193869162994188,,-0.8438849348812599,,,
Richard Mercier,Miami (FL),,6-3,-1.5650567283983732,0.5018484112680486,-0.5029484016572163,-1.3964014902190578,-0.5688248400408983,-0.23959871337217367,-0.03779809362052555
Mookie Moore,Troy,,6-3,0.43288803125912645,0.8260954767815449,-0.9795742701435878,1.5503534715825311,-1.012535025555912,1.3679678287927757,1.2903231567320792
Roger Roesler,Texas,,6-5,-0.046618711058673476,0.06951899058339002,0.6091786248109835,-0.10719619443086267,0.022788740645786856,1.1859791636420305,-0.13266389721714258
Blaine Saipaia,Colorado State,,6-3,0.5128058216454264,0.2856837009257193,,,,,
Manuia Savea,Arizona,,6-2,-0.5261254533764734,0.2316425233401382,-0.8206989806481306,-0.291368379543462,-1.3083418158992546,,
Mark Tauscher,Wisconsin,,6-3,0.2730524504865265,0.39376605609688636,-0.18519782266630208,-0.6597127497686606,-1.6041486062425971,-0.02727860402963206,0.2467993171693171
Jason Thomas,South Carolina,,6-3,-1.1654677764668733,-0.4168516076868497,0.6091786248109835,-0.47554056465606126,-0.1251146545258844,0.21537294950470043,
Ryan Tujague,Washington State,,6-5,-1.4052211476257732,-0.7410986732003413,-0.18519782266630208,-0.8438849348812599,-0.7167282352125696,0.7916703891487381,0.7685612369507002
Andy Vincent,Texas A&M,,6-4,-0.6859610341490734,-0.524933962858012,0.2914280458200693,-2.133090230669455,1.0581125068474857,-1.1495420391259192,-1.745382558359594
Tom Ashworth,Colorado,College Stats,6-6,-1.7248923091709731,-1.0113045611282516,1.8801809407746406,-1.0280571199938593,1.206015902019157,-1.5741822578109996,-2.314577379939284
David Bobo,TCU,,6-4,-1.964645680329873,-0.09260454217335334,1.085804493297355,-1.2122293051064585,0.7623057165041432,-0.330593045947549,0.48396382616085337
Jarvis Borum,North Carolina State,,6-7,1.3919015158947263,-1.335551626641748,0.9269292038018978,-0.10719619443086267,0.9102091116758145,0.4883559472308238,0.1993664153710107
Jeff Chase,Texas A&M-Kingsville,,6-3,-0.9257144053079733,-0.2547280749301015,,0.2611481757943359,,,
Dave Costa,Wisconsin,,6-6,-0.7658788245353734,0.2316425233401382,,-1.580573675331657,,,
Will Cuthbert,Alabama,,6-5,0.2730524504865265,1.2584248974662036,-0.9795742701435878,-1.580573675331657,-1.4562452110709259,2.79354570580698,1.2903231567320792
Rick DeMulling,Idaho,,6-4,-0.6060432437627734,-0.30876925251568266,1.244679782792812,1.1820091013573324,1.0581125068474857,-0.9068904855915867,-0.8915903259900619
Shawn Draper,Alabama,College Stats,6-3,-0.9257144053079733,0.0154778129978089,1.4035550722882693,-1.580573675331657,0.7623057165041432,0.5490188356144056,-0.08523099541883618
Bill Ferrario,Wisconsin,,6-2,-0.046618711058673476,0.0154778129978089,,-1.580573675331657,,,
Kynan Forney,Hawaii,,6-2,-0.20645429183127345,-0.09260454217335334,-0.18519782266630208,-0.47554056465606126,-0.5688248400408983,1.9442652684368187,-0.41726130800698524
Mike Gandy,Notre Dame,,6-4,-0.7658788245353734,-0.524933962858012,0.9269292038018978,,0.3185955309891294,0.336698726271864,-0.36982840620867885
Adam Haayer,Minnesota,,6-6,-1.3253033572394732,0.0154778129978089,,-0.47554056465606126,,,
