Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Jared Abbrederis,WR,Wisconsin,College Stats,6-1,195,4.50,30.5,4,117,6.80,4.08,Green Bay Packers / 5th / 176th pick / 2014,AbbrJa00
Davante Adams,WR,Fresno State,College Stats,6-1,212,4.56,39.5,14,123,6.82,4.30,Green Bay Packers / 2nd / 53rd pick / 2014,AdamDa01
Mo Alexander,S,Utah State,College Stats,6-1,220,4.50,38.0,,123,7.05,4.51,St. Louis Rams / 4th / 110th pick / 2014,AlexMa00
Ricardo Allen,CB,Purdue,College Stats,5-9,187,4.61,35.5,13,117,,4.15,Atlanta Falcons / 5th / 147th pick / 2014,AlleRi00
Jace Amaro,TE,Texas Tech,College Stats,6-5,265,4.74,33.0,28,118,7.42,4.30,New York Jets / 2nd / 49th pick / 2014,AmarJa00
Antonio Andrews,RB,Western Kentucky,College Stats,5-10,225,4.82,29.5,20,106,7.24,4.49,,AndrAn00
Dri Archer,WR,Kent State,College Stats,5-8,173,4.26,38.0,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014,ArchDr00
Matt Armstrong,C,Grand Valley State,,6-2,302,5.18,,,,,,,-9999
George Atkinson,RB,Notre Dame,,6-1,218,4.48,38.0,19,121,7.07,4.46,,AtkiGe01
Jeremiah Attaochu,OLB,Georgia Tech,College Stats,6-3,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014,AttaJe00
Dion Bailey,S,USC,College Stats,6-0,201,4.66,34.0,,113,6.97,4.15,,BailDi00
Anthony Barr,OLB,UCLA,College Stats,6-5,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00
Lamin Barrow,ILB,LSU,College Stats,6-1,237,4.64,35.0,22,123,7.24,4.35,Denver Broncos / 5th / 156th pick / 2014,BarrLa00
Deion Belue,CB,Alabama,College Stats,5-11,182,4.48,,11,,,,,BeluDe00
Kelvin Benjamin,WR,Florida State,College Stats,6-5,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014,BenjKe00
Bene' Benwikere,CB,San Jose State,College Stats,5-11,195,4.59,40.5,10,122,6.94,4.38,Carolina Panthers / 5th / 148th pick / 2014,BenwBe00
Nat Berhe,S,San Diego State,College Stats,5-10,193,4.71,35.5,15,117,7.08,4.22,New York Giants / 5th / 152nd pick / 2014,BerhNa00
Kapri Bibbs,RB,Colorado State,College Stats,5-9,212,4.67,29.0,24,106,,,,BibbKa00
Joel Bitonio,OG,Nevada,College Stats,6-4,302,4.92,32.0,22,114,7.37,4.44,Cleveland Browns / 2nd / 35th pick / 2014,BitoJo00
Rob Blanchflower,TE,Massachusetts,College Stats,6-4,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014,BlanRo01
Alfred Blue,RB,LSU,College Stats,6-2,223,4.63,32.0,13,121,7.15,4.50,Houston Texans / 6th / 181st pick / 2014,BlueAl00
Russell Bodine,OG,North Carolina,College Stats,6-3,310,5.18,29.0,42,109,8.26,4.66,Cincinnati Bengals / 4th / 111th pick / 2014,BodiRu00
Conor Boffeli,OG,Iowa,,6-4,298,5.30,25.0,21,101,7.44,4.61,,BoffCo00
Chris Borland,ILB,Wisconsin,College Stats,5-11,248,4.83,31.0,27,114,7.18,4.27,San Francisco 49ers / 3rd / 77th pick / 2014,BorlCh00
Blake Bortles,QB,Central Florida,College Stats,6-5,232,4.93,32.5,,115,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick / 2014,BortBl00
Tre Boston,S,North Carolina,College Stats,6-0,204,4.58,35.0,18,116,7.04,4.31,Carolina Panthers / 4th / 128th pick / 2014,BostTr00
Chris Boswell,K,Rice,College Stats,6-2,185,4.93,,,,,,,BoswCh00
Chris Boyd,WR,Vanderbilt,College Stats,6-4,206,4.73,,12,,,,,BoydCh00
Tajh Boyd,QB,Clemson,College Stats,6-1,222,4.84,30.5,,106,7.33,4.23,New York Jets / 6th / 213th pick / 2014,BoydTa00
