Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Artis Hicks,Memphis,,6-4,303.0,5.08,29.5,22.0,104.0,7.85,4.64
Antwan Kirk-Hughes,Texas,,6-3,316.0,5.43,27.0,,95.0,8.28,4.91
Broderick Lancaster,Colorado State,,6-4,310.0,5.26,,14.0,,,
Tango McCauley,Arkansas,,6-3,304.0,5.32,31.0,29.0,104.0,7.9,4.78
Qasim Mitchell,North Carolina A&T,,6-5,335.0,5.28,26.0,22.0,,8.07,4.94
Shannon Money,Arkansas,,6-3,295.0,5.22,33.5,25.0,107.0,,
Marquise Muldrow,Arizona State,,6-2,316.0,5.31,25.5,29.0,98.0,8.12,4.8
Melvin Paige,South Carolina,,6-5,314.0,5.34,23.5,30.0,,,
Dwayne Pierce,LSU,,6-2,319.0,5.5,26.0,,93.0,8.12,5.23
Mike Pucillo,Auburn,,6-4,317.0,5.31,28.0,26.0,,,
Victor Rogers,Colorado,,6-6,331.0,5.57,25.0,20.0,93.0,9.0,5.16
Frank Romero,Oklahoma,,6-4,300.0,5.3,27.5,22.0,88.0,7.65,4.79
Kendall Simmons,Auburn,,6-3,311.0,5.3,28.5,24.0,98.0,7.84,4.71
Ed Ta'amu,Utah,,6-2,335.0,5.3,29.0,28.0,,,
Justin Bates,Colorado,,6-4,300.0,5.38,,18.0,,,
Jeremy Bridges,Southern Miss,,6-4,301.0,5.38,28.5,25.0,96.0,8.12,4.77
Anthony Davis,Virginia Tech,,6-4,329.0,5.34,27.5,,95.0,8.26,4.98
Enoch DeMar,Indiana,,6-4,334.0,5.63,22.5,22.0,90.0,8.35,5.1
David Diehl,Illinois,,6-6,310.0,5.26,28.0,22.0,96.0,8.1,4.97
Robbie Doane,Texas,,6-6,311.0,5.29,24.5,,85.0,8.04,4.73
Derrick Dockery,Texas,College Stats,6-6,347.0,5.58,25.0,,92.0,,
Gus Felder,Penn State,,6-3,324.0,5.83,23.5,,94.0,9.12,5.54
Makoa Freitas,Arizona,,6-4,307.0,5.05,24.5,36.0,95.0,8.24,4.92
