Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Deon Bush,S,Miami (FL),College Stats,6-0,199,4.64,36.0,17,123,,,Chicago Bears / 4th / 124th pick / 2016,BushDe00
Vernon Butler,DT,Louisiana Tech,College Stats,6-4,323,5.33,29.5,26,104,7.82,4.76,Carolina Panthers / 1st / 30th pick / 2016,ButlVe00
Devon Cajuste,WR,Stanford,College Stats,6-4,234,4.62,36.0,12,123,6.49,4.20,,CajuDe01
Shilique Calhoun,DE,Michigan State,College Stats,6-4,251,4.82,35.0,23,115,6.97,4.25,Oakland Raiders / 3rd / 75th pick / 2016,CalhSh00
Taveze Calhoun,CB,Mississippi State,College Stats,6-0,192,4.58,33.5,14,,,,,CalhTa01
De'Vondre Campbell,OLB,Minnesota,College Stats,6-4,232,4.58,34.0,16,116,,,Atlanta Falcons / 4th / 115th pick / 2016,CampDe00
Maurice Canady,CB,Virginia,College Stats,6-1,193,4.49,38.0,16,124,7.03,4.09,Baltimore Ravens / 6th / 209th pick / 2016,CanaMa00
Leonte Carroo,WR,Rutgers,College Stats,6-0,211,4.50,35.5,14,120,,,Miami Dolphins / 3rd / 86th pick / 2016,CarrLe00
Tra Carson,RB,Texas A&M,College Stats,5-11,227,4.63,,19,,,,,CarsTr01
Tevin Carter,S,Utah,College Stats,6-1,218,4.48,,19,,,,,CartTe00
Jeremy Cash,S,Duke,College Stats,6-0,212,4.56,,,,,,,CashJe00
Joseph Cheek,OG,Texas A&M,College Stats,6-6,295,5.27,,20,,,,,-9999
Kenny Clark,DT,UCLA,College Stats,6-3,314,5.06,28.5,29,102,,4.62,Green Bay Packers / 1st / 27th pick / 2016,ClarKe01
Le'Raven Clark,OT,Texas Tech,College Stats,6-5,316,5.16,,18,,,,Indianapolis Colts / 3rd / 82nd pick / 2016,ClarLe01
Corey Coleman,WR,Baylor,College Stats,5-11,194,4.42,40.5,17,129,,,Cleveland Browns / 1st / 15th pick / 2016,ColeCo00
Shon Coleman,OT,Auburn,College Stats,6-5,307,5.18,,22,,,,Cleveland Browns / 3rd / 76th pick / 2016,ColeSh00
Alex Collins,RB,Arkansas,College Stats,5-10,217,4.59,28.5,18,113,,,Seattle Seahawks / 5th / 171st pick / 2016,CollAl00
Maliek Collins,DT,Nebraska,College Stats,6-2,311,5.03,29.5,25,109,7.53,4.52,Dallas Cowboys / 3rd / 67th pick / 2016,CollMa00
Jack Conklin,OT,Michigan State,College Stats,6-6,308,5.00,30.0,25,103,7.63,4.57,Tennessee Titans / 1st / 8th pick / 2016,ConkJa00
Connor Cook,QB,Michigan State,College Stats,6-4,217,4.79,33.0,,113,7.21,4.28,Oakland Raiders / 4th / 100th pick / 2016,CookCo00
Fahn Cooper,OT,Mississippi,College Stats,6-4,303,5.17,25.0,19,102,7.85,4.89,San Francisco 49ers / 5th / 174th pick / 2016,CoopFa00
Pharoh Cooper,WR,South Carolina,College Stats,5-11,203,4.52,31.0,15,115,,,Los Angeles Rams / 4th / 117th pick / 2016,CoopPh00
Marshaun Coprich,RB,Illinois State,,5-8,207,4.47,34.0,17,112,7.26,4.58,,-9999
Cody Core,WR,Mississippi,College Stats,6-3,205,4.47,31.5,14,119,,,Cincinnati Bengals / 6th / 199th pick / 2016,CoreCo00
Kamalei Correa,DE,Boise State,College Stats,6-3,243,4.69,33.0,21,108,,,Baltimore Ravens / 2nd / 42nd pick / 2016,CorrKa00
James Cowser,DE,Southern Utah,,6-3,248,4.82,31.5,21,111,6.80,4.31,,CowsJa00
Brad Craddock,K,Maryland,College Stats,6-0,186,4.88,,,,,,,CradBr00
Su'A Cravens,OLB,USC,College Stats,6-1,226,4.58,27.0,16,114,,,Washington Redskins / 2nd / 53rd pick / 2016,CravSu00
Ken Crawley,CB,Colorado,College Stats,6-0,187,4.43,36.5,,119,,,,CrawKe02
Joe Dahl,OT,Washington State,College Stats,6-4,304,5.18,31.0,28,109,7.64,4.77,Detroit Lions / 5th / 151st pick / 2016,DahlJo00
Steven Daniels,ILB,Boston Col.,College Stats,5-11,243,4.86,32.0,16,112,7.33,4.54,Washington Redskins / 7th / 232nd pick / 2016,DaniSt00
Sean Davis,CB,Maryland,College Stats,6-1,201,4.46,37.5,21,126,6.64,3.97,Pittsburgh Steelers / 2nd / 58th pick / 2016,DaviSe00
Trevor Davis,WR,California,College Stats,6-1,188,4.42,38.5,11,124,6.60,4.22,Green Bay Packers / 5th / 163rd pick / 2016,DaviTr03
Sheldon Day,DT,Notre Dame,College Stats,6-1,293,5.07,30.0,21,102,7.44,4.50,Jacksonville Jaguars / 4th / 103rd pick / 2016,DayxSh00
Taylor Decker,OT,Ohio State,College Stats,6-7,310,5.23,29.0,20,101,7.70,4.76,Detroit Lions / 1st / 16th pick / 2016,DeckTa00
KJ Dillon,S,West Virginia,College Stats,6-0,210,4.53,,11,121,,,Houston Texans / 5th / 159th pick / 2016,DillK.00
Kenneth Dixon,RB,Louisiana Tech,College Stats,5-10,215,4.56,37.5,18,121,6.97,4.28,Baltimore Ravens / 4th / 134th pick / 2016,DixoKe00
Riley Dixon,P,Syracuse,College Stats,6-4,221,5.04,,,,,,Denver Broncos / 7th / 228th pick / 2016,DixoRi00
Josh Doctson,WR,TCU,College Stats,6-2,202,4.50,41.0,14,131,6.84,4.08,Washington Redskins / 1st / 22nd pick / 2016,DoctJo00
Kevin Dodd,DE,Clemson,College Stats,6-5,277,4.86,,,,,,Tennessee Titans / 2nd / 33rd pick / 2016,DoddKe00
Brandon Doughty,QB,Western Kentucky,College Stats,6-3,213,5.22,27.0,,103,7.49,4.52,Miami Dolphins / 7th / 223rd pick / 2016,DougBr00
Kenyan Drake,RB,Alabama,College Stats,6-1,210,4.45,34.5,10,123,7.04,4.21,Miami Dolphins / 3rd / 73rd pick / 2016,DrakKe00
Spencer Drango,OT,Baylor,College Stats,6-6,315,5.27,27.0,30,100,7.88,4.66,Cleveland Browns / 5th / 168th pick / 2016,DranSp00
Jeff Driskel,QB,Louisiana Tech,College Stats,6-4,234,4.56,32.0,,122,7.19,4.25,San Francisco 49ers / 6th / 207th pick / 2016,DrisJe00
Thomas Duarte,TE,UCLA,College Stats,6-2,231,4.72,33.5,12,118,6.97,4.24,Miami Dolphins / 7th / 231st pick / 2016,DuarTh00
Lachlan Edwards,P,Sam Houston State,,6-4,209,4.98,,,,,,,-9999
Parker Ehinger,OT,Cincinnati,College Stats,6-6,310,5.26,27.5,,97,,,Kansas City Chiefs / 4th / 105th pick / 2016,EhinPa00
Deandre Elliott,CB,Colorado State,College Stats,6-1,188,4.55,41.0,,125,6.93,3.94,,ElliDe01
Ezekiel Elliott,RB,Ohio State,College Stats,6-0,225,4.47,32.5,,118,,,Dallas Cowboys / 1st / 4th pick / 2016,ElliEz00
Tyler Ervin,RB,San Jose State,College Stats,5-10,192,4.41,39.0,17,130,,,Houston Texans / 4th / 119th pick / 2016,ErviTy00
Kyler Fackrell,OLB,Utah State,College Stats,6-5,245,4.72,34.5,15,121,,,Green Bay Packers / 3rd / 88th pick / 2016,FackKy00
Ka'Imi Fairbairn,K,UCLA,College Stats,5-11,183,4.96,,,,,,,FairKa01
Jason Fanaika,DE,Utah,College Stats,6-2,271,4.92,35.5,23,113,7.06,4.39,,FanaJa01
Travis Feeney,OLB,Washington,College Stats,6-4,230,4.50,40.0,,130,7.20,4.42,Pittsburgh Steelers / 6th / 220th pick / 2016,FeenTr00
Josh Ferguson,RB,Illinois,College Stats,5-9,198,4.48,34.5,21,120,,,,FergJo02
Leonard Floyd,OLB,Georgia,College Stats,6-6,244,4.60,39.5,,127,,,Chicago Bears / 1st / 9th pick / 2016,FloyLe00
Josh Forrest,ILB,Kentucky,College Stats,6-3,249,4.91,30.5,11,118,,,Los Angeles Rams / 6th / 190th pick / 2016,ForrJo00
D.J. Foster,WR,Arizona State,College Stats,5-10,193,4.57,35.5,14,117,6.75,4.07,,FostD.01
Kavon Frazier,S,Central Michigan,College Stats,6-0,217,4.53,,18,,,,Dallas Cowboys / 6th / 212th pick / 2016,FrazKa00
Kris Frost,OLB,Auburn,College Stats,6-2,240,4.97,29.0,,113,,,,FrosKr00
Kendall Fuller,CB,Virginia Tech,College Stats,5-11,187,4.48,,15,,,,Washington Redskins / 3rd / 84th pick / 2016,FullKe00
Will Fuller,WR,Notre Dame,College Stats,6-0,186,4.32,33.5,10,126,6.93,4.27,Houston Texans / 1st / 21st pick / 2016,FullWi01
Joshua Garnett,OG,Stanford,College Stats,6-4,312,5.32,29.0,30,99,7.62,4.64,San Francisco 49ers / 1st / 28th pick / 2016,GarnJo00
Keyarris Garrett,WR,Tulsa,College Stats,6-3,220,4.53,36.5,14,128,7.30,4.33,,GarrKe01
Graham Glasgow,C,Michigan,College Stats,6-6,307,5.13,25.0,23,106,7.63,4.63,Detroit Lions / 3rd / 95th pick / 2016,GlasGr00
Jared Goff,QB,California,College Stats,6-4,215,4.82,27.0,,110,7.17,4.47,Los Angeles Rams / 1st / 1st pick / 2016,GoffJa00
B.J. Goodson,OLB,Clemson,College Stats,6-1,242,4.69,34.5,30,118,7.05,4.51,New York Giants / 4th / 109th pick / 2016,GoodB.00
Adam Gotsis,DT,Georgia Tech,College Stats,6-4,287,4.88,,,,,,Denver Broncos / 2nd / 63rd pick / 2016,GotsAd00
T.J. Green,S,Clemson,College Stats,6-2,209,4.34,35.5,13,129,,,Indianapolis Colts / 2nd / 57th pick / 2016,GreeT.00
Darrell Greene,OG,San Diego State,College Stats,6-3,321,5.20,21.5,28,98,8.07,4.98,,GreeDa02
David Grinnage,TE,North Carolina State,College Stats,6-5,248,4.90,29.5,,106,,,,GrinDa00
Glenn Gronkowski,FB,Kansas State,College Stats,6-2,239,4.71,33.0,17,120,7.10,4.45,,GronGl01
Christian Hackenberg,QB,Penn State,College Stats,6-4,223,4.78,31.0,,114,7.04,4.33,New York Jets / 2nd / 51st pick / 2016,HackCh01
Tom Hackett,P,Utah,College Stats,5-10,198,4.86,,,,,,,HackTo00
Joe Haeg,OT,North Dakota State,,6-6,304,5.16,27.5,,111,7.47,4.47,Indianapolis Colts / 5th / 155th pick / 2016,HaegJo00
Deiondre Hall,CB,Northern Iowa,,6-2,199,4.68,37.0,,127,7.07,4.06,,-9999
Javon Hargrave,DT,South Carolina State,,6-1,309,4.93,34.5,29,109,7.90,4.70,Pittsburgh Steelers / 3rd / 89th pick / 2016,HargJa00
De'Vante Harris,CB,Texas A&M,College Stats,5-11,176,4.56,38.5,,124,6.82,4.06,,HarrDe04
Jerald Hawkins,OT,LSU,College Stats,6-6,305,5.23,23.5,23,100,8.19,4.89,Pittsburgh Steelers / 4th / 123rd pick / 2016,HawkJe00
Joel Heath,DT,Michigan State,College Stats,6-5,293,5.02,33.0,26,113,7.44,4.52,,HeatJo00
Temarrick Hemingway,TE,South Carolina State,,6-5,244,4.71,30.5,18,115,6.88,4.31,Los Angeles Rams / 6th / 177th pick / 2016,HemiTe00
Derrick Henry,RB,Alabama,College Stats,6-3,247,4.54,37.0,22,130,7.20,4.38,Tennessee Titans / 2nd / 45th pick / 2016,HenrDe00
Hunter Henry,TE,Arkansas,College Stats,6-5,250,4.79,,13,,,,San Diego Chargers / 2nd / 35th pick / 2016,HenrHu00
Willie Henry,DT,Michigan,College Stats,6-3,303,5.00,30.5,28,110,7.57,4.53,Baltimore Ravens / 4th / 132nd pick / 2016,HenrWi00
Quayvon Hicks,FB,Georgia,College Stats,6-1,259,4.82,,,,,,,HickQu01
Tyler Higbee,TE,Western Kentucky,College Stats,6-6,249,4.77,,,,,,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
Rashard Higgins,WR,Colorado State,College Stats,6-1,196,4.64,32.0,13,116,,,Cleveland Browns / 5th / 172nd pick / 2016,HiggRa00
Kevin Hogan,QB,Stanford,College Stats,6-3,218,4.78,32.5,,113,6.90,4.31,Kansas City Chiefs / 5th / 162nd pick / 2016,HogaKe00
Johnny Holton,WR,Cincinnati,College Stats,6-1,190,4.54,31.5,8,123,,,,HoltJo00
Austin Hooper,TE,Stanford,College Stats,6-4,254,4.72,33.0,19,117,7.00,4.32,Atlanta Falcons / 3rd / 81st pick / 2016,HoopAu00
Deandre Houston-Carson,S,William & Mary,,6-1,201,4.54,32.5,13,115,7.15,4.28,Chicago Bears / 6th / 185th pick / 2016,HousDe00
Jordan Howard,RB,Indiana,College Stats,6-0,230,4.57,34.0,16,122,,,Chicago Bears / 5th / 150th pick / 2016,HowaJo00
Xavien Howard,CB,Baylor,College Stats,6-0,201,4.58,33.0,11,122,7.18,4.15,Miami Dolphins / 2nd / 38th pick / 2016,HowaXa00
Germain Ifedi,OT,Texas A&M,College Stats,6-6,324,5.27,32.5,24,109,,4.75,Seattle Seahawks / 1st / 31st pick / 2016,IfedGe00
Cleveland Wallace III,CB,San Jose State,,5-11,188,4.68,35.5,,123,,,,-9999
Vernon Hargreaves III,CB,Florida,College Stats,5-10,204,4.50,39.0,15,130,,3.98,Tampa Bay Buccaneers / 1st / 11th pick / 2016,HargVe00
William Jackson III,CB,Houston,College Stats,6-0,189,4.37,,10,116,,,Cincinnati Bengals / 1st / 24th pick / 2016,JackWi02
Scooby Wright III,ILB,Arizona,College Stats,6-0,239,4.90,31.0,22,113,,4.47,Cleveland Browns / 7th / 250th pick / 2016,WrigSc00
Matt Ioannidis,DT,Temple,College Stats,6-3,299,5.03,28.0,32,108,7.78,4.71,Washington Redskins / 5th / 152nd pick / 2016,IoanMa01
Myles Jack,OLB,UCLA,College Stats,6-1,245,4.56,,19,,,,Jacksonville Jaguars / 2nd / 36th pick / 2016,JackMy00
Branden Jackson,DE,Texas Tech,College Stats,6-4,273,5.06,31.5,20,113,7.40,4.77,,JackBr04
Dominick Jackson,OT,Alabama,College Stats,6-5,313,5.38,26.0,20,97,,,,JackDo00
Andy Janovich,FB,Nebraska,College Stats,6-1,238,4.81,34.0,30,119,7.28,4.32,Denver Broncos / 6th / 176th pick / 2016,JanoAn00
Quinton Jefferson,DT,Maryland,College Stats,6-4,291,4.95,29.0,24,,7.95,4.37,Seattle Seahawks / 5th / 147th pick / 2016,JeffQu00
Jordan Jenkins,OLB,Georgia,College Stats,6-3,259,4.80,36.5,16,121,,,New York Jets / 3rd / 83rd pick / 2016,JenkJo01
Austin Johnson,DT,Penn State,College Stats,6-4,314,5.32,26.0,25,96,7.84,4.75,Tennessee Titans / 2nd / 43rd pick / 2016,JohnAu01
C.J. Johnson,ILB,Mississippi,College Stats,6-1,234,4.81,,,,,4.52,,JohnC.00
Devon Johnson,RB,Marshall,College Stats,6-0,238,4.64,,,,,,,JohnDe05
Tyler Johnstone,OT,Oregon,College Stats,6-5,301,5.21,30.5,24,104,7.31,4.60,,JohnTy01
Cardale Jones,QB,Ohio State,College Stats,6-5,253,4.81,36.0,,,,,Buffalo Bills / 4th / 139th pick / 2016,JoneCa01
Cayleb Jones,WR,Arizona,College Stats,6-3,209,4.65,33.5,9,,6.99,4.14,,JoneCa02
Chris Jones,DT,Mississippi State,College Stats,6-6,310,5.03,24.5,26,106,7.44,4.62,Kansas City Chiefs / 2nd / 37th pick / 2016,JoneCh09
Cyrus Jones,CB,Alabama,College Stats,5-10,197,4.49,33.0,10,116,6.71,4.21,New England Patriots / 2nd / 60th pick / 2016,JoneCy00
Deion Jones,OLB,LSU,College Stats,6-1,222,4.59,33.0,,120,,,Atlanta Falcons / 2nd / 52nd pick / 2016,JoneDe01
Jonathan Jones,CB,Auburn,College Stats,5-9,186,4.33,36.0,19,123,7.25,4.25,,JoneJo03
Karl Joseph,S,West Virginia,College Stats,5-10,205,4.57,,,,,,Oakland Raiders / 1st / 14th pick / 2016,JoseKa00
Matt Judon,DE,Grand Valley State,,6-3,275,4.73,35.0,30,109,7.67,4.52,Baltimore Ravens / 5th / 146th pick / 2016,JudoMa00
Ufomba Kamalu,DE,Miami (FL),College Stats,6-5,295,5.01,25.0,26,106,7.32,4.58,,KamaUf00
Drew Kaser,P,Texas A&M,College Stats,6-2,212,4.95,,,,,,San Diego Chargers / 6th / 179th pick / 2016,KaseDr00
Nila Kasitati,OG,Oklahoma,College Stats,6-3,317,5.32,27.5,12,107,8.30,4.83,,KasiNi01
Bronson Kaufusi,DE,BYU,College Stats,6-6,285,4.87,30.0,25,111,7.03,4.25,Baltimore Ravens / 3rd / 70th pick / 2016,KaufBr01
Jayron Kearse,S,Clemson,College Stats,6-4,216,4.62,31.5,16,124,7.06,,Minnesota Vikings / 7th / 244th pick / 2016,KearJa00
Ryan Kelly,C,Alabama,College Stats,6-4,311,5.03,30.0,26,103,7.58,4.59,Indianapolis Colts / 1st / 18th pick / 2016,KellRy00
Cody Kessler,QB,USC,College Stats,6-1,220,4.89,29.5,,104,7.32,4.00,Cleveland Browns / 3rd / 93rd pick / 2016,KessCo00
Miles Killebrew,S,Southern Utah,,6-2,217,4.65,38.0,22,127,6.93,4.18,Detroit Lions / 4th / 111th pick / 2016,KillMi00
Derrick Kindred,S,TCU,College Stats,5-10,207,4.50,37.5,,123,7.05,4.29,Cleveland Browns / 4th / 129th pick / 2016,KindDe00
Raphael Kirby,ILB,Miami (FL),College Stats,6-0,236,4.72,,27,,,,,-9999
Denver Kirkland,OT,Arkansas,College Stats,6-4,335,5.55,22.5,19,94,8.72,5.06,,KirkDe00
Marshall Koehn,K,Iowa,College Stats,6-1,197,4.61,,,,,,,KoehMa00
Nick Kwiatkoski,ILB,West Virginia,College Stats,6-2,243,4.73,32.0,19,120,7.16,4.22,Chicago Bears / 4th / 113th pick / 2016,KwiaNi00
Jimmy Landes,LS,Baylor,College Stats,6-1,240,4.95,27.5,,110,7.05,4.38,Detroit Lions / 6th / 210th pick / 2016,LandJi00
Daniel Lasco,RB,California,College Stats,6-0,209,4.46,41.5,23,135,7.22,4.26,New Orleans Saints / 7th / 237th pick / 2016,LascDa00
Darius Latham,DT,Indiana,College Stats,6-4,311,5.32,29.0,,100,7.76,4.63,,LathDa01
Kenny Lawler,WR,California,College Stats,6-2,203,4.64,31.0,,111,7.13,4.20,Seattle Seahawks / 7th / 243rd pick / 2016,LawlKe00
Nile Lawrence-Stample,DL,Florida State,College Stats,6-1,320,5.24,,,,,,,LawrNi01
Shaq Lawson,DE,Clemson,College Stats,6-3,269,4.70,33.0,,120,7.16,4.21,Buffalo Bills / 1st / 19th pick / 2016,LawsSh00
Darron Lee,OLB,Ohio State,College Stats,6-1,232,4.47,35.5,17,133,7.12,4.20,New York Jets / 1st / 20th pick / 2016,LeexDa00
Alex Lewis,OT,Nebraska,College Stats,6-6,312,5.22,29.5,27,100,7.94,4.72,Baltimore Ravens / 4th / 130th pick / 2016,LewiAl01
Roger Lewis,WR,Bowling Green,College Stats,6-0,201,4.57,33.5,8,116,,,,LewiRo03
Kolby Listenbee,WR,TCU,College Stats,6-0,197,4.39,35.5,15,129,,,Buffalo Bills / 6th / 192nd pick / 2016,ListKo00
Cory Littleton,OLB,Washington,College Stats,6-3,238,4.73,29.5,,114,7.11,4.32,,LittCo01
Jordan Lomax,S,Iowa,College Stats,5-10,202,4.75,36.0,8,120,7.18,4.15,,LomaJo00
Steve Longa,ILB,Rutgers,College Stats,6-1,241,4.78,32.0,19,116,7.50,4.56,,LongSt00
Ricardo Louis,WR,Auburn,College Stats,6-2,215,4.43,38.0,18,132,,,Cleveland Browns / 4th / 114th pick / 2016,LouiRi00
Dean Lowry,DE,Northwestern,College Stats,6-6,296,4.87,32.5,30,114,7.26,4.38,Green Bay Packers / 4th / 137th pick / 2016,LowrDe00
Jordan Lucas,S,Penn State,College Stats,6-0,201,4.54,,,,,,Miami Dolphins / 6th / 204th pick / 2016,LucaJo00
John Lunsford,K,Liberty,,6-1,214,4.74,,,,,,,-9999
Paxton Lynch,QB,Memphis,College Stats,6-7,244,4.86,36.0,,118,7.14,4.26,Denver Broncos / 1st / 26th pick / 2016,LyncPa00
Tre Madden,RB,USC,College Stats,6-0,223,4.53,,24,,,,,MaddTr01
Luther Maddy,DT,Virginia Tech,College Stats,6-0,287,4.96,,29,,,,,MaddLu00
Curt Maggitt,OLB,Tennessee,College Stats,6-3,247,4.73,,,,,,,MaggCu00
Ryan Malleck,TE,Virginia Tech,College Stats,6-4,247,4.77,34.5,18,121,7.00,4.33,,MallRy02
Byron Marshall,WR,Oregon,College Stats,5-9,201,4.42,,17,,,,,MarsBy01
Jalin Marshall,WR,Ohio State,College Stats,5-10,200,4.60,37.5,16,125,6.80,4.13,,MarsJa01
Keith Marshall,RB,Georgia,College Stats,5-11,219,4.31,30.5,25,,,,Washington Redskins / 7th / 242nd pick / 2016,MarsKe00
Nick Martin,C,Notre Dame,College Stats,6-4,299,5.22,28.0,28,97,7.57,4.72,Houston Texans / 2nd / 50th pick / 2016,MartNi00
Blake Martinez,ILB,Stanford,College Stats,6-2,237,4.71,28.5,22,113,6.98,4.20,Green Bay Packers / 4th / 131st pick / 2016,MartBl01
Tyler Marz,OT,Wisconsin,College Stats,6-7,316,5.54,27.5,19,99,8.38,4.97,,MarzTy01
Tyler Matakevich,OLB,Temple,College Stats,6-0,238,4.81,31.0,22,112,7.19,4.50,Pittsburgh Steelers / 7th / 246th pick / 2016,MataTy00
Chris Mayes,DL,Georgia,College Stats,6-3,338,5.34,23.5,33,104,,5.13,,-9999
Alex McCalister,DE,Florida,College Stats,6-6,239,4.80,34.5,,128,7.01,4.00,Philadelphia Eagles / 7th / 240th pick / 2016,McCaAl00
Jake McGee,TE,Florida,College Stats,6-5,250,4.83,,17,,,,,McGeJa01
Connor McGovern,OG,Missouri,College Stats,6-4,306,5.11,33.0,33,109,7.50,4.65,Denver Broncos / 5th / 144th pick / 2016,McGoCo00
