Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Mehdi Abdesmad,DE,Boston Col.,College Stats,6-6,284,5.10,29.5,25,108,7.55,4.62,,AbdeMe00
Vernon Adams,QB,Oregon,College Stats,5-11,200,4.83,29.5,,114,6.82,4.20,,-9999
Jerell Adams,TE,South Carolina,College Stats,6-5,247,4.64,32.5,,117,7.05,4.31,New York Giants / 6th / 184th pick / 2016,AdamJe01
Bralon Addison,WR,Oregon,College Stats,5-9,197,4.66,34.5,13,116,6.95,4.14,,AddiBr01
Roberto Aguayo,K,Florida State,College Stats,6-0,207,4.96,,,,,,Tampa Bay Buccaneers / 2nd / 59th pick / 2016,AguaRo00
Dominique Alexander,ILB,Oklahoma,College Stats,6-0,232,4.64,28.5,17,104,,,,AlexDo01
Mackensie Alexander,CB,Clemson,College Stats,5-10,190,4.43,,11,,,,Minnesota Vikings / 2nd / 54th pick / 2016,AlexMa01
Vadal Alexander,OT,LSU,College Stats,6-5,326,5.57,24.0,25,95,8.04,4.90,Oakland Raiders / 7th / 234th pick / 2016,AlexVa00
Brandon Allen,QB,Arkansas,College Stats,6-1,217,4.84,28.0,,110,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00
Jack Allen,C,Michigan State,College Stats,6-1,294,5.29,26.5,23,101,7.90,4.73,,AlleJa03
Geronimo Allison,WR,Illinois,College Stats,6-3,196,4.67,33.0,,127,7.40,4.28,,AlliGe01
Stephen Anderson,TE,California,College Stats,6-2,230,4.59,38.0,16,119,,,,AndeSt01
Eli Apple,CB,Ohio State,College Stats,6-1,199,4.40,,13,,,,New York Giants / 1st / 10th pick / 2016,ApplEl00
Demarcus Ayers,WR,Houston,College Stats,5-9,182,4.72,33.0,,123,,,Pittsburgh Steelers / 7th / 229th pick / 2016,AyerDe00
Sterling Bailey,DE,Georgia,College Stats,6-4,285,5.23,30.0,20,111,7.46,4.73,,-9999
Peyton Barber,RB,Auburn,College Stats,5-10,228,4.64,32.5,20,111,7.00,4.21,,BarbPe01
Jimmy Bean,DE,Oklahoma State,College Stats,6-5,264,4.87,,20,,,,,BeanJi01
Willie Beavers,OT,West. Michigan,College Stats,6-5,321,5.28,25.5,20,103,7.96,4.71,Minnesota Vikings / 4th / 121st pick / 2016,BeavWi00
Vonn Bell,S,Ohio State,College Stats,5-11,199,4.52,,16,,,,New Orleans Saints / 2nd / 61st pick / 2016,BellVo00
Caleb Benenoch,OT,UCLA,College Stats,6-5,311,4.98,28.0,,104,8.15,5.11,Tampa Bay Buccaneers / 5th / 148th pick / 2016,BeneCa00
Andrew Billings,DT,Baylor,College Stats,6-1,311,5.05,27.5,31,113,8.05,4.82,Cincinnati Bengals / 4th / 122nd pick / 2016,BillAn00
Ronald Blair,DE,Appalachian State,College Stats,6-2,284,5.15,30.0,32,113,7.95,4.53,San Francisco 49ers / 5th / 142nd pick / 2016,BlaiRo00
Austin Blythe,C,Iowa,College Stats,6-2,298,5.36,27.5,29,99,7.52,4.53,Indianapolis Colts / 7th / 248th pick / 2016,BlytAu00
Briean Boddy-Calhoun,CB,Minnesota,College Stats,5-9,193,4.47,35.0,10,123,7.16,4.22,,BoddBr01
Evan Boehm,C,Missouri,College Stats,6-2,302,5.33,28.5,24,96,7.52,4.69,Arizona Cardinals / 4th / 128th pick / 2016,BoehEv00
Devante Bond,OLB,Oklahoma,College Stats,6-1,235,4.70,37.5,21,121,7.07,4.36,Tampa Bay Buccaneers / 6th / 183rd pick / 2016,BondDe00
Devontae Booker,RB,Utah,College Stats,5-11,219,4.56,,22,,,,Denver Broncos / 4th / 136th pick / 2016,BookDe00
Joey Bosa,DE,Ohio State,College Stats,6-5,269,4.86,32.0,24,120,6.89,4.21,San Diego Chargers / 1st / 3rd pick / 2016,BosaJo00
Tyler Boyd,WR,Pittsburgh,College Stats,6-1,197,4.58,34.0,11,119,6.90,4.35,Cincinnati Bengals / 2nd / 55th pick / 2016,BoydTy00
Trevone Boykin,QB,TCU,College Stats,6-0,212,4.77,32.0,,110,,4.40,,BoykTr00
James Bradberry,CB,Samford,,6-1,211,4.50,36.0,16,124,6.91,4.21,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
Ben Braunecker,TE,Harvard,,6-3,250,4.73,35.5,20,121,6.90,4.20,,BrauBe00
Jake Brendel,C,UCLA,College Stats,6-3,303,5.01,28.0,25,108,7.31,4.27,,BrenJa01
Jacoby Brissett,QB,North Carolina State,College Stats,6-4,231,4.94,31.0,,113,7.17,4.53,New England Patriots / 3rd / 91st pick / 2016,BrisJa00
Kentrell Brothers,OLB,Missouri,College Stats,6-0,245,4.89,28.5,19,110,6.99,4.11,Minnesota Vikings / 5th / 160th pick / 2016,BrotKe00
Anthony Brown,CB,Purdue,College Stats,5-11,192,4.33,35.0,19,115,7.03,4.19,Dallas Cowboys / 6th / 189th pick / 2016,BrowAn02
Beniquez Brown,OLB,Mississippi State,College Stats,6-1,229,4.77,31.0,18,110,7.07,4.28,,BrowBe00
Chris Brown,WR,Notre Dame,College Stats,6-2,194,4.48,,,,,,,BrowCh07
Lamarcus Brutus,S,Florida State,College Stats,6-0,206,4.76,33.0,14,114,7.08,4.33,,BrutLa00
Deforest Buckner,DE,Oregon,College Stats,6-7,291,5.05,32.0,,116,7.51,4.47,San Francisco 49ers / 1st / 7th pick / 2016,BuckDe00
Jonathan Bullard,DE,Florida,College Stats,6-3,285,4.93,32.0,23,116,7.31,4.56,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
Aaron Burbridge,WR,Michigan State,College Stats,6-0,206,4.56,30.5,20,115,7.22,4.31,San Francisco 49ers / 6th / 213th pick / 2016,BurbAa00
Artie Burns,CB,Miami (FL),College Stats,6-0,193,4.46,31.5,,,,,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
Juston Burris,CB,North Carolina State,College Stats,6-0,212,4.53,36.5,19,122,7.10,4.40,New York Jets / 4th / 118th pick / 2016,BurrJu00
