Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Jonathan Adams,WR,Arkansas St.,College Stats,6-2,210,4.59,39.0,,132,7.04,4.38,,AdamJo04
Paulson Adebo,CB,Stanford,College Stats,6-1,198,4.45,36.5,18,121,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
Giles Amos,TE,Arkansas St.,College Stats,6-3,250,5.14,28.5,,111,7.65,5.13,,-9999
Zayne Anderson,LB,BYU,College Stats,,,4.46,34.0,11,120,6.78,4.22,,-9999
Otis Anderson,RB,Central Florida,College Stats,5-7,179,4.63,36.0,11,113,7.04,4.38,,-9999
Jack Anderson,OL,Texas Tech,College Stats,6-4,314,5.28,29.5,27,105,7.90,4.83,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01
Dan Archibong,DT,Temple,College Stats,6-5,295,5.35,28.5,28,100,8.16,4.68,,-9999
Calvin Ashley,OL,Florida A&M,,6-6,314,5.49,29.0,15,105,7.00,5.10,,AshlCa00
Jaytlin Askew,DB,Georgia Tech,College Stats,5-8,180,4.51,35.5,18,125,7.10,4.31,,-9999
Tutu Atwell,WR,Louisville,College Stats,5-8,155,4.42,33.0,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
Kayode Awosika,OL,Buffalo,College Stats,6-3,307,5.19,30.0,28,100,8.15,4.91,,AwosKa00
Kawaan Baker,WR,South Alabama,College Stats,6-0,210,4.44,39.5,21,129,7.42,4.41,,-9999
Josh Ball,OL,Marshall,College Stats,6-7,308,5.20,27.5,28,106,7.77,4.70,Dallas Cowboys / 4th / 138th pick / 2021,BallJo00
Aaron Banks,OL,Notre Dame,College Stats,6-5,325,5.32,31.0,24,100,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
Cole Banwart,OL,Iowa,College Stats,6-1,298,5.12,27.5,22,103,7.50,4.70,,-9999
Christian Barmore,DL,Alabama,College Stats,6-4,310,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021,BarmCh00
Derrick Barnes,DE,Purdue,College Stats,6-0,238,4.57,37.0,29,119,,4.27,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
Carlos Basham,DL,Wake Forest,College Stats,6-3,274,4.64,34.0,20,122,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00
Rashod Bateman,WR,Minnesota,College Stats,6-0,190,4.39,36.0,,123,,,Baltimore Ravens / 1st / 27th pick / 2021,BateRa00
John Bates,TE,Boise St.,College Stats,6-5,250,4.84,31.5,19,120,6.85,4.35,,-9999
Adam Bay,LS,Wisconsin,College Stats,5-11,240,5.27,26.0,14,100,7.65,4.56,,-9999
Tavante Beckett,LB,Marshall,College Stats,5-10,220,4.78,31.0,18,106,7.34,4.58,,BeckTa00
Chase Behrndt,OL,West Virginia,College Stats,6-3,324,5.55,24.5,25,101,8.21,4.93,,-9999
Shaun Beyer,TE,Iowa,College Stats,6-4,250,4.78,31.5,,119,,4.20,,BeyeSh00
Tarik Black,WR,Texas,College Stats,6-2,213,4.54,40.0,15,132,6.91,4.26,,BlacTa00
Josh Blancato,WR,Georgia Tech,College Stats,5-9,182,4.55,32.0,17,124,6.90,4.31,,-9999
Joshuah Bledsoe,S,Missouri,College Stats,,,,,,,,,New England Patriots / 6th / 188th pick / 2021,BledJo00
Quinton Bohanna,DL,Kentucky,College Stats,6-4,327,5.46,29.0,,99,8.21,5.15,,-9999
Nick Bolton,LB,Missouri,College Stats,5-11,237,4.60,32.0,24,,7.40,4.50,Kansas City Chiefs / 2nd / 58th pick / 2021,BoltNi00
Ian Book,QB,Notre Dame,College Stats,6-0,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021,BookIa00
Dicaprio Bootle,CB,Nebraska,College Stats,5-9,180,4.38,36.5,16,126,6.77,4.03,,BootDi00
Tuf Borland,LB,Ohio St.,College Stats,6-0,229,4.98,32.5,15,109,7.17,4.29,,BorlTu00
Larry Borom,OL,Missouri,College Stats,6-5,322,5.12,31.0,,,,,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
Rakeem Boyd,RB,Arkansas,College Stats,5-11,213,4.70,32.5,6,98,7.22,4.38,,BoydRa00
Michael Boykin,DL,Louisville,College Stats,6-5,291,4.88,32.0,24,110,7.69,4.58,,-9999
