Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Keith Adams,OLB,Clemson,College Stats,5-11,219,4.82,,24,104,,,Tennessee Titans / 7th / 232nd pick / 2001,AdamKe20
Hakim Akbar,S,Washington,College Stats,6-0,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001,AkbaHa20
Brian Allen,OLB,Florida State,College Stats,6-0,238,4.65,,25,,,,St. Louis Rams / 3rd / 83rd pick / 2001,AlleBr21
David Allen,RB,Kansas State,College Stats,5-9,194,4.62,31.0,15,111,,,,AlleDa00
Matt Allen,P,Troy,,6-3,246,,,,,,,,AlleMa20
Will Allen,CB,Syracuse,College Stats,5-10,192,4.44,39.5,14,121,6.78,3.90,New York Giants / 1st / 22nd pick / 2001,AlleWi20
Scotty Anderson,WR,Grambling State,,6-2,184,4.57,34.5,,115,,,Detroit Lions / 5th / 148th pick / 2001,AndeSc00
Adam Archuleta,S,Arizona State,College Stats,6-0,211,4.46,,31,,,,St. Louis Rams / 1st / 20th pick / 2001,ArchAd20
Tom Ashworth,OG,Colorado,College Stats,6-6,293,5.11,33.5,20,109,7.40,4.30,,AshwTo20
Billy Baber,TE,Virginia,College Stats,6-4,255,4.76,33.0,22,106,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001,BabeBi00
Jeff Backus,OT,Michigan,,6-5,310,5.37,27.0,25,99,8.27,4.67,Detroit Lions / 1st / 18th pick / 2001,BackJe20
Rodney Bailey,DE,Ohio State,,6-3,283,5.10,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001,BailRo21
Jason Baker,P,Iowa,College Stats,6-1,198,,,,,,,,BakeJa20
Alex Bannister,WR,East. Kentucky,,6-5,201,4.47,30.5,,110,,,Seattle Seahawks / 5th / 140th pick / 2001,BannAl00
Kevan Barlow,RB,Pittsburgh,College Stats,6-1,235,4.56,,,,,,San Francisco 49ers / 3rd / 80th pick / 2001,BarlKe00
Idrees Bashir,S,Memphis,College Stats,6-2,206,4.56,40.0,22,126,7.14,4.20,Indianapolis Colts / 2nd / 37th pick / 2001,BashId20
Gary Baxter,CB,Baylor,,6-2,204,4.53,37.5,,122,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001,BaxtGa20
Jonathan Beasley,QB,Kansas State,College Stats,6-0,227,4.85,29.5,,102,7.55,4.38,,-9999
Monty Beisel,DE,Kansas State,College Stats,6-4,270,4.83,34.5,25,110,7.32,4.28,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20
Kendrell Bell,ILB,Georgia,College Stats,6-1,234,4.64,38.5,24,124,7.25,4.50,Pittsburgh Steelers / 2nd / 39th pick / 2001,BellKe20
Marcus Bell,DT,Memphis,College Stats,6-1,319,5.32,,17,98,8.07,4.71,Arizona Cardinals / 4th / 123rd pick / 2001,BellMa20
Michael Bennett,RB,Wisconsin,College Stats,5-9,207,4.38,39.5,13,130,,,Minnesota Vikings / 1st / 27th pick / 2001,BennMi00
Eddie Berlin,WR,New Mexico,,5-11,191,4.43,39.5,,122,6.78,4.08,Tennessee Titans / 5th / 159th pick / 2001,BerlEd00
Cory Bird,S,Virginia Tech,College Stats,5-10,217,4.60,,22,,,,Indianapolis Colts / 3rd / 91st pick / 2001,BirdCo20
Darvell Bivens,FB,NW State (LA),,5-10,255,4.97,33.5,32,108,7.81,4.38,,-9999
Randy Black,S,UNLV,College Stats,6-0,205,4.74,35.5,,115,7.14,4.20,,-9999
Harold Blackmon,CB,Northwestern,College Stats,5-11,210,4.54,37.0,17,121,7.03,4.28,Seattle Seahawks / 7th / 210th pick / 2001,BlacHa20
Willie Blade,DT,Mississippi State,,6-3,316,4.93,,,,,,Dallas Cowboys / 3rd / 93rd pick / 2001,BladWi20
Al Blades,S,Miami (FL),College Stats,6-1,209,4.56,,,,,,,-9999
Derrick Blaylock,RB,Stephen F. Austin,,5-10,194,4.36,35.5,18,119,7.05,4.09,Kansas City Chiefs / 5th / 150th pick / 2001,BlayDe00
David Bobo,OG,TCU,,6-4,290,5.28,31.0,19,106,7.81,4.89,,-9999
Fred Booker,CB,LSU,College Stats,5-9,193,4.65,,,,,,,BookFr20
Josh Booty,QB,LSU,College Stats,6-2,221,4.90,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001,-9999
Jarvis Borum,OG,North Carolina State,,6-7,332,5.05,30.5,25,107,8.08,4.83,,BoruJa20
Kyle Vanden Bosch,DE,Nebraska,,6-4,270,4.75,36.5,26,119,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001,VandKy99
James Boyd,S,Penn State,College Stats,5-11,207,4.59,32.5,,117,7.29,4.24,Jacksonville Jaguars / 3rd / 94th pick / 2001,BoydJa20
Roylin Bradley,OLB,Texas A&M,,6-1,243,4.67,34.0,19,116,7.16,4.28,,-9999
Drew Brees,QB,Purdue,College Stats,6-0,213,4.83,32.0,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001,BreeDr00
Sean Brewer,TE,San Jose State,College Stats,6-4,255,4.73,36.0,14,117,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001,BrewSe20
Chris Brown,OT,Georgia Tech,College Stats,6-5,329,5.33,,30,,,,Tennessee Titans / 3rd / 93rd pick / 2003,BrowCh03
Corey Brown,WR,Tulsa,College Stats,6-0,202,4.63,39.5,,126,,,,BrowPh00
