Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Darrell Adams,DE,Villanova,,6-5,277,5.00,27.0,22,109,7.91,4.76,,-9999
Titus Adams,DT,Nebraska,College Stats,6-3,306,5.07,30.5,15,103,7.49,4.54,New York Jets / 7th / 220th pick / 2006,AdamTi00
Jahmile Addae,S,West Virginia,College Stats,5-10,214,4.70,38.5,,122,,,,-9999
Joseph Addai,RB,LSU,College Stats,5-11,214,4.40,38.5,18,125,7.09,4.47,Indianapolis Colts / 1st / 30th pick / 2006,AddaJo00
Victor Adeyanju,DE,Indiana,College Stats,6-4,274,4.86,32.0,22,112,7.37,4.41,St. Louis Rams / 4th / 113th pick / 2006,AdeyVi20
Jason Allen,S,Tennessee,College Stats,6-1,209,4.39,39.5,17,131,6.75,3.81,Miami Dolphins / 1st / 16th pick / 2006,AlleJa23
Jon Alston,OLB,Stanford,College Stats,6-1,223,4.50,40.0,30,132,6.90,4.13,St. Louis Rams / 3rd / 77th pick / 2006,AlstJo20
Sir Henry Anderson,DT,Oregon State,College Stats,6-4,306,5.19,28.5,27,100,7.69,4.55,,-9999
David Anderson,WR,Colorado State,College Stats,5-10,192,4.57,34.0,,116,6.88,4.20,Houston Texans / 7th / 251st pick / 2006,AndeDa01
James Anderson,OLB,Virginia Tech,College Stats,6-3,229,4.59,41.0,,121,6.67,4.07,Carolina Panthers / 3rd / 88th pick / 2006,AndeJa21
Mark Anderson,DE,Alabama,College Stats,6-4,254,4.62,42.0,20,127,6.95,4.22,Chicago Bears / 5th / 159th pick / 2006,AndeMa21
Willie Andrews,S,Baylor,College Stats,5-9,193,4.43,36.5,7,124,6.99,4.27,New England Patriots / 7th / 229th pick / 2006,AndrWi20
Devin Aromashodu,WR,Auburn,College Stats,6-2,201,4.35,39.0,,120,7.04,4.16,Miami Dolphins / 7th / 233rd pick / 2006,AromDe00
Miles Austin,WR,Monmouth (NJ),,6-2,215,4.47,40.5,21,123,7.09,4.14,,AustMi00
Jason Avant,WR,Michigan,College Stats,6-0,212,4.62,37.0,20,118,,,Philadelphia Eagles / 4th / 109th pick / 2006,AvanJa00
Brett Basanez,QB,Northwestern,College Stats,6-1,220,4.76,34.0,,114,6.75,4.22,,BasaBr00
Hank Baskett,WR,New Mexico,College Stats,6-3,224,4.50,35.0,,119,6.79,4.17,,BaskHa00
Danny Baugher,P,Arizona,College Stats,5-10,194,,,,,,,,-9999
Mike Bell,RB,Arizona,College Stats,6-0,221,4.60,31.5,19,112,7.16,4.21,,BellMi00
Charles Bennett,DE,Clemson,College Stats,6-4,258,4.70,33.5,19,115,7.48,4.52,Tampa Bay Buccaneers / 7th / 241st pick / 2006,BennCh21
Matt Bernstein,FB,Wisconsin,College Stats,6-0,260,4.91,29.5,22,110,7.46,4.50,,-9999
Antoine Bethea,S,Howard,,5-11,203,4.39,36.5,19,127,6.99,4.11,Indianapolis Colts / 6th / 207th pick / 2006,BethAn20
Troy Bienemann,TE,Washington State,College Stats,6-5,256,4.80,,,,,,,BienTr00
Damarius Bilbo,WR,Georgia Tech,College Stats,6-2,214,4.70,36.5,19,115,6.90,4.18,,-9999
Darnell Bing,S,USC,College Stats,6-2,227,4.53,34.0,17,120,7.25,4.07,Oakland Raiders / 4th / 101st pick / 2006,BingDa00
Will Blackmon,CB,Boston Col.,College Stats,6-0,198,4.47,41.0,,133,6.67,4.23,Green Bay Packers / 4th / 115th pick / 2006,BlacWi20
Jeremy Bloom,WR,Colorado,,5-9,173,4.49,,,,,,Philadelphia Eagles / 5th / 147th pick / 2006,-9999
Greg Blue,S,Georgia,College Stats,6-2,216,4.57,37.5,16,120,,,Minnesota Vikings / 5th / 149th pick / 2006,BlueGr20
Kevin Boothe,OT,Cornell,,6-5,316,5.41,31.5,23,98,8.36,5.07,Oakland Raiders / 6th / 176th pick / 2006,BootKe20
Jovon Bouknight,WR,Wyoming,College Stats,6-1,195,4.71,34.0,,120,6.93,4.03,,-9999
McKinley Boykin,DT,Mississippi,College Stats,6-1,289,5.01,30.5,30,109,,4.75,,BoykMc99
Trent Bray,ILB,Oregon State,College Stats,6-1,231,4.90,32.0,18,109,7.15,4.41,,-9999
Darrell Brooks,S,Arizona,College Stats,6-0,198,4.61,36.5,7,125,6.97,4.36,,-9999
Manaia Brown,DT,BYU,College Stats,6-3,301,5.10,34.5,21,111,7.63,4.47,,-9999
Copeland Bryan,DE,Arizona,College Stats,6-4,253,4.90,33.0,16,117,7.11,4.30,,BryaCo99
Daniel Bullocks,S,Nebraska,College Stats,6-0,212,4.38,38.0,18,124,6.91,4.16,Detroit Lions / 2nd / 40th pick / 2006,BullDa20
Brodrick Bunkley,DT,Florida State,College Stats,6-3,306,5.01,32.5,44,113,,,Philadelphia Eagles / 1st / 14th pick / 2006,BunkBr20
Reggie Bush,RB,USC,College Stats,5-11,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick / 2006,BushRe00
