Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Johnathan Abram,S,Mississippi State,College Stats,5-11,205,4.45,,,116,,,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01
Paul Adams,OT,Missouri,College Stats,6-6,317,5.18,27.0,16,103,7.68,4.74,,AdamPa01
Nasir Adderley,S,Delaware,,6-0,206,,,,,,,Los Angeles Chargers / 2nd / 60th pick / 2019,AddeNa00
Azeez Al-Shaair,LB,Florida Atlantic,College Stats,6-1,234,,,16,,,,,AlShAz00
Otaro Alaka,LB,Texas A&M,College Stats,6-3,239,4.82,36.0,20,131,,,,AlakOt01
Dakota Allen,LB,Texas Tech,College Stats,6-1,232,4.77,31.5,23,116,6.88,4.04,Los Angeles Rams / 7th / 251st pick / 2019,AlleDa01
Josh Allen,EDGE,Kentucky,College Stats,6-5,262,4.63,,28,118,7.15,4.23,Jacksonville Jaguars / 1st / 7th pick / 2019,AlleJo03
Zach Allen,DL,Boston Col.,College Stats,6-4,281,5.00,32.0,24,112,7.34,4.36,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01
Bryson Allen-Williams,LB,South Carolina,College Stats,6-1,236,4.88,,14,,7.40,,,AlleBr03
Jeff Allison,LB,Fresno State,College Stats,5-11,228,4.82,31.0,12,115,7.20,4.45,,AlliJe00
Ugo Amadi,S,Oregon,College Stats,5-9,199,4.51,32.5,18,115,7.21,4.19,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00
Rodney Anderson,RB,Oklahoma,College Stats,6-0,224,,,25,,,,Cincinnati Bengals / 6th / 211th pick / 2019,AndeRo02
J.J. Arcega-Whiteside,WR,Stanford,College Stats,6-2,225,,,,,,,Philadelphia Eagles / 2nd / 57th pick / 2019,ArceJJ00
Ryquell Armstead,RB,Temple,College Stats,5-11,220,4.45,30.0,22,114,7.02,4.29,Jacksonville Jaguars / 5th / 140th pick / 2019,ArmsRy00
Blessuan Austin,CB,Rutgers,College Stats,6-1,198,,,15,,,,New York Jets / 6th / 196th pick / 2019,AustBl00
Jake Bailey,P,Stanford,College Stats,6-1,200,4.72,33.0,,117,,,New England Patriots / 5th / 163rd pick / 2019,BailJa00
Zack Bailey,OL,South Carolina,College Stats,6-5,299,,28.0,24,103,,,,BailZa01
Derrick Baity,CB,Kentucky,College Stats,6-2,197,,38.5,10,127,7.06,4.31,,BaitDe01
Deandre Baker,CB,Georgia,College Stats,5-11,193,4.52,,14,118,,,New York Giants / 1st / 30th pick / 2019,BakeDe00
Corey Ballentine,CB,Washburn,,5-11,196,4.47,39.5,15,135,6.82,4.14,New York Giants / 6th / 180th pick / 2019,BallCo00
Ben Banogu,EDGE,TCU,College Stats,6-3,250,4.62,40.0,23,134,7.02,4.27,Indianapolis Colts / 2nd / 49th pick / 2019,BanoBe00
Alex Barnes,RB,Kansas State,College Stats,6-0,226,4.59,38.5,34,126,6.95,4.10,,BarnAl01
Alex Bars,OL,Notre Dame,College Stats,6-6,312,,,,,,,,BarsAl01
Cody Barton,LB,Utah,College Stats,6-2,237,4.64,32.5,30,116,6.90,4.03,Seattle Seahawks / 3rd / 88th pick / 2019,BartCo00
Jackson Barton,OT,Utah,College Stats,6-7,310,5.18,27.0,25,109,7.85,4.66,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00
Ryan Bates,OL,Penn State,College Stats,6-4,306,5.09,27.0,28,102,7.45,4.53,,BateRy02
John Battle,S,LSU,College Stats,6-0,201,4.67,29.5,,120,7.09,4.33,,BattJo01
Terry Beckner,DL,Missouri,College Stats,6-4,296,5.19,24.5,28,98,7.97,4.82,Tampa Bay Buccaneers / 7th / 215th pick / 2019,BeckTe00
Mike Bell,S,Fresno State,College Stats,6-3,210,4.83,30.0,10,118,7.10,4.46,,BellMi01
Beau Benzschawel,OL,Wisconsin,College Stats,6-6,309,5.24,,20,,,,,BenzBe01
Marquise Blair,S,Utah,College Stats,6-1,195,4.48,35.0,,125,,,Seattle Seahawks / 2nd / 47th pick / 2019,BlaiMa01
Kendall Blanton,TE,Missouri,College Stats,6-6,262,4.95,31.0,22,113,7.37,4.42,,BlanKe01
Nick Bosa,DL,Ohio State,College Stats,6-4,266,4.79,33.5,29,116,7.10,4.14,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00
Kris Boyd,CB,Texas,College Stats,5-11,201,4.45,36.5,19,127,6.94,4.08,Minnesota Vikings / 7th / 217th pick / 2019,BoydKr00
Miles Boykin,WR,Notre Dame,College Stats,6-4,220,4.42,43.5,12,140,6.77,4.07,Baltimore Ravens / 3rd / 93rd pick / 2019,BoykMi00
Garrett Bradbury,OL,North Carolina State,College Stats,6-3,306,4.92,31.0,34,104,7.41,4.53,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
Tyre Brady,WR,Marshall,College Stats,6-3,211,,32.0,12,117,,4.25,,BradTy00
Jordan Brailford,EDGE,Oklahoma State,College Stats,6-3,252,4.65,37.5,22,126,,,Washington Redskins / 7th / 253rd pick / 2019,BraiJo00
