player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Aaron Taylor,11558,G,GB,1,100.0,0,12,62.4,85.5,55.5,0,0,34,100.0,100.0,100.0,0,0,0,70,0,70,0,70,36,36,0,0,34,0
Earl Dotson,11593,T,GB,1,100.0,0,12,55.9,77.8,43.2,0,0,34,100.0,100.0,97.1,0,1,1,70,0,0,0,70,36,36,0,70,34,0
Frank Winters,11525,C,GB,1,100.0,0,12,59.0,87.1,53.3,0,0,34,100.0,100.0,100.0,0,0,0,70,70,0,0,70,36,36,0,0,34,0
Bruce Wilkerson,11592,T,GB,1,100.0,0,12,61.9,64.5,65.3,0,0,34,100.0,100.0,100.0,1,0,0,70,0,0,70,70,36,36,0,0,34,0
Adam Timmerman,144,G,GB,1,100.0,0,12,44.6,27.0,50.0,0,2,34,100.0,100.0,94.1,0,3,1,70,0,0,0,70,36,36,70,0,34,0
Max Lane,11591,T,NE,1,100.0,0,19,37.7,25.7,54.4,1,8,54,100.0,100.0,86.1,0,12,3,67,0,0,0,67,55,55,0,67,12,0
Bruce Armstrong,11594,T,NE,1,100.0,0,19,71.0,74.6,61.2,1,1,54,100.0,100.0,98.1,0,2,0,67,0,0,67,67,55,55,0,0,12,0
Dave Wohlabaugh,11524,C,NE,1,100.0,0,19,51.6,56.1,46.2,0,1,54,100.0,100.0,97.2,0,2,1,67,67,0,0,67,55,55,0,0,12,0
Todd Rucci,11554,G,NE,1,100.0,0,19,49.5,49.3,46.4,0,4,54,100.0,100.0,94.4,0,5,1,67,0,0,0,67,55,55,67,0,12,0
William Roberts,11555,G,NE,1,100.0,0,19,45.6,33.4,51.9,0,4,39,100.0,100.0,94.9,0,4,0,48,0,48,0,48,39,39,0,0,9,0
Mark Chmura,11599,TE,GB,1,70.2,0,12,66.6,75.7,62.8,0,0,5,27.8,30.0,100.0,0,0,0,33,0,0,0,47,6,20,0,0,27,40
Brett Favre,14,QB,GB,1,45.7,0,12,68.9,,60.0,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,70,0,36,0,0,32,0
Antonio Freeman,11605,WR,GB,1,46.9,0,12,71.1,,71.1,0,0,0,0.0,0.0,,0,0,0,30,0,0,0,64,0,34,0,0,30,0
Andre Rison,11607,WR,GB,1,45.2,0,12,69.6,,59.8,0,0,0,0.0,0.0,,0,0,0,28,0,0,0,62,0,34,0,0,28,0
William Henderson,134,HB,GB,1,67.6,0,12,47.7,79.7,41.5,0,0,3,23.1,23.1,100.0,0,0,0,23,0,0,0,34,3,13,0,0,20,0
Ben Coates,11598,TE,NE,1,36.8,0,19,84.2,77.5,79.3,0,0,9,20.5,20.0,100.0,0,0,0,21,0,0,0,57,9,45,0,0,12,33
Bob Kratch,11556,G,NE,1,100.0,1,19,54.9,83.6,45.8,0,0,15,100.0,100.0,100.0,1,0,0,19,0,19,0,19,16,16,0,0,3,0
Keith Byars,11559,HB,NE,1,33.3,0,19,65.7,65.8,55.1,0,0,5,15.2,15.2,100.0,0,0,0,14,0,0,0,42,5,33,0,0,9,6
Terry Glenn,156,WR,NE,1,18.5,0,19,61.4,,58.8,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,65,0,53,0,0,12,0
Drew Bledsoe,36,QB,NE,1,17.9,0,19,48.6,,60.0,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,67,0,55,0,0,12,0
Shawn Jefferson,11608,WR,NE,1,17.5,0,19,55.3,,60.7,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,63,0,52,0,0,11,0
Keith Jackson,11600,TE,GB,1,42.3,0,12,66.9,71.9,71.3,0,0,2,12.5,16.7,100.0,0,0,0,11,0,0,0,26,3,18,0,0,8,24
Don Beebe,11611,WR,GB,1,50.0,0,12,51.9,,54.2,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,20,0,10,0,0,10,0
Terry Mickens,11606,WR,GB,1,50.0,0,12,55.6,,60.8,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,14,0,7,0,0,7,1
Edgar Bennett,11580,HB,GB,1,14.3,0,12,55.9,71.7,63.1,0,0,1,4.0,7.4,100.0,0,0,0,7,0,0,0,49,2,27,0,0,5,2
Curtis Martin,135,HB,NE,1,12.8,0,19,65.8,61.8,,0,0,5,17.9,17.9,100.0,0,0,0,5,0,0,0,39,5,28,0,0,0,0
Jeff Thomason,11597,TE,GB,1,100.0,0,12,60.7,66.4,59.9,0,0,1,100.0,100.0,100.0,0,0,0,4,0,0,0,4,1,1,0,0,3,4
John Burke,11596,TE,NE,1,80.0,0,19,59.9,74.9,59.7,0,0,2,66.7,66.7,100.0,0,0,0,4,0,0,0,5,2,3,0,0,2,4
Dorsey Levens,11577,HB,GB,1,10.0,0,12,56.2,75.5,,0,0,3,20.0,18.8,100.0,0,0,0,3,0,0,0,30,3,16,0,0,0,1
David Meggett,11579,HB,NE,1,10.7,0,19,47.6,23.9,,0,0,3,11.5,11.1,66.7,0,1,1,3,0,0,0,28,3,27,0,0,0,0
Vincent Brisby,11610,WR,NE,1,8.3,0,19,54.4,,60.2,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,24,0,22,0,0,2,0
