player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Russ Hochstein,890,G,NE,1,100.0,0,19,50.0,45.0,51.5,2,3,49,100.0,100.0,94.9,0,5,0,89,0,89,0,89,53,53,0,0,36,0
Dan Koppen,1471,C,NE,1,100.0,0,19,63.9,67.2,61.8,1,2,49,100.0,100.0,96.9,0,3,0,89,89,0,0,89,53,53,0,0,36,0
Joe Andruzzi,296,G,NE,1,100.0,0,19,92.3,67.1,92.5,0,2,49,100.0,100.0,98.0,1,2,0,89,0,0,0,89,53,53,89,0,36,0
Matt Light,818,T,NE,1,100.0,0,19,67.4,70.2,61.6,1,3,49,100.0,100.0,95.9,0,4,0,89,0,0,89,89,53,53,0,0,36,0
Tom Ashworth,938,T,NE,1,100.0,0,19,67.6,40.7,84.2,2,5,49,100.0,100.0,92.9,1,7,0,89,0,0,0,89,53,53,0,89,36,0
Jeff Mitchell,276,C,CAR,1,100.0,0,5,64.6,88.1,56.6,0,0,37,100.0,100.0,100.0,0,0,0,59,59,0,0,59,41,41,0,0,18,0
Todd Steussie,78,T,CAR,1,100.0,0,5,68.8,79.7,55.3,0,1,37,100.0,100.0,95.9,0,2,1,59,0,0,59,59,41,41,0,0,18,0
Jeno James,689,G,CAR,1,100.0,0,5,59.5,66.3,54.8,0,1,37,100.0,100.0,95.9,1,2,1,59,0,59,0,59,41,41,0,0,18,0
Kevin Donnalley,11618,G,CAR,1,100.0,0,5,61.7,77.1,61.8,0,1,37,100.0,100.0,98.6,1,1,0,59,0,0,0,59,41,41,59,0,18,0
Jordan Gross,1324,T,CAR,1,100.0,0,5,52.2,51.3,49.9,1,5,37,100.0,100.0,91.9,1,6,0,59,0,0,0,59,41,41,0,59,18,0
Tom Brady,698,QB,NE,1,39.3,0,19,72.7,,60.0,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,89,0,53,0,0,35,0
Christian Fauria,130,TE,NE,1,72.3,0,19,37.3,64.2,48.0,1,0,8,40.0,38.1,93.7,0,1,0,34,0,0,0,47,8,21,0,0,26,46
Daniel Graham,1028,TE,NE,1,47.6,0,19,57.7,71.8,49.3,0,0,4,11.8,10.8,100.0,0,0,0,30,0,0,0,63,4,37,0,0,26,51
Troy Brown,56,WR,NE,1,33.8,0,19,70.0,,60.5,0,0,0,0.0,0.0,,1,0,0,24,0,0,0,71,0,46,0,0,24,0
Deion Branch,1072,WR,NE,1,32.4,0,19,82.4,,59.2,0,0,0,0.0,0.0,,0,0,0,24,0,0,0,74,0,50,0,0,24,0
Kris Mangum,292,TE,CAR,1,47.5,0,5,40.1,58.0,39.6,0,0,8,28.6,32.3,100.0,0,0,0,19,0,0,0,40,10,31,0,0,9,17
David Givens,1210,WR,NE,1,31.7,0,19,64.6,,59.1,0,0,0,0.0,0.0,,0,0,0,19,0,0,0,60,0,41,0,0,19,0
Muhsin Muhammad,173,WR,CAR,1,30.5,0,5,72.8,,70.8,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,59,0,41,0,0,18,0
Jake Delhomme,303,QB,CAR,1,30.5,0,5,75.7,,60.0,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,59,0,41,0,0,18,0
Steve Smith,837,WR,CAR,1,29.3,0,5,77.2,,61.4,0,0,0,0.0,0.0,,0,0,0,17,0,0,0,58,0,41,0,0,17,0
Larry Centers,11676,FB,NE,1,61.5,0,19,64.1,77.3,66.0,0,0,2,16.7,16.7,100.0,0,0,0,16,0,0,0,26,2,12,0,0,14,4
Brad Hoover,740,FB,CAR,1,84.6,0,5,50.9,41.3,53.7,0,0,2,50.0,50.0,100.0,0,0,0,11,0,0,0,13,2,4,0,0,9,1
Kevin Faulk,470,HB,NE,1,28.2,0,19,66.2,53.0,60.0,0,0,9,33.3,33.3,100.0,0,0,0,11,0,0,0,39,10,30,0,0,1,0
Jermaine Wiggins,576,TE,CAR,1,58.8,0,5,62.7,,46.8,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,17,0,7,0,0,10,11
Ricky Proehl,11,WR,CAR,1,19.5,0,5,72.5,,53.8,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,41,0,33,0,0,8,0
Antowain Smith,241,HB,NE,1,17.0,0,19,44.8,81.7,60.0,0,0,6,31.6,35.0,100.0,0,0,0,8,0,0,0,47,7,20,0,0,1,0
Nick Goings,956,FB,CAR,1,50.0,0,5,55.3,49.2,60.0,0,0,5,41.7,46.2,100.0,0,0,0,7,0,0,0,14,6,13,0,0,1,2
Stephen Davis,192,HB,CAR,1,18.2,0,5,55.6,65.6,,0,0,4,25.0,33.3,75.0,0,1,1,6,0,0,0,33,6,18,0,0,0,1
Mike Vrabel,268,ED,NE,1,83.3,0,19,87.4,,59.7,0,0,0,0.0,0.0,,1,0,0,5,0,0,0,6,0,1,0,0,5,6
Richard Seymour,778,DI,NE,1,80.0,0,19,55.8,,56.2,0,0,0,0.0,0.0,,0,0,0,4,0,0,0,5,0,1,0,0,4,0
DeShaun Foster,1041,HB,CAR,1,11.1,0,5,68.3,71.7,,0,0,2,14.3,13.3,100.0,0,0,0,2,0,0,0,18,2,15,0,0,0,0
Bethel Johnson,1361,WR,NE,1,16.7,0,19,54.4,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,6,0,5,0,0,1,0
