player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Aaron Taylor,11558,1,100.0,0,12,62.4,85.5,55.5,0,0,34,100.0,100.0,100.0,0,0,0,70,0,70,0,70,36,36,0,0,34,0
Adam Timmerman,144,1,100.0,0,12,44.6,27.0,50.0,0,2,34,100.0,100.0,94.1,0,3,1,70,0,0,0,70,36,36,70,0,34,0
Todd Rucci,11554,1,100.0,0,19,49.5,49.3,46.4,0,4,54,100.0,100.0,94.4,0,5,1,67,0,0,0,67,55,55,67,0,12,0
William Roberts,11555,1,100.0,0,19,45.6,33.4,51.9,0,4,39,100.0,100.0,94.9,0,4,0,48,0,48,0,48,39,39,0,0,9,0
Bob Kratch,11556,1,100.0,1,19,54.9,83.6,45.8,0,0,15,100.0,100.0,100.0,1,0,0,19,0,19,0,19,16,16,0,0,3,0
Dan Neil,11622,1,100.0,0,10,76.8,60.0,76.1,0,2,29,100.0,100.0,96.6,1,2,0,67,0,0,0,67,30,30,67,0,37,0
Mark Schlereth,11619,1,100.0,0,10,67.0,80.8,61.5,1,0,29,100.0,100.0,98.3,0,1,0,67,0,67,0,67,30,30,0,0,37,0
Gene Williams,11620,1,100.0,0,2,64.4,55.0,66.1,1,3,40,100.0,100.0,95.0,0,4,0,62,0,0,0,62,42,42,62,0,20,0
Calvin Collins,11623,1,100.0,0,2,65.3,74.1,59.4,1,0,40,100.0,100.0,98.7,0,1,0,62,0,62,0,62,42,42,0,0,20,0
Tom Nutten,143,1,100.0,0,26,72.7,77.9,67.3,0,1,47,100.0,100.0,98.9,0,1,0,73,0,73,0,73,51,51,0,0,22,0
Adam Timmerman,144,1,100.0,0,26,67.3,69.5,63.4,0,0,47,100.0,100.0,97.9,0,1,1,73,0,0,0,73,51,51,73,0,22,0
Mike Compton,43,1,100.0,0,19,69.9,67.8,68.3,0,0,28,100.0,100.0,100.0,1,0,0,56,13,43,0,56,32,32,0,0,24,0
Joe Andruzzi,296,1,100.0,0,19,76.6,74.5,73.1,0,0,28,100.0,100.0,96.4,0,1,1,56,0,0,0,56,32,32,56,0,24,0
Cosey Coleman,620,1,100.0,0,30,50.5,25.1,56.5,2,1,35,100.0,100.0,95.7,0,3,0,82,0,0,0,82,37,37,82,0,45,0
Kerry Jenkins,136200,1,100.0,0,30,43.8,58.0,42.8,1,0,35,100.0,100.0,98.6,0,1,0,82,0,82,0,82,37,37,0,0,45,0
Frank Middleton,259,1,100.0,0,23,63.8,87.5,43.4,0,0,51,100.0,100.0,100.0,0,0,0,65,0,65,0,65,56,56,0,0,9,0
Mo Collins,136195,1,100.0,0,23,59.6,65.9,52.9,0,3,51,100.0,100.0,97.1,0,3,0,65,0,0,0,65,56,56,65,0,9,0
Russ Hochstein,890,1,100.0,0,19,50.0,45.0,51.5,2,3,49,100.0,100.0,94.9,0,5,0,89,0,89,0,89,53,53,0,0,36,0
Joe Andruzzi,296,1,100.0,0,19,92.3,67.1,92.5,0,2,49,100.0,100.0,98.0,1,2,0,89,0,0,0,89,53,53,89,0,36,0
Jeno James,689,1,100.0,0,5,59.5,66.3,54.8,0,1,37,100.0,100.0,95.9,1,2,1,59,0,59,0,59,41,41,0,0,18,0
Kevin Donnalley,11618,1,100.0,0,5,61.7,77.1,61.8,0,1,37,100.0,100.0,98.6,1,1,0,59,0,0,0,59,41,41,59,0,18,0
Artis Hicks,1254,1,100.0,0,24,54.8,70.3,45.6,0,3,55,100.0,100.0,95.5,0,4,1,73,0,73,0,73,56,56,0,0,17,0
Jermane Mayberry,166,1,100.0,0,24,70.8,73.8,66.1,1,2,55,100.0,100.0,97.3,0,3,0,73,0,0,0,73,56,56,73,0,17,0
Stephen Neal,972,1,100.0,0,19,65.2,70.7,61.1,0,2,35,100.0,100.0,97.1,0,2,0,63,0,0,0,63,35,35,63,0,28,0
Joe Andruzzi,296,1,100.0,0,19,66.9,88.1,59.2,0,0,35,100.0,100.0,100.0,0,0,0,63,0,63,0,63,35,35,0,0,28,0
Russ Hochstein,890,1,100.0,0,19,73.0,,69.2,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,5
Jake Scott,1862,20,100.0,0,14,76.6,85.7,71.7,4,17,733,100.0,100.0,98.4,9,22,1,1357,0,0,0,1357,768,768,1353,4,589,0
Logan Mankins,2249,19,100.0,0,19,86.8,91.3,79.7,3,16,691,100.0,100.0,98.5,9,20,1,1303,0,1302,1,1303,726,726,0,0,577,0
Roberto Garza,856,19,100.0,1,6,65.4,69.0,64.1,4,23,634,100.0,100.0,97.4,6,30,3,1288,11,0,0,1288,665,665,1277,0,623,0
Jahri Evans,3053,18,100.0,1,20,86.5,81.9,83.8,4,15,695,100.0,100.0,98.5,6,20,1,1240,0,0,0,1240,723,723,1240,0,517,0
Jamar Nesbit,564,18,100.0,0,20,78.3,83.1,72.3,1,20,681,100.0,100.0,98.3,3,22,1,1219,0,1219,0,1219,708,708,0,0,511,0
Ruben Brown,120,19,100.0,1,6,66.9,72.3,63.4,3,22,598,100.0,100.0,97.4,6,28,3,1185,0,1185,0,1185,626,626,0,0,559,0
Todd Herremans,2343,18,100.0,1,24,78.9,71.8,78.5,7,31,670,100.0,100.0,96.9,3,40,2,1127,0,1073,54,1127,696,696,0,0,431,0
Marco Rivera,207,17,100.0,1,9,76.1,73.6,74.8,2,21,594,100.0,100.0,97.6,8,26,3,1122,0,0,0,1122,642,642,1122,0,480,0
Kyle Kosier,1208,17,100.0,0,9,80.0,77.0,78.7,5,19,594,100.0,100.0,97.3,6,28,4,1122,0,1122,0,1122,642,642,0,0,480,0
Brandon Moore,1284,17,100.0,0,22,68.9,82.2,64.7,1,14,585,99.8,99.8,98.5,9,16,1,1116,0,0,0,1116,625,626,1116,0,491,0
David Diehl,1468,17,100.0,0,21,65.5,66.8,67.8,2,31,579,100.0,100.0,96.3,8,38,5,1113,0,970,114,1113,613,613,0,29,500,0
Shawn Andrews,1737,18,100.0,1,24,93.4,90.3,91.9,3,16,656,100.0,100.0,98.6,5,19,0,1105,0,0,0,1105,680,680,1051,54,425,0
Chris Gray,52,17,100.0,1,29,69.0,66.4,69.7,3,29,608,100.0,100.0,96.7,6,36,4,1104,0,0,0,1104,639,639,1104,0,465,0
Mike Goff,375,17,100.0,0,27,87.7,84.4,82.2,1,15,540,100.0,100.0,98.5,2,16,0,1102,0,0,0,1102,558,558,1102,0,544,0
Stephen Neal,972,16,100.0,0,19,85.8,83.4,80.4,1,19,570,100.0,100.0,98.1,2,21,1,1097,0,1,0,1097,594,594,1096,0,503,0
Chris Snee,1755,17,100.0,1,21,80.7,78.7,78.4,2,22,557,100.0,100.0,97.7,6,25,1,1072,0,0,0,1072,590,590,1072,0,482,0
L.J. Shelton,455,16,100.0,1,17,74.3,78.0,68.7,5,19,637,100.0,100.0,97.8,6,26,2,1069,0,0,317,1069,669,669,751,0,400,1
Steve Hutchinson,787,16,100.0,0,18,83.1,78.7,78.7,6,10,607,100.0,100.0,98.2,0,19,3,1066,0,1066,0,1066,644,644,0,0,422,0
Alan Faneca,346,16,100.0,1,25,78.2,78.7,75.7,1,20,585,100.0,100.0,97.7,4,24,3,1064,0,1064,0,1064,609,609,0,0,455,0
Will Shields,45,17,100.0,0,16,84.1,84.0,77.4,2,10,531,100.0,100.0,98.1,0,16,4,1062,0,0,0,1062,551,551,1062,0,511,0
Daryn Colledge,2992,15,100.0,0,12,67.5,79.1,62.8,3,14,625,100.0,100.0,98.3,6,19,2,1058,0,985,73,1058,653,653,0,0,405,0
Kris Dielman,1599,16,100.0,0,27,75.9,89.9,68.4,3,6,505,100.0,100.0,98.9,5,10,1,1030,0,1030,0,1030,520,520,0,0,510,0
Todd Steussie,78,15,100.0,0,26,67.7,72.3,65.5,2,29,597,100.0,100.0,96.6,8,36,5,1024,0,489,534,1024,637,637,0,0,387,1
Eric Steinbach,1349,16,100.0,0,7,76.7,81.7,71.4,5,13,562,100.0,100.0,98.0,4,20,2,1022,21,921,80,1022,591,591,0,0,431,0
Randy Thomas,475,16,100.0,0,32,77.4,90.4,68.4,2,12,509,100.0,100.0,98.4,3,15,1,1020,0,0,0,1020,540,540,1020,0,480,0
Derrick Dockery,1396,16,100.0,0,32,75.4,85.4,70.9,1,15,509,100.0,100.0,98.2,6,17,1,1020,3,1015,1,1020,540,540,1,0,480,0
Chris Naeole,235,16,100.0,0,15,80.8,90.0,72.3,4,8,510,100.0,100.0,98.6,4,13,1,1016,0,0,0,1016,531,531,1016,0,485,0
Ben Hamilton,864,16,100.0,1,10,74.8,79.0,69.7,3,7,497,100.0,100.0,98.6,6,12,2,1002,0,1002,0,1002,520,520,0,0,482,0
Cooper Carlisle,658,16,100.0,0,10,71.5,82.5,65.1,3,12,497,100.0,100.0,98.1,1,17,2,1002,0,0,0,1002,520,520,1002,0,482,0
Vince Manuwai,1387,16,100.0,0,15,80.6,72.1,78.7,5,21,499,100.0,100.0,96.8,2,29,3,1000,0,1000,0,1000,519,519,0,0,481,0
Chester Pitts,1057,16,100.0,0,13,84.6,84.4,80.2,2,8,547,100.0,100.0,98.4,5,14,4,984,0,984,0,984,576,576,0,0,408,0
Justin Smiley,1767,16,100.0,0,28,67.6,74.8,61.4,2,22,499,100.0,100.0,97.6,3,24,0,946,0,0,0,946,529,529,946,0,417,0
Pete Kendall,163,15,100.0,0,22,75.5,71.5,73.9,1,18,490,99.8,99.8,97.7,4,21,2,937,0,937,0,937,523,524,0,0,414,0
Jason Spitz,3020,14,100.0,0,12,58.0,63.4,54.6,5,19,535,100.0,100.0,97.6,3,25,1,931,2,125,0,931,562,562,804,0,369,0
Evan Mathis,2296,15,100.0,0,5,71.7,72.7,72.4,3,20,513,100.0,100.0,97.4,3,25,2,928,0,0,0,928,532,532,928,0,396,0
Mike Gandy,834,16,100.0,1,4,65.7,74.6,56.2,0,17,493,100.0,100.0,96.2,4,27,10,928,0,507,415,928,512,512,0,6,416,0
Jacob Bell,1859,15,100.0,1,31,61.6,75.5,56.4,2,16,480,100.0,100.0,97.5,4,21,3,922,0,785,0,922,504,504,3,134,418,0
Brian Waters,575,15,100.0,1,16,72.5,91.1,65.0,1,2,456,100.0,100.0,99.2,5,5,2,910,0,910,0,910,473,473,0,0,437,0
Benji Olson,397,15,100.0,2,31,70.8,75.7,66.9,2,17,478,100.0,100.0,97.4,5,22,3,907,0,0,0,907,504,504,907,0,403,0
Kendall Simmons,1037,14,100.0,1,25,62.0,81.5,53.6,2,20,500,100.0,100.0,97.2,5,25,3,893,0,0,0,893,522,522,893,0,371,0
Kevin Boothe,3121,16,100.0,0,23,73.3,64.0,72.4,6,23,504,100.0,100.0,96.3,0,33,4,873,0,0,0,873,534,534,873,0,339,0
Artis Hicks,1254,14,100.0,3,18,57.1,60.9,54.5,4,22,475,100.0,100.0,96.0,8,32,6,841,0,0,0,841,506,506,841,0,335,0
Keydrick Vincent,998,13,100.0,1,3,68.0,84.7,58.0,1,15,447,100.0,100.0,97.8,2,18,2,838,0,0,0,838,468,468,838,0,370,0
Jason Brown,2341,15,100.0,0,3,64.4,89.7,62.1,1,9,443,100.0,100.0,98.6,9,11,1,837,11,826,0,837,470,470,0,0,367,0
Cosey Coleman,620,15,100.0,0,8,66.3,69.7,60.7,2,18,516,100.0,100.0,97.3,4,24,4,830,0,0,0,830,546,546,830,0,284,0
Bobbie Williams,628,13,100.0,1,7,63.3,66.3,65.7,2,24,468,100.0,100.0,96.2,4,31,5,829,0,0,0,829,494,494,829,0,335,0
Dylan Gandy,2346,15,100.0,0,14,70.5,66.3,67.9,3,26,437,100.0,100.0,96.2,0,31,2,797,0,793,0,797,458,458,4,0,339,0
Mike Wahle,329,13,100.0,2,5,73.2,78.4,67.3,1,13,473,100.0,100.0,98.1,4,16,2,795,0,790,4,795,490,490,0,0,305,1
Milford Brown,1222,13,100.0,0,1,59.0,59.1,58.9,8,20,448,99.8,99.8,96.2,1,31,3,793,0,480,0,793,478,479,313,0,315,0
Adam Timmerman,144,14,100.0,0,26,68.2,79.8,66.1,0,11,473,100.0,100.0,98.2,5,14,3,785,1,0,0,785,499,499,784,0,286,0
Sean Mahan,1474,14,100.0,0,30,56.3,67.4,49.8,5,16,491,100.0,100.0,97.7,6,22,1,783,0,589,0,783,509,509,191,0,274,0
Davin Joseph,2968,13,100.0,0,30,63.1,72.9,57.0,3,21,447,100.0,100.0,97.1,1,25,1,760,0,0,0,760,464,464,760,0,296,0
Joe Andruzzi,296,14,100.0,0,8,64.9,74.5,57.5,3,8,467,100.0,100.0,98.0,4,15,4,744,0,744,0,744,493,493,0,0,251,0
Fred Weary,1073,14,100.0,1,13,75.4,75.1,72.9,1,13,405,100.0,100.0,97.8,5,16,2,723,0,4,0,723,426,426,719,0,297,0
Matt Lehr,880,11,100.0,1,2,60.1,65.2,57.2,1,19,344,99.1,99.2,95.9,1,24,4,703,0,703,0,703,361,364,0,0,342,0
Tony Moll,3110,12,100.0,0,12,60.9,66.7,60.6,1,20,403,100.0,100.0,96.2,4,26,5,654,0,0,0,654,417,417,307,346,237,1
Tyson Clabo,2011,10,100.0,0,2,78.5,82.1,77.5,1,10,331,100.3,100.3,97.7,3,13,2,645,0,73,0,645,349,348,572,0,296,0
Kendyl Jacox,427,11,100.0,1,17,65.1,69.4,64.0,1,13,364,100.0,100.0,97.3,5,17,3,627,17,490,0,627,381,381,120,0,246,0
Larry Allen,84,11,100.0,0,28,79.7,84.4,75.3,0,5,300,100.0,100.0,98.2,1,8,3,586,0,586,0,586,313,313,0,0,273,0
Deuce Lutui,2986,10,100.0,0,1,57.8,70.4,53.8,4,12,331,100.0,100.0,97.3,2,17,1,584,0,0,0,584,353,353,584,0,231,0
Jeno James,689,9,100.0,0,17,63.6,81.4,52.3,1,8,351,100.0,100.0,98.4,3,10,1,565,0,565,0,565,369,369,0,0,196,0
Ryan Lilja,2105,11,100.0,1,14,71.0,72.2,69.0,1,13,297,100.0,100.0,96.6,3,17,3,564,0,564,0,564,312,312,0,0,252,0
Duke Preston,2339,13,100.0,0,4,55.8,71.1,50.5,4,6,308,100.0,100.0,98.1,1,11,1,554,19,0,0,554,320,320,535,0,234,0
Floyd Womack,875,9,100.0,0,29,57.4,64.9,53.0,1,8,260,100.0,100.0,97.5,0,11,2,526,0,450,1,526,273,273,75,0,253,0
Rick DeMulling,927,11,100.0,0,11,71.8,73.5,70.5,1,8,334,100.0,100.0,97.5,3,13,4,503,0,493,0,503,349,349,8,0,154,2
Rob Sims,3073,12,100.0,0,29,63.5,81.8,56.0,1,8,239,100.0,100.0,97.7,1,10,1,478,0,436,0,478,253,253,40,0,225,2
Mark Setterstrom,3187,7,100.0,0,26,68.5,87.7,62.3,1,4,247,100.0,100.0,98.6,2,6,1,448,0,439,0,448,266,266,9,0,182,0
Barry Sims,322,8,100.0,0,23,67.2,86.4,57.9,0,2,224,100.0,100.0,98.7,3,4,2,421,0,420,0,421,237,237,1,0,184,0
Kynan Forney,926,7,100.0,0,2,86.6,76.2,87.0,0,7,223,98.7,98.7,98.4,3,7,0,414,0,0,0,414,230,233,414,0,184,0
Dan Buenning,2324,8,100.0,0,30,46.9,45.9,51.7,2,14,223,100.0,100.0,96.0,2,17,1,410,0,410,0,410,238,238,0,0,172,0
Tony Wragge,1315,8,100.0,0,28,70.4,82.5,67.6,2,6,210,100.0,100.0,97.6,3,9,1,397,178,218,0,397,219,219,0,0,178,1
Steve McKinney,381,12,100.0,0,13,70.3,85.2,62.8,0,7,197,100.0,100.0,97.7,0,8,1,395,126,0,0,395,207,207,269,0,188,0
Chris Villarrial,202,8,100.0,0,4,64.9,71.0,59.5,1,3,193,100.0,100.0,96.4,0,9,5,383,0,0,0,383,200,200,383,0,183,0
Chris Liwienski,414,6,100.0,0,1,54.4,60.2,53.0,3,11,217,100.0,100.0,96.3,4,15,1,371,0,160,0,371,224,224,139,72,147,0
Tutan Reyes,668,6,100.0,0,4,60.8,59.1,59.0,0,14,199,100.0,100.0,95.0,1,17,3,367,0,367,0,367,206,206,0,0,161,0
Paul McQuistan,3014,11,99.7,2,23,47.0,57.6,45.6,0,7,226,99.6,99.6,97.6,4,9,2,364,0,242,0,365,236,237,113,0,128,10
Rich Seubert,986,14,99.4,0,21,80.4,76.7,77.2,1,2,131,98.5,98.6,98.9,2,3,0,331,77,90,0,333,140,142,41,0,191,119
Corey Hulsey,555,5,100.0,1,23,80.1,67.2,81.1,2,11,195,100.0,100.0,95.6,1,15,2,329,0,329,0,329,209,209,0,0,120,0
Ross Verba,2892,7,100.0,0,11,63.0,77.9,62.6,1,5,213,100.0,100.0,97.7,5,8,2,322,0,322,0,322,226,226,0,0,96,0
Lennie Friedman,477,14,99.7,0,8,58.7,75.1,49.7,5,2,182,100.0,99.5,98.1,1,7,0,312,0,163,0,313,192,193,146,0,120,3
Adam Goldberg,1612,9,100.0,1,26,64.7,70.8,61.8,3,7,202,100.0,100.0,95.5,4,14,4,311,0,105,109,311,221,221,97,0,90,0
Chris Chester,3001,6,100.0,0,3,62.4,83.3,59.7,0,4,144,100.0,100.0,98.6,3,4,0,284,0,16,0,284,157,157,268,0,127,0
Blane Saipaia,761,6,100.0,0,11,64.8,52.4,71.2,2,10,187,100.0,100.0,96.3,2,13,1,280,0,0,0,280,195,195,279,0,85,1
Damien Woody,451,5,100.0,0,11,73.1,84.7,62.6,2,2,166,100.0,100.0,98.2,0,5,1,261,0,0,0,261,178,178,261,0,83,0
P.J. Alexander,2912,4,100.0,0,2,42.4,49.7,45.3,3,7,155,100.0,100.0,96.1,3,11,1,258,0,258,0,258,160,160,0,0,98,0
Edwin Mulitalo,508,4,100.0,0,3,67.1,70.4,62.8,3,2,134,100.0,100.0,97.4,0,6,1,254,0,254,0,254,140,140,0,0,114,0
Frank Davis,3282,5,100.0,0,11,39.2,41.0,47.9,3,13,169,100.0,100.0,94.7,4,17,1,246,0,197,0,246,182,182,48,0,64,1
Jason Whittle,436,5,100.0,0,18,55.5,62.8,63.0,1,5,136,100.0,100.0,97.8,4,6,0,231,0,3,0,231,142,142,228,0,89,0
Billy Yates,1721,4,100.0,0,19,71.7,84.0,66.2,1,0,108,100.0,100.0,99.5,1,1,0,192,0,0,0,192,116,116,192,0,76,0
Stephen Peterman,1804,3,100.0,0,11,60.9,54.0,66.7,1,8,126,100.0,100.0,95.6,1,10,1,183,0,0,0,183,135,135,183,0,48,0
Chris Kemoeatu,2421,3,100.0,0,25,67.5,76.6,64.9,1,3,85,100.0,100.0,97.6,1,4,0,171,0,0,0,171,87,87,171,0,84,0
Chris Bober,718,12,100.0,0,16,70.4,42.4,73.2,1,3,65,100.0,100.0,95.4,0,5,1,164,0,128,0,164,69,69,14,0,95,22
Zach Piller,489,3,100.0,1,31,63.2,81.0,53.4,2,2,89,100.0,100.0,97.8,1,4,0,154,0,154,0,154,97,97,0,0,57,0
Norm Katnik,2091,3,100.0,0,22,61.4,62.7,63.0,0,5,73,100.0,100.0,96.6,1,5,0,148,0,148,0,148,78,78,0,0,70,0
Eugene Amano,1953,3,100.0,0,31,71.3,73.0,67.0,1,2,67,100.0,100.0,96.3,0,4,1,117,0,42,0,117,71,71,75,0,46,0
Terrence Metcalf,1096,9,100.0,0,6,53.4,76.0,49.4,0,1,36,100.0,100.0,98.6,0,1,0,104,0,103,1,104,39,39,0,0,65,0
Scott Young,2389,8,100.0,0,24,52.1,69.2,65.6,0,3,59,100.0,100.0,97.5,3,3,0,99,0,7,0,99,66,66,83,0,33,9
Dennis Norman,928,4,100.0,0,15,65.1,67.2,59.5,1,1,58,100.0,100.0,96.6,1,3,1,84,0,20,58,84,62,62,4,2,22,0
Nick Cole,3567,10,100.0,0,24,67.2,90.0,59.6,0,0,39,100.0,100.0,100.0,0,0,0,71,59,0,0,71,44,44,0,0,27,5
Bennie Anderson,717,2,100.0,0,17,73.0,80.4,66.3,0,1,47,100.0,100.0,98.9,0,1,0,70,0,0,0,70,49,49,70,0,21,0
Rob Smith,3510,1,100.0,0,8,29.2,46.1,28.8,0,3,41,100.0,100.0,96.3,0,3,0,69,0,69,0,69,45,45,0,0,24,0
Mike Pucillo,1185,7,98.6,0,32,63.4,62.4,65.7,0,1,14,93.3,93.3,96.4,1,1,0,68,12,0,0,69,14,15,0,0,54,57
Aaron Merz,3193,2,100.0,0,4,50.5,51.3,50.2,0,4,36,100.0,100.0,94.4,0,4,0,64,0,54,0,64,39,39,10,0,25,0
Grey Ruegamer,483,5,98.4,0,21,85.4,86.6,80.0,0,0,20,95.2,96.0,100.0,0,0,0,61,2,53,0,62,24,25,0,0,37,7
Todd Wade,621,1,100.0,0,32,73.1,79.2,68.0,0,1,30,100.0,100.0,98.3,0,1,0,60,0,0,0,60,30,30,0,60,30,0
Jeb Terry,1866,2,100.0,0,30,57.6,62.8,53.5,0,2,41,100.0,100.0,97.6,0,2,0,56,0,4,0,56,41,41,52,0,15,0
Austin King,1444,3,100.0,0,2,72.5,79.7,68.0,0,1,15,93.8,94.1,96.7,0,1,0,48,0,0,0,48,16,17,48,0,32,0
Russ Hochstein,890,6,100.0,0,19,75.5,89.2,68.5,0,0,23,100.0,100.0,100.0,0,0,0,46,12,1,0,46,26,26,23,0,20,9
Montrae Holland,1415,2,100.0,0,20,46.9,70.6,38.8,0,0,26,100.0,100.0,96.2,0,1,1,39,0,30,0,39,27,27,9,0,12,0
Larry Turner,1952,1,100.0,0,26,50.9,18.1,58.8,0,1,20,100.0,100.0,92.5,0,2,1,37,37,0,0,37,20,20,0,0,17,0
Isaac Sowells,3057,1,100.0,0,8,54.1,49.9,54.4,2,2,15,100.0,100.0,86.7,0,4,0,29,0,0,0,29,17,17,0,29,12,0
Ike Ndukwe,2720,2,100.0,0,3,62.0,80.3,57.5,0,0,8,100.0,100.0,100.0,0,0,0,17,0,17,0,17,9,9,0,0,8,0
Brad Badger,281,3,100.0,0,23,52.7,36.2,59.2,0,2,9,100.0,100.0,88.9,0,2,0,16,0,0,0,16,11,11,4,10,5,2
Toniu Fonoti,1046,2,100.0,0,17,51.2,46.7,53.0,0,1,4,100.0,100.0,87.5,0,1,0,14,0,14,0,14,4,4,0,0,10,0
Cornell Green,551,4,100.0,0,30,71.4,69.2,66.7,0,0,2,100.0,100.0,100.0,0,0,0,11,0,0,0,11,3,3,0,0,8,11
Gene Mruczkowski,1667,1,100.0,0,19,59.4,74.2,58.0,0,0,2,100.0,100.0,100.0,0,0,0,8,0,8,0,8,2,2,0,0,6,0
Wade Smith,1393,3,100.0,0,22,57.1,71.0,56.4,0,0,1,100.0,100.0,100.0,0,0,0,6,1,0,0,6,1,1,4,0,5,1
Tyson Walter,1165,1,100.0,0,12,63.1,78.9,,0,0,4,100.0,100.0,100.0,0,0,0,5,0,5,0,5,5,5,0,0,0,0
Brad Butler,3088,2,100.0,0,4,56.6,,55.3,0,0,0,,,,0,0,0,5,0,0,0,5,0,0,0,4,5,1
Daniel Loper,2367,2,100.0,0,31,61.2,78.3,60.0,0,0,3,100.0,100.0,100.0,0,0,0,4,0,4,0,4,3,3,0,0,1,0
Jim Molinaro,1898,1,100.0,0,32,58.6,27.7,58.9,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,2
David Baas,2250,2,100.0,0,28,69.1,,69.3,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Tony Palmer,3188,1,100.0,0,12,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,2,0,2,0
Chris Snee,1755,20,100.0,0,21,91.5,88.4,89.6,3,16,707,100.0,100.0,98.4,5,21,2,1319,0,0,0,1319,745,745,1319,0,574,0
Rich Seubert,986,20,100.0,1,21,88.6,89.5,81.8,1,20,699,100.0,100.0,98.5,2,21,0,1306,0,1306,0,1306,734,734,0,0,572,0
Logan Mankins,2249,19,100.0,2,19,92.2,77.7,92.7,3,18,742,100.0,100.0,97.6,6,28,7,1286,0,1286,0,1286,775,775,0,0,511,0
Pete Kendall,163,17,100.0,0,32,82.4,91.4,73.9,3,11,628,100.0,100.0,98.7,3,15,1,1164,0,1164,0,1164,655,655,0,0,509,0
Chris Gray,52,18,100.0,1,29,69.6,82.0,62.9,1,17,688,100.0,100.0,98.1,5,22,4,1148,12,0,0,1148,708,708,1136,0,440,0
Kris Dielman,1599,19,100.0,0,27,84.8,85.1,80.3,9,10,591,100.0,100.0,98.4,4,19,0,1146,0,1146,0,1146,606,606,0,0,540,0
Mike Goff,375,19,100.0,0,27,78.9,85.4,74.4,2,23,591,100.0,100.0,97.9,6,25,0,1136,0,0,0,1136,606,606,1136,0,530,0
Rob Sims,3073,18,100.0,0,29,76.9,77.5,71.2,6,20,674,100.0,100.0,97.5,2,30,4,1115,0,1115,0,1115,694,694,0,0,421,0
Jahri Evans,3053,16,100.0,0,20,88.7,80.2,86.0,2,20,673,100.0,100.0,97.9,4,25,3,1103,0,0,0,1103,707,707,1103,0,396,0
Ryan Lilja,2105,17,100.0,0,14,87.6,79.5,85.4,5,15,611,100.0,100.0,98.0,4,22,2,1103,0,1103,0,1103,634,634,0,0,469,0
Jamar Nesbit,564,16,100.0,0,20,71.3,85.4,61.5,3,18,673,100.0,100.0,98.1,4,23,2,1103,0,1103,0,1103,707,707,0,0,396,0
Jake Scott,1862,17,100.0,0,14,80.5,73.7,82.2,7,26,608,100.0,100.0,96.8,5,36,3,1098,0,0,0,1098,631,631,951,147,467,0
Kyle Kosier,1208,17,100.0,2,9,67.4,80.2,57.3,4,16,612,100.0,100.0,97.9,5,23,3,1085,0,1085,0,1085,642,642,0,0,443,0
Kendall Simmons,1037,17,100.0,2,25,52.3,51.8,53.5,3,38,555,100.0,100.0,95.2,7,47,6,1082,0,0,0,1082,579,579,1082,0,503,0
Vince Manuwai,1387,17,100.0,0,15,85.6,77.6,83.8,4,15,538,100.0,100.0,97.9,2,21,2,1076,0,1076,0,1076,564,564,0,0,512,0
Todd Herremans,2343,16,100.0,0,24,73.1,72.4,72.5,5,16,656,100.0,100.0,97.8,5,25,4,1067,0,1067,0,1067,681,681,0,0,386,0
Leonard Davis,774,17,100.0,1,9,84.4,80.1,83.5,3,17,602,100.0,100.0,97.8,6,23,3,1064,0,0,0,1064,632,632,1064,0,432,0
Jacob Bell,1859,17,100.0,0,31,78.1,70.7,76.6,11,19,553,100.0,100.0,97.1,4,31,1,1062,0,1061,0,1062,568,568,0,0,494,0
Davin Joseph,2968,17,100.0,2,30,69.2,59.7,73.3,6,31,589,100.0,100.0,96.2,7,41,4,1061,0,0,0,1061,622,622,1060,0,439,0
Jason Brown,2341,16,100.0,0,3,77.0,91.6,68.9,3,11,604,100.0,100.0,98.0,6,19,5,1058,0,1058,0,1058,632,632,0,0,426,0
Jason Fabini,388,16,100.0,0,32,72.1,78.8,66.0,7,14,582,100.0,100.0,97.7,3,24,3,1056,0,0,0,1056,608,608,1056,0,448,0
Roberto Garza,856,16,100.0,0,6,74.4,81.3,73.1,8,18,613,100.0,100.0,97.9,4,26,0,1053,0,0,0,1053,644,644,1053,0,409,0
Alan Faneca,346,17,100.0,0,25,83.1,78.1,81.2,1,20,540,100.0,100.0,97.3,3,25,4,1052,0,1052,0,1052,563,563,0,0,489,0
Reggie Wells,1482,16,100.0,0,1,64.5,77.7,61.7,11,14,619,100.0,100.0,97.8,6,26,1,1052,0,1011,0,1052,652,652,0,41,400,0
