player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Roberto Garza,856,16,100.0,0,6,71.9,56.7,74.3,6,21,536,100.0,100.0,96.7,6,31,4,997,0,298,0,997,571,571,699,0,426,0
Geoff Schwartz,4555,16,100.0,0,5,77.3,76.2,77.7,6,13,550,100.0,100.0,97.5,5,23,4,989,0,0,0,989,574,574,687,302,415,0
Chris Kuper,3106,15,100.0,1,10,68.4,73.0,66.5,3,19,605,100.0,100.0,97.4,6,27,5,987,0,0,0,987,640,640,987,0,347,0
Nate Livings,3400,16,100.0,0,7,73.7,59.8,79.9,4,28,570,100.0,100.0,96.8,2,34,2,986,0,986,0,986,606,606,0,0,380,0
Mike Pollak,4373,14,100.0,0,14,76.6,68.8,76.0,8,21,584,100.0,100.0,97.5,1,29,0,980,0,0,0,980,605,605,980,0,375,0
Kory Lichtensteiger,4422,16,100.0,0,32,71.8,50.9,79.9,6,23,620,100.0,100.0,96.5,4,36,7,977,0,962,0,977,656,656,10,0,321,5
Adam Goldberg,1612,16,100.0,1,26,59.9,54.1,61.1,7,29,571,100.0,100.0,96.3,3,39,3,963,0,0,0,963,603,603,963,0,360,0
Alan Faneca,346,16,100.0,0,1,68.6,65.8,67.2,5,26,621,100.0,100.0,97.0,1,34,3,960,0,960,0,960,643,643,0,0,317,0
Deuce Lutui,2986,16,100.0,0,1,61.2,73.2,53.7,3,20,621,100.0,100.0,97.8,5,25,2,960,0,0,0,960,643,643,960,0,317,0
Eric Steinbach,1349,16,99.9,0,8,70.7,67.5,66.2,2,21,529,99.8,99.8,97.3,0,26,3,957,0,947,0,958,557,558,0,0,400,11
Mike Iupati,5542,16,100.0,0,28,82.1,69.0,86.2,6,20,553,100.0,100.0,97.3,4,28,2,953,0,953,0,953,582,582,0,0,371,0
Jake Scott,1862,16,100.0,0,31,60.7,72.2,59.8,3,19,513,100.0,100.0,97.7,10,23,1,953,0,0,0,953,545,545,953,0,408,0
Zane Beadles,5570,16,100.0,0,10,70.2,62.3,72.1,3,30,545,100.0,100.0,96.2,2,37,4,929,0,514,0,929,574,574,0,405,355,10
Andy Levitre,4974,16,100.0,0,4,70.1,75.6,68.5,3,13,562,100.0,100.0,98.2,7,18,2,927,8,919,0,927,582,582,0,0,345,0
Chris Williams,4328,15,100.0,0,6,61.5,60.3,62.2,9,22,509,100.0,100.0,96.6,7,33,2,903,0,822,81,903,537,537,0,0,366,0
Leroy Harris,3731,15,100.0,0,31,62.0,60.6,61.5,0,25,480,100.0,100.0,96.8,7,28,3,891,0,891,0,891,509,509,0,0,382,0
Floyd Womack,875,15,100.0,0,8,62.7,70.2,56.7,2,17,488,100.0,100.0,97.2,3,23,4,888,0,0,0,888,513,513,717,171,375,0
Dan Connolly,2540,15,99.3,0,19,71.6,64.3,70.8,6,19,471,98.7,98.8,96.9,1,27,2,866,0,413,0,872,496,502,426,2,370,0
Kyle DeVan,4608,14,100.0,1,14,70.2,76.2,68.6,4,12,528,100.0,100.0,98.3,7,17,1,854,0,854,0,854,546,546,0,0,308,0
Ramon Foster,5229,15,100.0,1,25,65.9,63.7,67.4,3,11,451,100.0,100.0,96.9,6,21,7,832,0,90,0,832,481,481,737,5,351,0
Kyle Kosier,1208,13,100.0,0,9,73.4,76.7,68.2,2,14,473,100.0,100.0,98.1,3,17,1,825,0,825,0,825,497,497,0,0,328,0
Eric Wood,4951,14,100.0,1,4,72.4,67.3,72.0,3,12,478,100.0,100.0,97.8,5,18,3,812,234,0,0,812,497,497,578,0,315,0
