player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Artis Hicks,1254,G,PHI,1,100.0,0,24,54.8,70.3,45.6,0,3,55,100.0,100.0,95.5,0,4,1,73,0,73,0,73,56,56,0,0,17,0
Jermane Mayberry,166,G,PHI,1,100.0,0,24,70.8,73.8,66.1,1,2,55,100.0,100.0,97.3,0,3,0,73,0,0,0,73,56,56,73,0,17,0
Jon Runyan Sr.,193,T,PHI,1,100.0,0,24,65.4,74.3,51.8,0,3,55,100.0,100.0,97.3,0,3,0,73,0,0,0,73,56,56,0,73,17,0
Hank Fraley,725,C,PHI,1,100.0,0,24,72.4,80.2,69.0,0,0,55,100.0,100.0,100.0,0,0,0,73,73,0,0,73,56,56,0,0,17,0
Tra Thomas,335,T,PHI,1,100.0,0,24,73.2,75.5,66.3,1,2,55,100.0,100.0,97.3,0,3,0,73,0,0,73,73,56,56,0,0,17,0
Matt Light,818,T,NE,1,100.0,0,19,73.1,90.4,67.7,0,0,35,100.0,100.0,100.0,1,0,0,63,0,0,63,63,35,35,0,0,28,0
Stephen Neal,972,G,NE,1,100.0,0,19,65.2,70.7,61.1,0,2,35,100.0,100.0,97.1,0,2,0,63,0,0,0,63,35,35,63,0,28,0
Joe Andruzzi,296,G,NE,1,100.0,0,19,66.9,88.1,59.2,0,0,35,100.0,100.0,100.0,0,0,0,63,0,63,0,63,35,35,0,0,28,0
Brandon Gorin,918,T,NE,1,100.0,0,19,51.7,48.3,59.6,0,2,35,100.0,100.0,94.3,1,3,1,63,0,0,0,63,35,35,0,63,28,0
Dan Koppen,1471,C,NE,1,100.0,0,19,56.7,87.2,49.1,0,0,35,100.0,100.0,100.0,0,0,0,63,63,0,0,63,35,35,0,0,28,0
Tom Brady,698,QB,NE,1,42.9,0,19,81.4,,60.0,0,0,0,0.0,0.0,,0,0,0,27,0,0,0,63,0,35,0,0,27,0
Daniel Graham,1028,TE,NE,1,77.1,0,19,88.6,74.9,79.5,0,0,5,38.5,38.5,100.0,0,0,0,27,0,0,0,35,5,13,0,0,22,35
Christian Fauria,130,TE,NE,1,78.8,0,19,63.0,67.7,66.3,0,0,7,50.0,50.0,100.0,0,0,0,26,0,0,0,33,7,14,0,0,19,30
David Givens,1210,WR,NE,1,43.3,0,19,62.9,,71.6,0,0,0,0.0,0.0,,0,0,0,26,0,0,0,60,0,34,0,0,26,1
L.J. Smith,1376,TE,PHI,1,37.9,0,24,47.5,45.7,68.3,0,1,9,18.0,19.6,94.4,0,1,0,25,0,0,0,66,10,51,0,0,15,49
Josh Parry,974,FB,PHI,1,60.7,0,24,53.5,48.4,53.6,0,1,9,47.4,45.0,94.4,0,1,0,17,0,0,0,28,9,20,0,0,8,2
Donovan McNabb,438,QB,PHI,1,21.9,0,24,58.1,,60.0,0,0,0,0.0,0.0,,0,0,0,16,0,0,0,73,0,56,0,0,16,0
Deion Branch,1072,WR,NE,1,30.6,0,19,87.4,,59.7,0,0,0,0.0,0.0,,0,0,0,15,0,0,0,49,0,34,0,0,15,0
Todd Pinkston,2902,WR,PHI,1,29.5,0,24,70.4,,55.2,0,0,0,0.0,0.0,,0,0,0,13,0,0,0,44,0,31,0,0,13,0
Terrell Owens,188,WR,PHI,1,19.7,1,24,81.4,,60.0,0,0,0,0.0,0.0,,1,0,0,12,0,0,0,61,0,49,0,0,12,0
Freddie Mitchell,795,WR,PHI,1,26.7,0,24,59.5,,74.2,0,0,0,0.0,0.0,,0,0,0,12,0,0,0,45,0,33,0,0,12,0
Brian Westbrook,1094,HB,PHI,1,16.2,0,24,58.1,53.6,60.0,0,2,9,17.6,19.2,88.9,0,2,0,11,0,0,0,68,10,52,0,0,1,0
Patrick Pass,709,FB,NE,1,57.1,0,19,66.3,72.0,71.9,0,0,1,16.7,16.7,100.0,0,0,0,8,0,0,0,14,1,6,0,0,7,0
David Patten,221,WR,NE,1,23.5,0,19,50.4,,60.1,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,34,0,26,0,0,8,0
Russ Hochstein,890,G,NE,1,100.0,0,19,73.0,,69.2,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,5
Jeff Thomason,11597,TE,PHI,1,50.0,0,24,64.2,72.2,75.3,0,0,3,33.3,33.3,100.0,0,0,0,6,0,0,0,12,3,9,0,0,3,11
Greg Lewis,1650,WR,PHI,1,19.4,0,24,72.8,62.4,61.1,0,0,1,3.8,3.8,100.0,0,0,0,6,0,0,0,31,1,26,0,0,5,0
Troy Brown,56,CB,NE,1,26.3,0,19,58.8,,61.3,0,0,0,0.0,0.0,,1,0,0,5,0,0,0,19,0,14,0,0,5,0
Corey Dillon,249,HB,NE,1,7.5,0,19,64.6,81.0,,0,0,3,13.6,13.6,100.0,0,0,0,3,0,0,0,40,3,22,0,0,0,0
Kevin Faulk,470,HB,NE,1,15.8,0,19,77.3,79.7,60.0,0,0,2,20.0,20.0,100.0,0,0,0,3,0,0,0,19,2,10,0,0,1,0
Mike Vrabel,268,ED,NE,1,66.7,0,19,89.0,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,3
Dorsey Levens,11577,HB,PHI,1,20.0,0,24,57.7,76.6,,0,0,2,22.2,22.2,100.0,0,0,0,2,0,0,0,10,2,9,0,0,0,0
