player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tristan Wirfs,64818,T,TB,20,100.0,0,30,84.1,82.8,77.1,8,15,795,100.0,100.0,98.4,4,24,1,1347,0,0,0,1347,851,851,0,1347,496,0
Ryan Jensen,7985,C,TB,20,100.0,0,30,63.6,46.3,73.2,6,17,793,100.0,100.0,98.0,4,27,4,1335,1191,144,0,1335,849,849,0,0,486,0
Austin Corbett,46290,G,LA,18,100.0,0,26,73.4,61.5,76.4,6,18,698,100.0,100.0,98.1,5,25,1,1242,0,0,0,1242,723,723,1242,0,519,0
Austin Blythe,10882,C,LA,18,100.0,0,26,70.3,52.8,74.2,8,18,698,100.0,100.0,97.4,1,31,5,1242,1242,0,0,1242,723,723,0,0,519,0
Rob Havenstein,9490,T,LA,18,100.0,1,26,80.6,70.4,83.9,7,24,695,100.0,100.0,97.1,5,36,5,1239,0,0,0,1239,720,720,0,1239,519,0
Daryl Williams,9535,T,BUF,19,100.0,1,4,79.2,80.1,74.6,2,20,777,100.0,100.0,97.7,9,29,7,1237,0,0,0,1237,827,827,0,1237,410,0
Donovan Smith,9467,T,TB,19,100.0,1,30,72.6,70.0,72.5,10,23,732,100.0,100.0,96.9,11,39,6,1236,0,0,1236,1236,783,783,0,0,453,0
Dion Dawkins,11818,T,BUF,19,99.9,2,4,80.6,79.2,75.1,4,25,765,99.9,99.9,97.2,6,36,7,1219,0,0,1219,1220,816,817,0,0,403,1
Erik McCoy,37347,C,NO,18,100.0,1,20,69.4,62.2,69.9,2,12,646,100.0,100.0,98.8,4,15,1,1213,1213,0,0,1213,677,677,0,0,536,0
J.C. Tretter,7904,C,CLV,18,100.0,0,8,81.2,84.5,76.5,0,5,622,100.0,100.0,99.4,4,6,1,1192,1192,0,0,1192,663,663,0,0,529,0
Alejandro Villanueva,9091,T,PIT,17,99.9,1,25,74.9,77.8,61.0,15,29,743,99.9,99.9,96.6,5,47,3,1186,0,0,1181,1187,797,798,0,0,389,6
Elgton Jenkins,46298,G,GB,18,100.0,0,12,66.9,74.6,61.6,2,17,658,100.0,100.0,98.4,5,20,1,1184,297,827,27,1184,702,702,0,32,482,0
Ryan Ramczyk,11787,T,NO,18,100.0,1,20,79.4,74.9,79.5,2,23,638,100.0,100.0,97.7,6,27,2,1178,0,0,0,1178,669,669,0,1176,509,2
Dan Feeney,11826,C,LAC,16,100.0,0,27,48.2,51.5,47.2,5,24,685,100.0,100.0,97.3,2,33,4,1174,1174,0,0,1174,729,729,0,0,445,0
Forrest Lamp,11793,G,LAC,16,100.0,0,27,49.4,60.7,42.8,14,22,685,100.0,100.0,97.1,1,38,2,1174,0,1174,0,1174,729,729,0,0,445,0
Andrew Wylie,12333,G,KC,17,100.0,0,16,52.5,52.6,51.4,8,36,746,100.0,100.0,96.8,4,46,2,1174,0,0,0,1174,794,794,985,188,380,1
Mark Glowinski,9567,G,IND,17,100.0,1,14,67.1,66.5,63.7,6,23,619,100.0,100.0,97.3,3,31,2,1168,0,0,0,1168,659,659,1168,0,509,0
Orlando Brown Jr.,46227,T,BLT,18,100.0,0,3,77.8,77.8,73.5,1,24,564,100.0,100.0,97.3,5,28,3,1168,0,0,823,1168,593,593,0,335,575,10
Eric Fisher,7783,T,KC,17,99.9,0,16,80.1,77.0,71.6,8,24,736,99.9,99.9,97.4,4,35,3,1162,0,0,1160,1163,781,782,0,0,381,3
Chase Roullier,11954,C,WAS,17,100.0,1,32,76.4,83.9,71.7,4,12,721,100.0,100.0,98.8,5,17,1,1161,1161,0,0,1161,754,754,0,0,407,0
Quenton Nelson,12954,G,IND,17,100.0,3,14,87.5,81.8,86.0,5,9,619,100.0,100.0,98.7,9,15,1,1160,0,1152,8,1160,659,659,0,0,501,0
Bradley Bozeman,27934,G,BLT,18,100.0,0,3,63.6,62.0,63.1,1,18,563,100.0,100.0,98.0,4,21,2,1158,0,1158,0,1158,592,592,0,0,566,0
Connor Williams,46216,G,DAL,16,100.0,0,9,71.2,66.6,70.8,2,24,710,100.0,100.0,97.6,4,30,4,1146,0,1146,0,1146,739,739,0,0,407,0
Morgan Moses,8701,T,WAS,17,100.0,1,32,79.9,70.7,84.7,14,22,710,100.0,100.0,96.8,6,41,5,1137,0,0,151,1137,743,743,0,978,394,8
D.J. Humphries,9457,T,ARZ,16,100.0,0,1,88.3,79.9,90.8,2,18,648,100.0,100.0,98.0,7,23,3,1129,0,0,1127,1129,695,695,0,0,434,2
Jason Kelce,6343,C,PHI,16,100.0,0,24,69.6,62.0,79.0,3,13,707,100.0,100.0,98.3,10,20,4,1126,1124,0,0,1126,756,756,0,0,370,0
Kelvin Beachum,7229,T,ARZ,16,100.0,0,1,69.0,76.8,59.0,3,19,646,100.0,100.0,97.8,6,25,3,1126,0,0,1,1126,693,693,1,1121,433,3
Joel Bitonio,8670,G,CLV,17,100.0,0,8,85.5,85.7,81.8,4,13,586,100.0,100.0,98.4,4,18,1,1125,0,1125,0,1125,625,625,0,0,500,0
Nate Davis,46808,G,TEN,17,100.0,0,31,71.1,53.9,73.8,10,19,559,100.0,100.0,97.0,5,31,2,1124,0,0,0,1124,590,590,1123,0,534,0
Ali Marpet,9494,G,TB,17,100.0,0,30,80.7,71.6,80.7,10,5,654,100.0,100.0,98.7,3,16,1,1123,0,1123,0,1123,699,699,0,0,424,0
Chris Lindstrom,46692,G,ATL,16,100.0,0,2,77.1,70.3,76.6,7,18,685,100.0,100.0,97.6,2,29,4,1122,0,0,0,1122,724,724,1122,0,398,0
Chukwuma Okorafor,46302,T,PIT,17,100.0,1,25,57.4,62.4,50.1,5,21,702,100.0,100.0,97.7,6,29,3,1122,0,0,0,1122,755,755,0,1117,367,5
Charles Leno Jr.,8880,T,CHI,17,100.0,0,6,74.9,70.0,74.2,7,31,704,100.0,100.0,96.6,6,43,5,1115,0,0,1108,1115,728,728,0,0,387,7
Germain Ifedi,10665,G,CHI,17,100.0,0,6,65.5,65.6,62.2,4,19,704,100.0,100.0,98.1,5,25,2,1115,0,0,0,1115,728,728,663,452,387,0
Jake Matthews,8641,T,ATL,16,100.0,0,2,75.5,84.0,57.5,6,20,685,100.0,100.0,97.7,3,29,3,1113,0,0,1112,1113,724,724,0,0,389,1
Duane Brown,4340,T,SEA,17,100.0,1,29,87.8,84.9,81.4,6,28,693,100.0,100.0,97.3,2,36,2,1109,0,0,1109,1109,732,732,0,0,377,0
