player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Keaontay Ingram,77761,HB,ARZ,6,21.4,0,1,66.0,55.8,66.4,1,1,10,18.5,21.7,90.0,0,2,0,22,0,0,0,103,13,60,0,0,9,0
Davis Allen,99697,TE,LA,7,72.4,0,26,53.0,76.2,52.4,0,0,5,41.7,42.9,100.0,0,0,0,21,0,0,0,29,6,14,0,0,15,20
Trent Taylor,11932,WR,CHI,7,38.2,0,6,53.9,,50.3,0,0,0,0.0,0.0,,0,0,0,21,0,0,0,55,0,33,0,0,21,0
James Mitchell,77885,TE,DET,5,80.8,0,11,43.3,74.8,44.3,0,0,3,37.5,37.5,100.0,0,0,0,21,0,0,0,26,3,8,0,0,18,20
Darrynton Evans,40692,HB,CHI,5,22.7,0,6,69.8,73.9,60.0,0,1,9,20.5,20.0,94.4,0,1,0,20,0,0,0,88,9,45,0,0,11,1
Rodney Williams,63718,TE,PIT,4,66.7,0,25,43.6,66.3,66.5,0,0,1,9.1,9.1,100.0,0,0,0,20,0,0,0,30,1,11,0,0,19,26
Ameer Abdullah,9487,HB,LV,9,22.7,0,23,54.8,13.1,60.0,1,4,18,24.0,22.9,86.1,0,5,0,20,0,0,0,88,19,83,0,0,1,1
Payne Durham,84037,TE,TB,4,51.3,0,30,46.6,75.8,59.3,0,1,4,18.2,17.4,87.5,0,1,0,20,0,0,0,39,4,23,0,0,16,25
Craig Reynolds,94383,HB,DET,8,16.8,0,11,80.1,25.7,67.3,0,2,9,14.1,14.1,77.8,0,3,1,20,0,0,0,119,9,64,0,0,11,0
Rico Dowdle,40693,HB,DAL,8,19.8,0,9,70.3,28.9,60.0,0,2,9,17.0,17.9,88.9,0,2,0,20,0,0,0,101,10,56,0,0,10,0
Ben Cleveland,41696,G,BLT,4,100.0,0,3,41.8,78.2,41.4,0,0,5,100.0,100.0,100.0,0,0,0,20,0,1,0,20,5,5,17,0,15,2
Mike White,46453,QB,MIA,2,73.1,0,17,46.2,,60.0,0,0,0,0.0,0.0,,0,0,0,19,0,0,0,26,0,3,0,0,19,0
Darrell Henderson,41193,HB,LA,3,18.6,0,26,56.6,65.4,60.0,0,0,17,29.8,29.5,100.0,0,0,0,19,0,0,0,102,18,61,0,0,1,0
Jason Cabinda,50714,FB,DET,3,70.4,0,11,40.4,19.6,51.7,1,0,3,30.0,30.0,83.3,0,1,0,19,0,0,0,27,3,10,0,0,16,1
