player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Trey Smith,62960,G,KC,20,100.0,1,16,72.7,61.5,78.2,10,42,898,100.0,100.0,96.5,11,57,5,1404,0,0,0,1404,956,956,1404,0,448,0
Joe Thuney,10712,G,KC,20,100.0,2,16,81.2,90.5,70.6,2,14,898,100.0,100.0,99.0,8,17,1,1394,0,1339,55,1394,956,956,0,0,438,0
Creed Humphrey,59996,C,KC,20,100.0,2,16,91.8,79.1,93.1,1,8,898,100.0,100.0,99.2,7,12,3,1394,1394,0,0,1394,956,956,0,0,438,0
David Edwards,35941,G,LA,21,100.0,1,26,68.4,70.7,65.1,4,30,799,100.0,100.0,97.0,5,41,7,1365,0,1345,18,1365,838,838,0,0,527,0
Austin Corbett,46290,G,LA,21,100.0,0,26,69.6,63.1,68.5,10,28,798,100.0,100.0,97.2,3,41,3,1360,0,0,0,1360,838,838,1358,0,522,0
Orlando Brown Jr.,46227,T,KC,19,100.0,3,16,75.4,74.4,68.4,13,26,861,100.0,100.0,97.0,7,45,6,1337,0,0,1337,1337,916,916,0,0,421,0
Alex Cappa,66578,G,TB,19,100.0,0,30,71.3,67.5,69.0,7,23,860,100.0,100.0,97.7,1,35,5,1327,0,0,0,1327,896,896,1327,0,431,0
Jonah Williams,41651,T,CIN,20,100.0,0,7,74.5,67.5,75.6,7,34,762,100.0,100.0,96.0,5,51,10,1301,0,0,1301,1301,808,808,0,0,493,0
Ryan Jensen,7985,C,TB,19,100.0,2,30,68.3,57.1,77.1,5,18,852,100.0,100.0,98.2,6,27,4,1296,1296,0,0,1296,886,886,0,0,410,0
Daryl Williams,9535,G,BUF,19,100.0,0,4,66.8,72.3,59.0,9,31,800,100.0,100.0,97.0,6,44,4,1292,0,0,1,1292,850,850,720,571,442,0
Donovan Smith,9467,T,TB,19,100.0,2,30,80.5,80.1,69.9,4,35,850,100.0,100.0,97.2,8,43,4,1292,0,0,1292,1292,884,884,0,0,408,0
Mitch Morse,9482,C,BUF,19,100.0,1,4,63.4,71.8,58.8,2,22,800,100.0,100.0,98.2,5,26,2,1284,1284,0,0,1284,851,851,0,0,433,0
Tyler Biadasz,41178,C,DAL,18,100.0,0,9,65.1,69.3,68.7,4,17,755,100.0,100.0,98.5,11,22,1,1274,1274,0,0,1274,819,819,0,0,455,0
Laken Tomlinson,9461,G,SF,20,100.0,0,28,73.6,69.2,75.3,9,21,641,100.0,100.0,97.2,7,33,3,1264,0,1264,0,1264,681,681,0,0,583,0
Daniel Brunskill,34807,G,SF,20,100.0,1,28,57.1,48.2,59.6,6,30,641,100.0,100.0,96.4,4,41,5,1259,0,0,0,1259,681,681,1259,0,578,0
