player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Carl Nicks,4478,G,NO,19,100.0,0,20,89.3,78.2,87.7,5,16,671,100.0,100.0,98.1,4,23,2,1251,0,1251,0,1251,702,702,0,0,549,0
John Sullivan,4501,C,MIN,18,100.0,1,18,59.8,77.4,53.7,7,7,661,100.0,100.0,98.3,3,18,4,1235,1235,0,0,1235,703,703,0,0,532,0
D'Brickashaw Ferguson,2949,T,NYJ,19,99.9,1,22,83.4,82.7,79.5,3,13,503,99.8,99.8,97.2,8,22,6,1233,0,0,1206,1234,528,529,0,0,705,28
Nick Mangold,2974,C,NYJ,19,100.0,0,22,93.4,89.6,91.3,1,5,503,100.0,100.0,99.2,3,7,1,1232,1232,0,0,1232,528,528,0,0,704,0
Brandon Moore,1284,G,NYJ,19,100.0,3,22,83.2,86.1,77.1,2,9,503,100.0,100.0,98.7,6,12,1,1219,0,0,0,1219,526,526,1219,0,693,0
Alan Faneca,346,G,NYJ,19,100.0,0,22,76.7,62.8,78.3,3,16,504,100.0,100.0,96.9,5,25,6,1218,0,1218,0,1218,529,529,0,0,689,0
Bryant McKinnie,1015,T,MIN,18,100.0,0,18,77.9,79.5,68.1,10,16,650,100.0,100.0,96.6,4,35,9,1213,0,0,1213,1213,691,691,0,0,522,0
Kyle Kosier,1208,G,DAL,18,100.0,1,9,82.8,67.8,88.8,8,24,674,100.0,100.0,97.5,8,33,1,1209,0,1209,0,1209,711,711,0,0,498,0
Leonard Davis,774,G,DAL,18,100.0,0,9,80.4,67.7,82.8,4,24,674,100.0,100.0,97.5,5,31,3,1209,0,0,0,1209,711,711,1209,0,498,0
Jon Stinchcomb,1353,T,NO,19,99.8,1,20,77.2,68.0,83.5,4,34,644,99.7,99.7,96.4,6,42,4,1205,0,0,0,1207,675,677,0,1204,530,3
Jahri Evans,3053,G,NO,19,100.0,0,20,92.6,74.1,92.9,3,20,653,100.0,100.0,97.9,5,25,2,1205,0,0,0,1205,684,684,1205,0,521,0
Andre Gurode,1044,C,DAL,18,100.0,2,9,75.4,73.8,75.8,5,15,671,100.0,100.0,98.2,9,22,2,1204,1204,0,0,1204,708,708,0,0,496,0
Steve Hutchinson,787,G,MIN,18,100.0,0,18,70.2,82.2,61.7,3,13,656,100.0,100.0,98.5,3,18,2,1203,0,1203,0,1203,697,697,0,0,506,0
Jonathan Goodwin,1146,C,NO,19,100.0,0,20,83.3,86.9,79.6,1,15,650,100.0,100.0,98.6,3,17,1,1198,1198,0,0,1198,681,681,0,0,517,0
Jeff Saturday,431,C,IND,19,100.0,1,14,82.7,89.7,77.6,2,10,731,100.0,100.0,99.0,3,13,1,1195,1195,0,0,1195,764,764,0,0,431,0
Ryan Lilja,2105,G,IND,19,100.0,0,14,77.6,72.9,75.6,9,18,731,100.0,100.0,98.0,0,28,1,1195,0,1195,0,1195,764,764,0,0,431,0
Logan Mankins,2249,G,NE,17,100.0,0,19,89.0,78.4,90.5,3,14,660,100.0,100.0,98.3,7,20,3,1184,0,1184,0,1184,702,702,0,0,482,0
Phil Loadholt,4977,T,MIN,17,99.9,5,18,72.3,71.5,73.7,7,18,628,99.8,99.9,96.6,10,34,9,1177,0,0,0,1178,669,670,0,1175,508,3
Ben Grubbs,3645,G,BLT,18,100.0,0,3,78.4,84.9,71.6,3,9,607,100.0,100.0,98.7,2,14,2,1174,0,1174,0,1174,643,643,0,0,531,0
Ryan Diem,867,T,IND,18,100.0,0,14,78.9,73.8,85.8,9,30,713,100.0,100.0,97.1,9,40,1,1174,0,0,0,1174,746,746,0,1174,428,0
Josh Sitton,4449,G,GB,17,100.0,0,12,86.1,78.4,84.8,5,17,683,100.0,100.0,97.8,4,26,4,1165,0,0,0,1165,731,731,1165,0,434,0
Damien Woody,451,T,NYJ,19,100.0,1,22,89.4,79.5,91.7,1,15,477,100.0,100.0,97.7,8,19,3,1159,0,0,0,1159,501,501,0,1151,658,8
Flozell Adams,354,T,DAL,18,100.0,0,9,74.9,63.9,85.9,7,41,644,100.0,100.0,95.0,12,56,8,1152,0,0,1152,1152,680,680,0,0,472,0
Matt Birk,404,C,BLT,18,100.0,0,3,78.4,82.5,75.3,2,12,597,100.0,100.0,98.5,3,16,2,1145,1145,0,0,1145,633,633,0,0,512,0
Michael Oher,4946,T,BLT,18,98.3,2,3,78.5,73.9,87.3,6,21,584,97.0,96.9,96.8,10,32,5,1145,0,0,348,1165,618,638,0,756,527,61
Dan Koppen,1471,C,NE,17,100.0,0,19,78.1,79.6,77.6,8,9,640,100.0,100.0,98.7,5,17,0,1143,1143,0,0,1143,679,679,0,0,464,0
Levi Brown,3621,T,ARZ,18,100.0,0,1,66.0,60.6,79.7,17,29,690,100.0,100.0,95.4,10,55,9,1141,0,0,0,1141,733,733,0,1141,408,0
Lyle Sendlein,4062,C,ARZ,18,100.0,0,1,68.5,75.1,63.6,8,12,690,100.0,100.0,98.4,4,21,1,1141,1141,0,0,1141,733,733,0,0,408,0
Reggie Wells,1482,G,ARZ,18,100.0,0,1,62.6,60.6,61.0,13,22,690,100.0,100.0,97.0,3,38,3,1141,0,1141,0,1141,733,733,0,0,408,0
Deuce Lutui,2986,G,ARZ,18,100.0,0,1,75.2,65.0,77.4,8,26,689,100.0,100.0,97.2,4,36,2,1140,0,0,0,1140,732,732,1140,0,408,0
Daryn Colledge,2992,G,GB,17,100.0,0,12,73.8,61.4,78.6,10,23,663,100.0,100.0,96.2,5,42,9,1138,0,995,143,1138,709,709,0,0,429,0
Bobbie Williams,628,G,CIN,17,100.0,0,7,82.3,79.7,80.9,1,11,560,100.0,100.0,98.2,7,16,4,1120,0,0,0,1120,598,598,1120,0,522,0
Jake Long,4315,T,MIA,16,99.5,1,17,86.1,86.7,78.4,4,6,579,99.0,99.0,98.4,5,14,4,1118,0,0,1105,1124,607,613,0,0,511,19
Kyle Cook,3914,C,CIN,17,100.0,0,7,75.6,73.6,75.3,4,13,560,100.0,100.0,98.3,4,18,1,1117,1117,0,0,1117,598,598,0,0,519,0
Andrew Whitworth,3000,T,CIN,17,98.9,2,7,82.7,82.7,81.5,6,14,545,98.0,98.0,97.2,13,25,5,1096,0,0,1002,1108,582,594,0,2,514,104
Vernon Carey,1740,T,MIA,16,99.9,0,17,81.2,70.8,86.1,5,20,566,99.8,99.8,97.1,6,29,4,1094,0,0,7,1095,594,595,0,1085,500,3
Tyson Clabo,2011,T,ATL,16,100.0,0,2,77.6,75.8,73.7,5,22,603,100.0,100.0,96.9,5,32,5,1092,0,0,9,1092,646,646,0,1075,446,8
Justin Blalock,3655,G,ATL,16,100.0,0,2,67.9,73.0,65.7,13,12,603,100.0,100.0,97.6,4,27,2,1092,0,1092,0,1092,646,646,0,0,446,0
Anthony Herrera,2066,G,MIN,16,100.0,1,18,66.9,74.1,61.2,9,12,564,100.0,100.0,98.0,5,22,1,1080,0,0,0,1080,600,600,1080,0,480,0
Max Unger,4972,G,SEA,16,100.0,1,29,71.5,81.3,63.6,4,13,672,100.0,100.0,98.4,6,19,2,1079,210,0,0,1079,696,696,869,0,383,0
Jermon Bushrod,3741,T,NO,18,100.0,1,20,68.0,66.6,64.5,9,32,588,100.0,100.0,95.0,5,50,9,1079,0,0,1079,1079,619,619,0,0,460,0
Ray Willis,2322,T,SEA,16,100.0,0,29,74.2,72.6,75.1,8,24,672,100.0,100.0,96.7,7,38,6,1079,0,0,0,1079,696,696,0,1079,383,0
Ryan Clady,4326,T,DEN,16,100.0,3,10,80.4,76.3,77.3,6,21,602,100.0,100.0,96.4,8,35,8,1071,0,0,1071,1071,631,631,0,0,440,0
