player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Chris Snee,1755,G,NYG,20,100.0,0,21,91.5,88.4,89.6,3,16,707,100.0,100.0,98.4,5,21,2,1319,0,0,0,1319,745,745,1319,0,574,0
David Diehl,1468,T,NYG,20,100.0,2,21,70.8,70.9,70.6,13,45,704,100.0,100.0,93.9,9,72,14,1319,0,0,1315,1319,742,742,0,0,577,4
Rich Seubert,986,G,NYG,20,100.0,1,21,88.6,89.5,81.8,1,20,699,100.0,100.0,98.5,2,21,0,1306,0,1306,0,1306,734,734,0,0,572,0
Kareem McKenzie,840,T,NYG,20,100.0,2,21,78.8,80.1,75.0,4,20,693,100.0,100.0,97.4,6,30,6,1304,0,0,0,1304,731,731,0,1303,573,1
Logan Mankins,2249,G,NE,19,100.0,2,19,92.2,77.7,92.7,3,18,742,100.0,100.0,97.6,6,28,7,1286,0,1286,0,1286,775,775,0,0,511,0
Matt Light,818,T,NE,19,100.0,0,19,86.0,80.8,87.1,10,24,734,100.0,100.0,97.1,8,38,4,1268,0,0,1268,1268,767,767,0,0,501,0
Shaun O'Hara,758,C,NYG,19,100.0,0,21,74.4,82.0,68.4,5,16,657,100.0,100.0,98.2,2,22,1,1239,1239,0,0,1239,693,693,0,0,546,0
Nick Kaczur,2317,T,NE,18,100.0,1,19,78.5,70.5,81.3,10,30,700,100.0,100.0,96.3,3,46,6,1219,0,0,20,1219,730,730,0,1198,489,1
Dan Koppen,1471,C,NE,18,100.0,1,19,78.5,76.0,77.2,4,17,704,100.0,100.0,98.5,4,21,0,1214,1214,0,0,1214,735,735,0,0,479,0
Sean Locklear,1805,T,SEA,18,100.0,0,29,82.7,83.9,74.9,3,21,712,100.0,100.0,98.2,2,25,1,1190,0,0,0,1190,733,733,0,1190,457,0
Marcus McNeill,2995,T,SD,19,100.0,3,27,66.8,75.4,64.0,13,27,597,100.0,100.0,95.3,8,48,8,1186,0,0,1185,1186,613,613,0,0,573,1
Chris Spencer,2243,C,SEA,18,100.0,0,29,78.6,88.5,73.1,2,11,708,100.0,100.0,99.1,3,13,0,1178,1178,0,0,1178,729,729,0,0,449,0
Pete Kendall,163,G,WAS,17,100.0,0,32,82.4,91.4,73.9,3,11,628,100.0,100.0,98.7,3,15,1,1164,0,1164,0,1164,655,655,0,0,509,0
Chris Samuels,581,T,WAS,17,100.0,2,32,91.8,85.7,92.2,9,19,628,100.0,100.0,97.0,9,33,5,1163,0,0,1163,1163,655,655,0,0,508,0
Chris Gray,52,G,SEA,18,100.0,1,29,69.6,82.0,62.9,1,17,688,100.0,100.0,98.1,5,22,4,1148,12,0,0,1148,708,708,1136,0,440,0
Kris Dielman,1599,G,SD,19,100.0,0,27,84.8,85.1,80.3,9,10,591,100.0,100.0,98.4,4,19,0,1146,0,1146,0,1146,606,606,0,0,540,0
Mike Goff,375,G,SD,19,100.0,0,27,78.9,85.4,74.4,2,23,591,100.0,100.0,97.9,6,25,0,1136,0,0,0,1136,606,606,1136,0,530,0
Michael Roos,2258,T,TEN,17,100.0,0,31,78.5,87.5,68.1,9,16,579,100.0,100.0,97.3,6,28,3,1121,0,0,1120,1121,596,596,0,0,525,0
David Stewart,2330,T,TEN,17,99.9,0,31,78.5,81.8,71.8,3,25,578,99.8,99.8,97.1,3,31,3,1120,0,0,0,1121,595,596,0,1120,525,1
Rob Sims,3073,G,SEA,18,100.0,0,29,76.9,77.5,71.2,6,20,674,100.0,100.0,97.5,2,30,4,1115,0,1115,0,1115,694,694,0,0,421,0
Jahri Evans,3053,G,NO,16,100.0,0,20,88.7,80.2,86.0,2,20,673,100.0,100.0,97.9,4,25,3,1103,0,0,0,1103,707,707,1103,0,396,0
Ryan Lilja,2105,G,IND,17,100.0,0,14,87.6,79.5,85.4,5,15,611,100.0,100.0,98.0,4,22,2,1103,0,1103,0,1103,634,634,0,0,469,0
Jamar Nesbit,564,G,NO,16,100.0,0,20,71.3,85.4,61.5,3,18,673,100.0,100.0,98.1,4,23,2,1103,0,1103,0,1103,707,707,0,0,396,0
Jon Stinchcomb,1353,T,NO,16,100.0,1,20,67.9,70.8,65.5,3,32,673,100.0,100.0,97.0,6,38,3,1102,0,0,0,1102,707,707,0,1102,395,0
Willie Colon,3076,T,PIT,17,100.0,3,25,72.0,75.8,69.6,2,24,558,100.0,100.0,96.4,12,33,7,1100,0,0,0,1100,582,582,0,1100,518,0
Sean Mahan,1474,C,PIT,17,100.0,1,25,63.6,74.6,58.5,2,11,558,100.0,100.0,97.9,4,18,5,1100,1100,0,0,1100,582,582,0,0,518,0
Jake Scott,1862,G,IND,17,100.0,0,14,80.5,73.7,82.2,7,26,608,100.0,100.0,96.8,5,36,3,1098,0,0,0,1098,631,631,951,147,467,0
Casey Rabach,852,C,WAS,16,100.0,1,32,63.9,85.1,56.3,4,7,594,100.0,100.0,99.1,6,11,0,1094,1094,0,0,1094,621,621,0,0,473,0
Walter Jones,232,T,SEA,17,100.0,1,29,90.5,91.2,79.7,4,17,657,100.0,100.0,97.6,2,26,5,1088,0,0,1088,1088,676,676,0,0,412,0
Kyle Kosier,1208,G,DAL,17,100.0,2,9,67.4,80.2,57.3,4,16,612,100.0,100.0,97.9,5,23,3,1085,0,1085,0,1085,642,642,0,0,443,0
Kendall Simmons,1037,G,PIT,17,100.0,2,25,52.3,51.8,53.5,3,38,555,100.0,100.0,95.2,7,47,6,1082,0,0,0,1082,579,579,1082,0,503,0
Tony Pashos,1478,T,JAX,17,100.0,1,15,66.8,72.2,64.2,9,18,537,100.0,100.0,96.0,8,35,8,1079,0,0,0,1079,563,563,0,1079,516,0
Vince Manuwai,1387,G,JAX,17,100.0,0,15,85.6,77.6,83.8,4,15,538,100.0,100.0,97.9,2,21,2,1076,0,1076,0,1076,564,564,0,0,512,0
Mark Tauscher,705,T,GB,18,100.0,0,12,71.3,69.1,69.7,4,40,640,100.0,100.0,95.6,5,50,6,1074,0,0,0,1074,675,675,0,1073,399,1
Jamaal Jackson,1635,C,PHI,16,100.0,0,24,82.3,83.7,80.4,2,14,657,100.0,100.0,98.5,6,18,2,1069,1069,0,0,1069,682,682,0,0,387,0
Todd Herremans,2343,G,PHI,16,100.0,0,24,73.1,72.4,72.5,5,16,656,100.0,100.0,97.8,5,25,4,1067,0,1067,0,1067,681,681,0,0,386,0
Leonard Davis,774,G,DAL,17,100.0,1,9,84.4,80.1,83.5,3,17,602,100.0,100.0,97.8,6,23,3,1064,0,0,0,1064,632,632,1064,0,432,0
Olin Kreutz,369,C,CHI,16,100.0,1,6,73.6,89.0,66.0,0,10,614,100.0,100.0,98.9,4,12,2,1062,1062,0,0,1062,645,645,0,0,417,0
Jacob Bell,1859,G,TEN,17,100.0,0,31,78.1,70.7,76.6,11,19,553,100.0,100.0,97.1,4,31,1,1062,0,1061,0,1062,568,568,0,0,494,0
Davin Joseph,2968,G,TB,17,100.0,2,30,69.2,59.7,73.3,6,31,589,100.0,100.0,96.2,7,41,4,1061,0,0,0,1061,622,622,1060,0,439,0
Chad Clifton,614,T,GB,18,100.0,0,12,71.2,81.0,53.7,5,27,637,100.0,100.0,96.9,4,36,4,1061,0,0,1061,1061,673,673,0,0,388,0
John Wade,399,C,TB,17,100.0,1,30,77.5,83.2,73.5,4,8,588,100.0,100.0,99.0,7,12,0,1060,1060,0,0,1060,620,620,0,0,440,0
Jason Brown,2341,G,BLT,16,100.0,0,3,77.0,91.6,68.9,3,11,604,100.0,100.0,98.0,6,19,5,1058,0,1058,0,1058,632,632,0,0,426,0
Flozell Adams,354,T,DAL,17,100.0,0,9,68.9,79.0,63.7,10,33,602,100.0,100.0,96.3,15,44,1,1058,0,0,1058,1058,632,632,0,0,426,0
Marc Colombo,1036,T,DAL,17,100.0,0,9,67.6,74.2,67.8,9,32,601,100.0,100.0,95.9,12,45,4,1058,0,0,0,1058,631,631,0,1058,427,0
Jason Fabini,388,G,WAS,16,100.0,0,32,72.1,78.8,66.0,7,14,582,100.0,100.0,97.7,3,24,3,1056,0,0,0,1056,608,608,1056,0,448,0
Alex Barron,2236,T,SL,16,100.0,2,26,68.3,77.4,64.1,4,37,619,100.0,100.0,96.0,15,45,4,1056,0,0,990,1056,653,653,0,66,403,0
Jeff Saturday,431,C,IND,17,100.0,0,14,92.5,93.3,89.8,0,4,587,100.0,100.0,99.7,1,4,0,1054,1054,0,0,1054,609,609,0,0,445,0
Roberto Garza,856,G,CHI,16,100.0,0,6,74.4,81.3,73.1,8,18,613,100.0,100.0,97.9,4,26,0,1053,0,0,0,1053,644,644,1053,0,409,0
Alan Faneca,346,G,PIT,17,100.0,0,25,83.1,78.1,81.2,1,20,540,100.0,100.0,97.3,3,25,4,1052,0,1052,0,1052,563,563,0,0,489,0
Reggie Wells,1482,G,ARZ,16,100.0,0,1,64.5,77.7,61.7,11,14,619,100.0,100.0,97.8,6,26,1,1052,0,1011,0,1052,652,652,0,41,400,0
