player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Kenyatta Walker,784,T,TB,1,100.0,0,30,60.4,76.1,57.6,1,0,35,100.0,100.0,98.6,2,1,0,82,0,0,0,82,37,37,0,82,45,0
Cosey Coleman,620,G,TB,1,100.0,0,30,50.5,25.1,56.5,2,1,35,100.0,100.0,95.7,0,3,0,82,0,0,0,82,37,37,82,0,45,0
Kerry Jenkins,136200,G,TB,1,100.0,0,30,43.8,58.0,42.8,1,0,35,100.0,100.0,98.6,0,1,0,82,0,82,0,82,37,37,0,0,45,0
Roman Oben,183,T,TB,1,100.0,0,30,56.3,72.4,45.7,0,0,35,100.0,100.0,100.0,0,0,0,82,0,0,82,82,37,37,0,0,45,0
Jeff Christy,136192,C,TB,1,100.0,0,30,46.2,38.9,47.8,0,0,35,100.0,100.0,100.0,0,0,0,82,82,0,0,82,37,37,0,0,45,0
Frank Middleton,259,G,OAK,1,100.0,0,23,63.8,87.5,43.4,0,0,51,100.0,100.0,100.0,0,0,0,65,0,65,0,65,56,56,0,0,9,0
Mo Collins,136195,G,OAK,1,100.0,0,23,59.6,65.9,52.9,0,3,51,100.0,100.0,97.1,0,3,0,65,0,0,0,65,56,56,65,0,9,0
Lincoln Kennedy,136202,T,OAK,1,100.0,0,23,58.0,61.7,47.5,2,0,51,100.0,100.0,96.1,0,3,1,65,0,0,0,65,56,56,0,65,9,0
Barry Sims,322,T,OAK,1,100.0,0,23,49.7,30.6,73.9,0,3,51,100.0,100.0,93.1,1,5,2,65,0,0,65,65,56,56,0,0,9,0
Adam Treu,263,C,OAK,1,100.0,0,23,56.3,71.8,46.9,0,0,51,100.0,100.0,98.0,0,1,1,65,65,0,0,65,56,56,0,0,9,0
Ken Dilger,136196,TE,TB,1,65.8,0,30,67.4,79.0,69.5,0,0,8,25.0,26.5,100.0,0,0,0,48,0,0,0,73,9,34,0,0,39,58
Brad Johnson,31,QB,TB,1,54.9,0,30,59.7,,60.0,0,0,0,0.0,0.0,,0,0,0,45,0,0,0,82,0,37,0,0,45,0
Keyshawn Johnson,153,WR,TB,1,51.4,0,30,72.7,,55.7,0,0,0,0.0,0.0,,1,0,0,38,0,0,0,74,0,36,0,0,38,2
Keenan McCardell,19,WR,TB,1,55.2,0,30,60.3,,49.5,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,67,0,30,0,0,37,0
Mike Alstott,170,FB,TB,1,55.6,0,30,58.9,80.1,50.0,0,0,4,23.5,22.2,100.0,0,0,0,30,0,0,0,54,4,18,0,0,26,0
Rickey Dudley,157,TE,TB,1,62.5,0,30,48.7,66.5,70.6,0,0,0,0.0,7.7,,0,0,0,20,0,0,0,32,1,13,0,0,19,23
Michael Pittman,382,HB,TB,1,26.6,0,30,55.6,67.3,59.9,0,0,15,51.7,53.3,100.0,0,0,0,17,0,0,0,64,16,30,0,0,1,0
Doug Jolley,1062,TE,OAK,1,21.2,0,23,71.3,73.0,59.0,0,0,4,9.8,8.9,100.0,0,0,0,11,0,0,0,52,4,45,0,0,7,47
Jerry Rice,1,WR,OAK,1,13.8,0,23,60.0,,61.3,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,65,0,56,0,0,9,0
Rich Gannon,136198,QB,OAK,1,13.8,0,23,39.3,,60.0,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,65,0,56,0,0,9,0
Joe Jurevicius,365,WR,TB,1,33.3,0,30,84.9,,40.6,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,27,0,18,0,0,9,0
Darian Barnes,1216,FB,TB,1,100.0,0,30,47.4,71.0,46.8,0,0,1,100.0,100.0,100.0,0,0,0,8,0,0,0,8,2,2,0,0,6,0
Jerry Porter,617,WR,OAK,1,15.4,0,23,70.0,,58.8,0,0,0,0.0,0.0,,0,0,0,8,0,0,0,52,0,44,0,0,8,0
Tim Brown,136194,WR,OAK,1,11.1,0,23,44.2,,59.8,0,0,0,0.0,0.0,,0,0,0,7,0,0,0,63,0,56,0,0,7,0
Charlie Garner,83,HB,OAK,1,8.3,0,23,43.3,26.9,,0,1,5,10.4,9.4,90.0,0,1,0,5,0,0,0,60,5,53,0,0,0,0
Jon Ritchie,368,FB,OAK,1,26.7,0,23,59.5,68.8,59.7,0,0,1,9.1,8.3,100.0,0,0,0,4,0,0,0,15,1,12,0,0,3,0
Aaron Stecker,572,HB,TB,1,50.0,0,30,52.6,77.9,,0,0,3,75.0,75.0,100.0,0,0,0,3,0,0,0,6,3,4,0,0,0,0
Langston Walker,1060,T,OAK,1,100.0,0,23,67.8,,69.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Warren Sapp,119,DI,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,2
Karl Williams,136207,WR,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Jameel Cook,904,FB,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
