player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Reggie Wells,1482,G,ARZ,20,100.0,1,1,69.4,69.1,68.2,8,27,797,100.0,100.0,97.6,4,37,2,1296,0,1296,0,1296,836,836,0,0,460,0
Lyle Sendlein,4062,C,ARZ,20,100.0,0,1,62.8,69.8,59.2,14,17,797,100.0,100.0,97.7,5,34,3,1296,1296,0,0,1296,836,836,0,0,460,0
Levi Brown,3621,T,ARZ,20,100.0,0,1,76.0,62.6,90.8,15,40,796,100.0,100.0,94.9,8,68,13,1293,0,0,5,1293,835,835,0,1288,458,0
Mike Gandy,834,T,ARZ,20,100.0,0,1,78.4,68.4,83.1,21,41,796,100.0,100.0,95.2,7,69,7,1291,0,0,1290,1291,835,835,0,0,456,1
Jamaal Jackson,1635,C,PHI,19,100.0,1,24,78.8,77.8,78.0,3,14,778,100.0,100.0,98.7,5,19,2,1278,1278,0,0,1278,806,806,0,0,472,0
Jason Brown,2341,C,BLT,19,100.0,0,3,76.5,88.3,71.4,2,9,558,100.0,100.0,99.0,2,11,0,1271,1271,0,0,1271,591,591,0,0,680,0
Deuce Lutui,2986,G,ARZ,20,100.0,4,1,63.0,64.1,66.1,13,25,779,100.0,100.0,97.2,13,41,3,1267,0,0,0,1267,817,817,1267,0,450,0
Ben Grubbs,3645,G,BLT,19,100.0,0,3,67.9,77.4,63.6,7,8,553,100.0,100.0,97.7,5,20,5,1265,0,1265,0,1265,586,586,0,0,679,0
Todd Herremans,2343,G,PHI,19,99.8,0,24,84.4,79.7,82.2,4,18,771,99.7,99.8,98.4,6,23,1,1258,0,1229,23,1260,799,801,0,0,459,8
Jon Runyan Sr.,193,T,PHI,19,100.0,1,24,76.7,69.5,78.5,10,32,772,100.0,100.0,96.2,3,50,8,1252,0,0,13,1252,799,799,0,1239,453,0
Chris Kemoeatu,2421,G,PIT,19,100.0,2,25,76.2,61.4,82.8,9,19,668,100.0,100.0,97.0,11,34,6,1249,0,1249,0,1249,700,700,0,0,549,0
Justin Hartwig,1170,C,PIT,19,100.0,1,25,60.7,42.5,65.5,8,24,668,100.0,100.0,96.0,4,43,11,1244,1244,0,0,1244,700,700,0,0,544,0
