Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle ▾
2021,Damon Hazelton,Missouri,WR,74.75,206,9.875,33.375,,4.64,,37.5,120,4.32,7.11,
2021,Josh Imatorbhebhe,Illinois,WR,72.88,218,9.25,32.375,,4.53,24,46.5,134,4.38,7.1,
2021,Warren Jackson,Colorado State,WR,78,219,9.375,33.5,,4.72,11,33.5,123,4.51,7.71,
2021,Terrell Jana,Virginia,WR,71.13,195,9.125,31.75,,4.69,17,32,110,4.13,7.05,
2021,Cade Johnson,South Dakota State,WR,70.63,184,9.375,29.25,,4.51,11,35,114,,,
2021,Tim Jones,Southern Mississippi,WR,72.75,203,9.5,31.375,,4.47,17,40,124,4.14,7.02,
2021,Branden Mack,Temple,WR,77,217,9.25,32.125,,4.66,11,31,115,4.37,7.13,
2021,Terrace Marshall,Louisiana State,WR,74.5,205,9.5,32.75,,4.4,19,39,125,,,
2021,Khalil McClain,Troy (AL),WR,74.88,214,9.625,31.875,,4.7,15,32,114,4.5,7.72,
2021,Racey McMath,Louisiana State,WR,74.5,211,8.875,32,,4.39,,34,125,4.4,7.37,
2021,Osirus Mitchell,Mississippi State,WR,77,206,10.875,34.375,,4.61,12,35.5,128,4.34,7.12,
2021,Elijah Moore,Mississippi,WR,69.5,178,9.375,30.125,,4.35,17,36,121,4,6.67,
2021,Rondale Moore,Purdue,WR,67,181,8.75,28.25,,4.32,,42.5,126,4.1,6.68,
2021,Dazz Newsome,North Carolina,WR,70.13,190,9,29.875,,4.59,12,34,121,4.39,7.39,
2021,Tre Nixon,Central Florida,WR,72.13,187,9.125,31.75,,4.44,18,35.5,125,4.25,6.81,
2021,Antonio Nunn,Buffalo,WR,71,204,8.875,31,,4.5,15,33.5,120,4.32,7.12,
2021,Josh Palmer,Tennessee,WR,73.25,210,9.625,33,,4.52,,34,124,4.24,6.98,
2021,Whop Philyor,Indiana,WR,69.63,184,9.25,30.625,,4.58,14,31,120,4.38,7.2,
2021,Cornell Powell,Clemson,WR,72.25,204,10,32.75,,4.53,16,36.5,128,4.21,7.03,
2021,Blake Proehl,East Carolina (NC),WR,73.88,186,9,31.5,,4.47,12,36,126,4.2,7,
2021,Amari Rodgers,Clemson,WR,69.5,212,9.5,30.375,,4.52,19,33,121,4.31,7.07,
2021,T.J. Simmons,West Virginia,WR,73.38,208,9.375,32,,4.59,13,32,120,4.55,7.22,
2021,Bennett Skowronek,Notre Dame,WR,74.88,220,10.125,33.25,,,13,,118,,,
2021,Brandon Smith,Iowa,WR,73.38,218,9.375,34.25,,4.64,21,39,130,,,
2021,DeVonta Smith,Alabama,WR,72.25,170,9.25,31.875,,,,,131,,,
